Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,13.0,201.92,53.38,15.69,39.77,0.39,3.38,19.62,0.17,11.85,22.92,0.52,18.31,66.62,0.5,80.14,34.97,38.08,19.95,0.33
Equip,2 Derrota,3.0,200.0,51.0,13.67,35.67,0.38,3.67,20.33,0.18,12.67,25.0,0.51,18.67,64.0,0.51,79.69,34.23,37.73,22.62,0.36
Equip,2 Victoria,10.0,202.5,54.1,16.3,41.0,0.4,3.3,19.4,0.17,11.6,22.3,0.52,18.2,67.4,0.5,80.27,35.18,38.18,19.21,0.32
Equip,3 Local,6.0,200.0,49.33,16.17,40.17,0.4,2.0,18.5,0.11,11.0,23.17,0.47,18.67,66.0,0.52,74.75,32.67,36.62,18.75,0.32
Equip,3 Visitant,7.0,203.57,56.86,15.29,39.43,0.39,4.57,20.57,0.22,12.57,22.71,0.55,18.0,67.14,0.49,84.68,36.9,39.27,20.95,0.34
Equip,4 Dificil,9.0,202.78,49.56,15.89,40.44,0.39,2.11,18.22,0.12,11.44,23.11,0.5,18.56,66.0,0.51,75.08,32.48,36.65,19.51,0.31
Equip,4 Facil,4.0,200.0,62.0,15.25,38.25,0.4,6.25,22.75,0.27,12.75,22.5,0.57,17.75,68.0,0.49,91.18,40.37,41.16,20.9,0.37
Equip,6 Ultims 3,3.0,36000.0,186.0,51.0,134.0,0.38,15.0,66.0,0.23,39.0,69.0,0.57,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Equip Rival,1 Mitjana Rival,13.0,201.92,50.85,14.15,41.23,0.34,4.38,19.38,0.23,9.38,17.69,0.53,21.54,65.62,0.5,77.49,34.2,35.54,15.48,0.32
Equip Rival,2 Derrota Rival,3.0,200.0,62.0,17.0,38.0,0.45,6.0,18.67,0.32,10.0,16.33,0.61,23.0,61.0,0.49,101.64,45.88,45.18,17.65,0.33
Equip Rival,2 Victoria Rival,10.0,202.5,47.5,13.3,42.2,0.32,3.9,19.6,0.2,9.2,18.1,0.51,21.1,66.9,0.5,71.0,30.99,32.86,14.89,0.32
Equip Rival,3 Local Rival,6.0,200.0,48.83,14.0,39.83,0.35,3.83,16.17,0.24,9.33,17.5,0.53,21.83,61.0,0.48,80.05,35.27,37.0,16.67,0.29
Equip Rival,3 Visitant Rival,7.0,203.57,52.57,14.29,42.43,0.34,4.86,22.14,0.22,9.43,17.86,0.53,21.29,69.43,0.51,75.72,33.41,34.43,14.6,0.34
Equip Rival,4 Dificil Rival,9.0,202.78,47.78,13.56,41.0,0.33,3.67,17.56,0.21,9.67,17.78,0.54,21.89,63.67,0.49,75.04,32.54,34.8,16.51,0.3
Equip Rival,4 Facil Rival,4.0,200.0,57.75,15.5,41.75,0.37,6.0,23.5,0.26,8.75,17.5,0.5,20.75,70.0,0.51,82.5,37.55,37.02,13.41,0.36
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,156.0,40.0,125.0,0.32,16.0,66.0,0.24,28.0,54.0,0.52,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35
