Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,23.0,201.09,71.22,19.0,40.04,0.47,6.17,26.74,0.23,14.7,24.39,0.6,23.0,74.39,0.51,95.73,42.32,43.62,22.01,0.4
Equip,2 Derrota,3.0,200.0,59.0,15.67,38.0,0.41,6.0,28.0,0.21,9.67,16.33,0.59,24.67,70.0,0.49,84.29,37.37,37.38,14.65,0.42
Equip,2 Victoria,20.0,201.25,73.05,19.5,40.35,0.48,6.2,26.55,0.23,15.45,25.6,0.6,22.75,75.0,0.52,97.4,43.05,44.5,23.09,0.4
Equip,3 Local,11.0,200.0,71.18,19.64,40.82,0.48,5.82,27.36,0.21,14.45,24.18,0.6,23.36,75.64,0.52,94.11,41.6,43.11,21.2,0.4
Equip,3 Visitant,12.0,202.08,71.25,18.42,39.33,0.47,6.5,26.17,0.25,14.92,24.58,0.61,22.67,73.25,0.5,97.27,43.0,44.11,22.77,0.4
Equip,4 Dificil,15.0,201.67,71.53,18.47,38.93,0.47,6.2,27.07,0.23,16.0,26.87,0.6,23.27,74.67,0.51,95.8,42.07,43.85,24.24,0.41
Equip,4 Facil,8.0,200.0,70.62,20.0,42.12,0.47,6.12,26.12,0.23,12.25,19.75,0.62,22.5,73.75,0.52,95.76,42.77,43.19,17.95,0.38
Equip,6 Ultims 3,3.0,36000.0,212.0,57.0,123.0,0.46,14.0,82.0,0.17,56.0,91.0,0.62,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Equip Rival,1 Mitjana Rival,23.0,201.09,64.04,15.48,38.7,0.4,6.48,25.22,0.26,13.65,22.61,0.6,21.35,70.87,0.49,90.37,39.42,40.55,21.36,0.39
Equip Rival,2 Derrota Rival,3.0,200.0,75.0,15.67,35.0,0.45,8.33,30.33,0.27,18.67,26.33,0.71,17.33,73.67,0.51,101.81,43.11,44.34,28.57,0.46
Equip Rival,2 Victoria Rival,20.0,201.25,62.4,15.45,39.25,0.39,6.2,24.45,0.25,12.9,22.05,0.59,21.95,70.45,0.48,88.57,38.85,39.92,20.25,0.38
Equip Rival,3 Local Rival,11.0,200.0,58.82,15.36,39.0,0.39,5.55,22.73,0.24,11.45,22.27,0.51,21.45,68.64,0.48,85.7,38.37,39.24,18.56,0.37
Equip Rival,3 Visitant Rival,12.0,202.08,68.83,15.58,38.42,0.41,7.33,27.5,0.27,15.67,22.92,0.68,21.25,72.92,0.5,94.4,40.33,41.51,23.77,0.42
Equip Rival,4 Dificil Rival,15.0,201.67,66.73,16.27,39.67,0.41,6.73,25.07,0.27,14.0,23.2,0.6,22.33,71.93,0.49,92.77,40.73,41.64,21.63,0.39
Equip Rival,4 Facil Rival,8.0,200.0,59.0,14.0,36.88,0.38,6.0,25.5,0.24,13.0,21.5,0.6,19.5,68.88,0.48,85.66,36.87,38.4,20.84,0.41
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,186.0,50.0,123.0,0.41,17.0,88.0,0.19,35.0,57.0,0.61,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
