Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,72.0,0.5,102.78,47.76,46.78,14.93,0.43
Equip,2 Victoria,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,72.0,0.5,102.78,47.76,46.78,14.93,0.43
Equip,3 Visitant,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,72.0,0.5,102.78,47.76,46.78,14.93,0.43
Equip,4 Dificil,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,72.0,0.5,102.78,47.76,46.78,14.93,0.43
Equip,5 Equips Cua,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,72.0,0.5,102.78,47.76,46.78,14.93,0.43
Equip,5 Equips Top,1.0,200.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,72.0,0.5,102.78,47.76,46.78,14.93,0.43
Equip,6 Ultims 3,1.0,12000.0,74.0,23.0,38.0,0.61,6.0,29.0,0.21,10.0,19.0,0.53,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
Equip Rival,1 Mitjana Rival,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,72.0,0.5,94.44,45.08,45.11,21.31,0.36
Equip Rival,2 Victoria Rival,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,72.0,0.5,94.44,45.08,45.11,21.31,0.36
Equip Rival,3 Visitant Rival,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,72.0,0.5,94.44,45.08,45.11,21.31,0.36
Equip Rival,4 Dificil Rival,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,72.0,0.5,94.44,45.08,45.11,21.31,0.36
Equip Rival,5 Equips Cua Rival,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,72.0,0.5,94.44,45.08,45.11,21.31,0.36
Equip Rival,5 Equips Top Rival,1.0,200.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,72.0,0.5,94.44,45.08,45.11,21.31,0.36
Equip Rival,6 Ultims 3 Rival,1.0,12000.0,68.0,20.0,39.0,0.51,5.0,22.0,0.23,13.0,32.0,0.41,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
