Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,10.0,200.0,70.9,16.4,33.2,0.49,8.6,26.6,0.32,12.3,20.6,0.6,21.3,66.1,0.48,107.26,49.0,46.89,20.57,0.44
Equip,2 Derrota,3.0,200.0,71.33,14.0,34.67,0.4,8.67,26.67,0.33,17.33,24.33,0.71,23.0,69.0,0.46,103.38,44.02,44.46,28.26,0.43
Equip,2 Victoria,7.0,200.0,70.71,17.43,32.57,0.54,8.57,26.57,0.32,10.14,19.0,0.53,20.57,64.71,0.48,109.27,51.21,47.87,17.15,0.45
Equip,3 Local,4.0,200.0,67.0,17.75,34.5,0.51,7.25,26.25,0.28,9.75,18.5,0.53,21.5,66.0,0.5,101.52,47.12,45.11,16.05,0.43
Equip,3 Visitant,6.0,200.0,73.5,15.5,32.33,0.48,9.5,26.83,0.35,14.0,22.0,0.64,21.17,66.0,0.46,111.36,50.28,48.02,23.66,0.45
Equip,4 Dificil,4.0,200.0,74.75,17.0,32.5,0.52,9.25,28.0,0.33,13.0,20.25,0.64,23.0,66.5,0.46,112.41,51.03,48.56,21.49,0.46
Equip,4 Facil,6.0,200.0,68.33,16.0,33.67,0.48,8.17,25.67,0.32,11.83,20.83,0.57,20.17,65.67,0.48,104.06,47.61,45.73,19.94,0.43
Equip,6 Ultims 3,3.0,200.0,66.0,16.0,35.0,0.46,6.67,22.33,0.3,14.0,22.67,0.62,22.33,87.67,0.47,107.98,49.16,47.66,20.5,0.39
Equip Rival,1 Mitjana Rival,10.0,200.0,63.0,17.6,44.7,0.39,4.9,22.0,0.22,13.1,21.2,0.62,20.4,72.9,0.52,86.42,37.41,39.56,19.64,0.33
Equip Rival,2 Derrota Rival,3.0,200.0,80.33,21.33,47.0,0.45,7.33,24.67,0.3,15.67,26.0,0.6,24.0,79.67,0.54,100.84,45.12,45.6,21.86,0.34
Equip Rival,2 Victoria Rival,7.0,200.0,55.57,16.0,43.71,0.37,3.86,20.86,0.18,12.0,19.14,0.63,18.86,70.0,0.52,79.39,33.74,36.62,18.58,0.32
Equip Rival,3 Local Rival,4.0,200.0,52.0,15.5,41.25,0.38,3.5,19.25,0.18,10.5,19.0,0.55,18.0,66.0,0.5,78.79,34.3,36.83,17.36,0.32
Equip Rival,3 Visitant Rival,6.0,200.0,70.33,19.0,47.0,0.4,5.83,23.83,0.24,14.83,22.67,0.65,22.0,77.5,0.54,90.75,39.18,41.07,20.94,0.34
Equip Rival,4 Dificil Rival,4.0,200.0,73.25,18.0,43.25,0.42,8.0,26.25,0.3,13.25,24.0,0.55,21.25,76.75,0.54,95.44,43.17,42.57,19.06,0.38
Equip Rival,4 Facil Rival,6.0,200.0,56.17,17.33,45.67,0.38,2.83,19.17,0.15,13.0,19.33,0.67,19.83,70.33,0.52,79.86,33.29,37.3,20.05,0.3
Equip Rival,6 Ultims 3 Rival,3.0,200.0,63.67,17.33,43.33,0.4,4.33,22.0,0.2,16.0,24.67,0.65,23.67,98.67,0.53,90.88,38.81,41.21,22.76,0.34
