Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,14.0,201.79,89.64,29.29,55.07,0.53,5.43,19.07,0.28,14.79,23.36,0.63,18.93,81.0,0.53,110.67,50.48,51.27,19.94,0.26
Equip,2 Derrota,2.0,200.0,78.5,20.5,48.0,0.43,8.5,24.5,0.35,12.0,20.5,0.59,25.5,78.0,0.5,100.64,45.86,44.35,16.55,0.34
Equip,2 Victoria,12.0,202.08,91.5,30.75,56.25,0.55,4.92,18.17,0.27,15.25,23.83,0.64,17.83,81.5,0.53,112.27,51.23,52.37,20.49,0.24
Equip,3 Local,7.0,200.0,95.29,33.14,58.71,0.56,5.14,17.71,0.29,13.57,21.86,0.62,18.29,82.57,0.55,115.4,53.46,53.74,17.76,0.23
Equip,3 Visitant,7.0,203.57,84.0,25.43,51.43,0.49,5.71,20.43,0.28,16.0,24.86,0.64,19.57,79.43,0.51,105.76,47.32,48.68,22.27,0.28
Equip,4 Dificil,5.0,205.0,80.4,23.0,50.0,0.46,6.8,22.4,0.3,14.0,22.8,0.61,21.6,79.0,0.49,101.77,45.86,46.08,19.34,0.31
Equip,4 Facil,9.0,200.0,94.78,32.78,57.89,0.57,4.67,17.22,0.27,15.22,23.67,0.64,17.44,82.0,0.55,115.58,52.96,54.04,20.27,0.23
Equip,6 Ultims 3,3.0,36000.0,238.0,64.0,143.0,0.45,20.0,69.0,0.29,50.0,78.0,0.64,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Equip Rival,1 Mitjana Rival,14.0,201.79,64.36,19.79,49.14,0.4,4.57,17.93,0.25,11.07,18.5,0.6,21.64,72.14,0.47,89.21,39.72,41.04,16.51,0.27
Equip Rival,2 Derrota Rival,2.0,200.0,83.5,21.0,51.0,0.41,7.5,18.5,0.41,19.0,28.5,0.67,23.5,78.5,0.5,106.37,46.4,47.75,27.34,0.27
Equip Rival,2 Victoria Rival,12.0,202.08,61.17,19.58,48.83,0.4,4.08,17.83,0.23,9.75,16.83,0.58,21.33,71.08,0.47,86.05,38.56,39.79,14.62,0.27
Equip Rival,3 Local Rival,7.0,200.0,58.0,18.71,46.29,0.4,3.29,16.71,0.2,10.71,17.86,0.6,20.71,68.0,0.45,85.29,37.53,39.92,17.01,0.27
Equip Rival,3 Visitant Rival,7.0,203.57,70.71,20.86,52.0,0.4,5.86,19.14,0.31,11.43,19.14,0.6,22.57,76.29,0.49,92.7,41.67,42.04,16.06,0.27
Equip Rival,4 Dificil Rival,5.0,205.0,80.8,24.8,57.6,0.43,6.6,18.2,0.36,11.4,21.2,0.54,23.4,81.6,0.51,99.02,45.78,45.17,15.04,0.24
Equip Rival,4 Facil Rival,9.0,200.0,55.22,17.0,44.44,0.38,3.44,17.78,0.19,10.89,17.0,0.64,20.67,66.89,0.45,82.56,35.62,38.2,17.5,0.29
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,238.0,77.0,184.0,0.42,17.0,48.0,0.35,33.0,61.0,0.54,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
