Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,14.0,200.0,80.5,23.5,46.29,0.51,5.86,21.57,0.27,15.93,27.29,0.58,18.64,76.64,0.52,105.03,47.58,48.72,23.47,0.32
Equip,2 Derrota,2.0,200.0,59.5,16.0,42.0,0.38,4.0,19.5,0.21,15.5,29.5,0.53,22.0,71.5,0.47,83.22,35.77,39.76,25.2,0.32
Equip,2 Victoria,12.0,200.0,84.0,24.75,47.0,0.53,6.17,21.92,0.28,16.0,26.92,0.59,18.08,77.5,0.53,108.39,49.33,50.09,23.22,0.32
Equip,3 Local,7.0,200.0,83.71,25.14,47.43,0.53,6.14,22.43,0.27,15.0,25.43,0.59,19.0,77.71,0.52,107.72,49.18,49.67,21.47,0.32
Equip,3 Visitant,7.0,200.0,77.29,21.86,45.14,0.48,5.57,20.71,0.27,16.86,29.14,0.58,18.29,75.43,0.51,102.46,45.88,47.75,25.6,0.31
Equip,4 Dificil,2.0,200.0,69.0,16.0,38.5,0.42,6.0,20.5,0.29,19.0,33.0,0.58,21.0,70.5,0.47,97.87,42.37,45.46,32.2,0.35
Equip,4 Facil,12.0,200.0,82.42,24.75,47.58,0.52,5.83,21.75,0.27,15.42,26.33,0.59,18.25,77.67,0.53,106.12,48.32,49.22,22.24,0.31
Equip,6 Ultims 3,3.0,36000.0,218.0,74.0,137.0,0.54,11.0,56.0,0.2,37.0,71.0,0.52,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29
Equip Rival,1 Mitjana Rival,14.0,200.0,58.14,18.93,46.57,0.41,3.79,20.79,0.18,8.93,16.0,0.56,23.0,71.36,0.48,81.48,36.53,37.78,13.26,0.31
Equip Rival,2 Derrota Rival,2.0,200.0,67.0,23.5,50.0,0.47,2.5,23.5,0.11,12.5,22.5,0.56,25.0,80.0,0.53,83.75,37.07,40.27,17.01,0.32
Equip Rival,2 Victoria Rival,12.0,200.0,56.67,18.17,46.0,0.39,4.0,20.33,0.2,8.33,14.92,0.56,22.67,69.92,0.47,81.05,36.43,37.3,12.56,0.31
Equip Rival,3 Local Rival,7.0,200.0,56.86,17.29,45.0,0.38,4.57,21.57,0.21,8.57,15.86,0.54,20.71,70.57,0.48,80.57,36.27,36.84,12.88,0.32
Equip Rival,3 Visitant Rival,7.0,200.0,59.43,20.57,48.14,0.43,3.0,20.0,0.15,9.29,16.14,0.58,25.29,72.14,0.49,82.38,36.79,38.69,13.63,0.29
Equip Rival,4 Dificil Rival,2.0,200.0,69.5,22.0,50.5,0.44,6.5,26.0,0.25,6.0,13.5,0.44,28.0,79.0,0.53,87.97,41.5,39.36,7.84,0.34
Equip Rival,4 Facil Rival,12.0,200.0,56.25,18.42,45.92,0.4,3.33,19.92,0.17,9.42,16.42,0.57,22.17,70.08,0.47,80.26,35.57,37.46,14.3,0.3
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,153.0,47.0,139.0,0.34,12.0,72.0,0.17,23.0,51.0,0.45,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
