Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,12.0,200.0,65.25,14.58,31.08,0.47,9.33,32.5,0.29,8.08,12.42,0.65,22.0,66.25,0.48,98.49,44.95,41.25,12.71,0.51
Equip,2 Derrota,11.0,200.0,62.0,14.73,31.36,0.47,8.18,31.36,0.26,8.0,12.09,0.66,22.0,65.27,0.48,94.99,43.04,40.25,12.75,0.5
Equip,2 Victoria,1.0,200.0,101.0,13.0,28.0,0.46,22.0,45.0,0.49,9.0,16.0,0.56,22.0,76.0,0.5,132.89,63.01,50.6,12.33,0.62
Equip,3 Local,6.0,200.0,70.0,15.33,31.17,0.49,10.83,36.0,0.3,6.83,11.17,0.61,23.33,69.17,0.49,101.2,47.02,41.83,10.17,0.54
Equip,3 Visitant,6.0,200.0,60.5,13.83,31.0,0.45,7.83,29.0,0.27,9.33,13.67,0.68,20.67,63.33,0.48,95.53,42.64,40.61,15.56,0.48
Equip,4 Dificil,7.0,200.0,64.43,14.0,28.29,0.49,9.43,34.14,0.28,8.14,11.86,0.69,23.14,64.86,0.48,99.34,45.08,41.25,13.04,0.55
Equip,4 Facil,5.0,200.0,66.4,15.4,35.0,0.44,9.2,30.2,0.3,8.0,13.2,0.61,20.4,68.0,0.49,97.65,44.79,41.23,12.27,0.46
Equip,6 Ultims 3,3.0,200.0,63.33,17.0,35.33,0.48,7.0,28.0,0.25,8.33,12.67,0.66,23.0,86.67,0.48,94.23,41.97,41.07,14.46,0.44
Equip Rival,1 Mitjana Rival,12.0,200.0,74.75,18.92,38.67,0.49,7.25,24.42,0.3,15.17,23.92,0.63,18.17,70.58,0.52,105.9,47.23,47.42,24.04,0.39
Equip Rival,2 Derrota Rival,11.0,200.0,73.64,18.55,38.18,0.49,7.09,24.18,0.29,15.27,24.09,0.63,18.18,70.0,0.52,105.19,46.79,47.2,24.49,0.39
Equip Rival,2 Victoria Rival,1.0,200.0,87.0,23.0,44.0,0.52,9.0,27.0,0.33,14.0,22.0,0.64,18.0,77.0,0.5,112.99,51.41,49.67,19.72,0.38
Equip Rival,3 Local Rival,6.0,200.0,76.5,18.83,39.0,0.48,7.83,26.17,0.3,15.33,25.83,0.59,17.0,73.33,0.51,104.32,46.93,46.75,23.53,0.4
Equip Rival,3 Visitant Rival,6.0,200.0,73.0,19.0,38.33,0.5,6.67,22.67,0.29,15.0,22.0,0.68,19.33,67.83,0.52,107.62,47.54,48.1,24.59,0.37
Equip Rival,4 Dificil Rival,7.0,200.0,71.86,18.14,37.57,0.48,6.57,23.43,0.28,15.86,26.57,0.6,18.57,69.71,0.52,103.07,45.9,46.93,26.0,0.38
Equip Rival,4 Facil Rival,5.0,200.0,78.8,20.0,40.2,0.5,8.2,25.8,0.32,14.2,20.2,0.7,17.6,71.8,0.51,109.75,48.94,48.01,21.52,0.39
Equip Rival,6 Ultims 3 Rival,3.0,200.0,78.0,18.67,39.67,0.47,7.0,23.0,0.3,19.67,26.67,0.74,17.67,94.33,0.52,112.01,48.81,49.62,27.67,0.37
