Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,13.0,200.0,66.38,15.46,38.85,0.4,7.08,21.08,0.34,14.23,23.54,0.6,22.15,67.46,0.5,98.4,43.52,43.96,23.75,0.35
Equip,2 Derrota,7.0,200.0,58.14,13.86,37.71,0.37,6.0,20.14,0.3,12.43,21.43,0.58,21.43,64.57,0.49,90.04,39.51,40.52,21.48,0.35
Equip,2 Victoria,6.0,200.0,76.0,17.33,40.17,0.43,8.33,22.17,0.38,16.33,26.0,0.63,23.0,70.67,0.51,107.55,47.86,47.61,26.2,0.36
Equip,3 Local,7.0,200.0,71.43,17.29,39.71,0.44,6.86,19.86,0.35,16.29,23.86,0.68,22.57,67.14,0.5,106.38,46.28,47.35,27.34,0.33
Equip,3 Visitant,6.0,200.0,60.5,13.33,37.83,0.35,7.33,22.5,0.33,11.83,23.17,0.51,21.67,67.67,0.5,89.41,40.33,39.82,19.61,0.37
Equip,4 Dificil,7.0,200.0,68.0,13.29,35.86,0.37,9.14,23.0,0.4,14.0,22.86,0.61,21.86,66.14,0.49,102.81,45.87,44.41,23.79,0.39
Equip,4 Facil,6.0,200.0,64.5,18.0,42.33,0.43,4.67,18.83,0.25,14.5,24.33,0.6,22.5,68.83,0.51,93.7,40.87,43.46,23.71,0.31
Equip,5 Equips Cua,2.0,200.0,65.0,14.5,36.0,0.4,7.5,21.5,0.35,13.5,22.0,0.61,23.0,64.0,0.48,101.56,44.78,44.47,23.48,0.37
Equip,5 Equips Top,2.0,200.0,65.0,14.5,36.0,0.4,7.5,21.5,0.35,13.5,22.0,0.61,23.0,64.0,0.48,101.56,44.78,44.47,23.48,0.37
Equip,6 Ultims 3,3.0,36000.0,183.0,55.0,127.0,0.43,12.0,58.0,0.21,37.0,56.0,0.66,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31
Equip Rival,1 Mitjana Rival,13.0,200.0,68.77,17.23,34.69,0.5,6.23,23.92,0.26,15.62,25.62,0.61,23.77,67.08,0.5,102.52,45.34,46.68,26.64,0.41
Equip Rival,2 Derrota Rival,7.0,200.0,70.29,18.57,36.14,0.51,6.14,23.14,0.27,14.71,24.57,0.6,22.43,67.29,0.51,104.46,46.87,47.69,24.82,0.39
Equip Rival,2 Victoria Rival,6.0,200.0,67.0,15.67,33.0,0.47,6.33,24.83,0.26,16.67,26.83,0.62,25.33,66.83,0.49,100.25,43.52,45.49,28.82,0.43
Equip Rival,3 Local Rival,7.0,200.0,67.86,14.86,31.71,0.47,7.14,26.14,0.27,16.71,27.57,0.61,22.86,67.14,0.5,101.06,44.2,45.46,28.89,0.45
Equip Rival,3 Visitant Rival,6.0,200.0,69.83,20.0,38.17,0.52,5.17,21.33,0.24,14.33,23.33,0.61,24.83,66.83,0.5,104.49,46.64,48.1,24.09,0.36
Equip Rival,4 Dificil Rival,7.0,200.0,67.71,17.43,36.43,0.48,6.0,23.14,0.26,14.86,25.0,0.59,23.43,67.71,0.51,100.0,44.36,45.68,24.94,0.39
Equip Rival,4 Facil Rival,6.0,200.0,70.0,17.0,32.67,0.52,6.5,24.83,0.26,16.5,26.33,0.63,24.17,66.17,0.49,105.79,46.52,47.87,28.7,0.43
Equip Rival,5 Equips Cua Rival,2.0,200.0,67.0,14.0,33.0,0.42,8.0,27.5,0.29,15.0,29.5,0.51,20.0,70.5,0.52,95.04,42.98,42.81,24.79,0.45
Equip Rival,5 Equips Top Rival,2.0,200.0,67.0,14.0,33.0,0.42,8.0,27.5,0.29,15.0,29.5,0.51,20.0,70.5,0.52,95.04,42.98,42.81,24.79,0.45
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,193.0,42.0,88.0,0.48,21.0,81.0,0.26,46.0,85.0,0.54,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
