Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,5.0,200.0,67.6,14.6,35.4,0.41,8.2,25.8,0.32,13.8,26.0,0.53,22.6,69.6,0.53,97.13,43.95,43.17,22.55,0.42
Equip,2 Derrota,1.0,200.0,63.0,8.0,34.0,0.24,10.0,28.0,0.36,17.0,29.0,0.59,28.0,71.0,0.51,88.73,37.1,37.52,27.42,0.45
Equip,2 Victoria,4.0,200.0,68.75,16.25,35.75,0.45,7.75,25.25,0.31,13.0,25.25,0.51,21.25,69.0,0.53,99.64,45.7,44.62,21.31,0.41
Equip,3 Local,3.0,200.0,75.33,18.33,36.67,0.5,8.33,25.33,0.33,13.67,24.67,0.55,20.33,69.67,0.53,108.13,49.73,48.1,22.04,0.41
Equip,3 Visitant,2.0,200.0,56.0,9.0,33.5,0.27,8.0,26.5,0.3,14.0,28.0,0.5,26.0,69.0,0.52,81.16,35.0,35.67,23.33,0.44
Equip,4 Dificil,3.0,200.0,61.67,11.33,33.33,0.34,8.0,26.0,0.31,15.0,29.0,0.52,25.0,69.0,0.51,89.37,39.33,39.8,25.28,0.44
Equip,4 Facil,2.0,200.0,76.5,19.5,38.5,0.51,8.5,25.5,0.33,12.0,21.5,0.56,19.0,70.5,0.55,108.51,50.39,48.1,18.75,0.4
Equip,5 Equips Cua,1.0,200.0,63.0,8.0,34.0,0.24,10.0,28.0,0.36,17.0,29.0,0.59,28.0,71.0,0.51,88.73,37.1,37.52,27.42,0.45
Equip,5 Equips Top,1.0,200.0,63.0,8.0,34.0,0.24,10.0,28.0,0.36,17.0,29.0,0.59,28.0,71.0,0.51,88.73,37.1,37.52,27.42,0.45
Equip,6 Ultims 3,3.0,36000.0,208.0,46.0,110.0,0.42,24.0,79.0,0.3,44.0,82.0,0.54,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
Equip Rival,1 Mitjana Rival,5.0,200.0,58.4,14.2,32.2,0.44,5.4,22.2,0.24,13.8,24.4,0.57,23.8,62.4,0.47,93.59,40.99,42.89,25.37,0.41
Equip Rival,2 Derrota Rival,1.0,200.0,73.0,15.0,31.0,0.48,6.0,25.0,0.24,25.0,38.0,0.66,24.0,69.0,0.49,105.8,42.86,48.34,44.64,0.45
Equip Rival,2 Victoria Rival,4.0,200.0,54.75,14.0,32.5,0.43,5.25,21.5,0.24,11.0,21.0,0.52,23.75,60.5,0.47,90.5,40.51,41.26,20.37,0.4
Equip Rival,3 Local Rival,3.0,200.0,57.33,14.33,33.33,0.43,6.0,23.33,0.26,10.67,18.33,0.58,23.33,62.0,0.47,92.47,41.18,41.23,18.82,0.41
Equip Rival,3 Visitant Rival,2.0,200.0,60.0,14.0,30.5,0.46,4.5,20.5,0.22,18.5,33.5,0.55,24.5,63.0,0.48,95.24,40.69,45.36,36.27,0.4
Equip Rival,4 Dificil Rival,3.0,200.0,62.33,15.0,34.0,0.44,5.33,21.67,0.25,16.33,27.67,0.59,25.33,65.0,0.49,95.9,41.32,44.27,29.34,0.39
Equip Rival,4 Facil Rival,2.0,200.0,52.5,13.0,29.5,0.44,5.5,23.0,0.24,10.0,19.5,0.51,21.5,58.5,0.45,89.74,40.48,40.55,19.05,0.44
Equip Rival,5 Equips Cua Rival,1.0,200.0,73.0,15.0,31.0,0.48,6.0,25.0,0.24,25.0,38.0,0.66,24.0,69.0,0.49,105.8,42.86,48.34,44.64,0.45
Equip Rival,5 Equips Top Rival,1.0,200.0,73.0,15.0,31.0,0.48,6.0,25.0,0.24,25.0,38.0,0.66,24.0,69.0,0.49,105.8,42.86,48.34,44.64,0.45
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,180.0,44.0,102.0,0.43,16.0,70.0,0.23,44.0,73.0,0.6,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
