Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,1.0,200.0,72.0,25.0,46.0,0.54,3.0,23.0,0.13,13.0,24.0,0.54,24.0,76.0,0.55,94.74,42.75,45.27,18.84,0.33
Equip,2 Victoria,1.0,200.0,72.0,25.0,46.0,0.54,3.0,23.0,0.13,13.0,24.0,0.54,24.0,76.0,0.55,94.74,42.75,45.27,18.84,0.33
Equip,3 Visitant,1.0,200.0,72.0,25.0,46.0,0.54,3.0,23.0,0.13,13.0,24.0,0.54,24.0,76.0,0.55,94.74,42.75,45.27,18.84,0.33
Equip,4 Facil,1.0,200.0,72.0,25.0,46.0,0.54,3.0,23.0,0.13,13.0,24.0,0.54,24.0,76.0,0.55,94.74,42.75,45.27,18.84,0.33
Equip,6 Ultims 3,1.0,12000.0,72.0,25.0,46.0,0.54,3.0,23.0,0.13,13.0,24.0,0.54,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Equip Rival,1 Mitjana Rival,1.0,200.0,60.0,13.0,30.0,0.43,8.0,28.0,0.29,10.0,17.0,0.59,25.0,62.0,0.45,96.77,43.1,41.12,17.24,0.48
Equip Rival,2 Victoria Rival,1.0,200.0,60.0,13.0,30.0,0.43,8.0,28.0,0.29,10.0,17.0,0.59,25.0,62.0,0.45,96.77,43.1,41.12,17.24,0.48
Equip Rival,3 Visitant Rival,1.0,200.0,60.0,13.0,30.0,0.43,8.0,28.0,0.29,10.0,17.0,0.59,25.0,62.0,0.45,96.77,43.1,41.12,17.24,0.48
Equip Rival,4 Facil Rival,1.0,200.0,60.0,13.0,30.0,0.43,8.0,28.0,0.29,10.0,17.0,0.59,25.0,62.0,0.45,96.77,43.1,41.12,17.24,0.48
Equip Rival,6 Ultims 3 Rival,1.0,12000.0,60.0,13.0,30.0,0.43,8.0,28.0,0.29,10.0,17.0,0.59,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48
