Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,14.0,200.0,67.64,21.29,50.86,0.42,4.14,17.21,0.24,12.64,24.0,0.53,20.29,75.43,0.53,89.68,40.4,42.33,18.57,0.25
Equip,2 Derrota,5.0,200.0,50.6,15.2,45.8,0.33,3.0,20.6,0.15,11.2,20.4,0.55,21.2,72.2,0.5,70.08,29.67,33.13,16.87,0.31
Equip,2 Victoria,9.0,200.0,77.11,24.67,53.67,0.46,4.78,15.33,0.31,13.44,26.0,0.52,19.78,77.22,0.54,99.86,46.14,47.13,19.48,0.22
Equip,3 Local,7.0,200.0,71.71,22.57,52.71,0.43,4.71,18.86,0.25,12.43,22.14,0.56,22.14,78.0,0.54,91.94,41.42,42.82,17.37,0.26
Equip,3 Visitant,7.0,200.0,63.57,20.0,49.0,0.41,3.57,15.57,0.23,12.86,25.86,0.5,18.43,72.86,0.52,87.25,39.27,41.78,19.91,0.24
Equip,4 Dificil,8.0,200.0,69.75,21.88,51.25,0.43,3.75,17.88,0.21,14.75,24.88,0.59,21.5,76.75,0.54,90.88,39.78,42.9,21.34,0.26
Equip,4 Facil,6.0,200.0,64.83,20.5,50.33,0.41,4.67,16.33,0.29,9.83,22.83,0.43,18.67,73.5,0.52,88.21,41.25,41.34,14.75,0.24
Equip,6 Ultims 3,3.0,36000.0,179.0,52.0,160.0,0.33,12.0,56.0,0.21,39.0,71.0,0.55,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26
Equip Rival,1 Mitjana Rival,14.0,200.0,67.07,20.0,44.0,0.45,5.0,17.36,0.29,12.07,20.79,0.58,21.71,67.64,0.47,99.16,44.82,45.72,19.67,0.28
Equip Rival,2 Derrota Rival,5.0,200.0,72.2,22.6,46.4,0.49,4.4,17.8,0.25,13.8,23.6,0.58,19.4,71.6,0.5,100.84,45.48,47.27,21.5,0.28
Equip Rival,2 Victoria Rival,9.0,200.0,64.22,18.56,42.67,0.43,5.33,17.11,0.31,11.11,19.22,0.58,23.0,65.44,0.46,98.13,44.42,44.78,18.59,0.29
Equip Rival,3 Local Rival,7.0,200.0,67.43,19.43,43.29,0.45,4.86,16.0,0.3,14.0,23.29,0.6,21.86,66.71,0.46,101.07,45.06,46.82,23.61,0.27
Equip Rival,3 Visitant Rival,7.0,200.0,66.71,20.57,44.71,0.46,5.14,18.71,0.27,10.14,18.29,0.55,21.57,68.57,0.48,97.29,44.59,44.64,15.99,0.3
Equip Rival,4 Dificil Rival,8.0,200.0,66.12,18.62,43.25,0.43,5.25,16.75,0.31,13.12,21.38,0.61,22.5,66.62,0.46,99.25,44.17,45.44,21.88,0.28
Equip Rival,4 Facil Rival,6.0,200.0,68.33,21.83,45.0,0.49,4.67,18.17,0.26,10.67,20.0,0.53,20.67,69.0,0.48,99.03,45.65,46.03,16.89,0.29
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,218.0,64.0,149.0,0.43,16.0,64.0,0.25,42.0,68.0,0.62,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
