Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
BARCA Equipo,['Mitjana'],1.0,200.0,79.0,17.0,35.0,0.49,11.0,30.0,0.37,12.0,18.0,0.67,25.0,72.0,0.51,109.72,51.54,47.65,18.46,46.0
BARCA Equipo Rival,['Mitjana Rival'],1.0,200.0,40.0,9.0,37.0,0.24,3.0,19.0,0.16,13.0,30.0,0.43,20.0,69.0,0.49,57.97,24.11,29.63,23.21,34.0
BASQUET GIRONA U18 Equipo,['Mitjana'],1.0,200.0,49.0,13.0,36.0,0.36,3.0,27.0,0.11,14.0,27.0,0.52,22.0,74.0,0.53,66.22,27.78,32.92,22.22,43.0
BASQUET GIRONA U18 Equipo Rival,['Mitjana Rival'],1.0,200.0,70.0,20.0,37.0,0.54,6.0,20.0,0.3,12.0,22.0,0.55,25.0,66.0,0.47,106.06,50.88,50.12,21.05,35.0
BASQUET MANRESA A Equipo,['Mitjana'],1.0,200.0,98.0,35.0,54.0,0.65,7.0,30.0,0.23,7.0,13.0,0.54,18.0,89.0,0.55,110.11,54.17,51.67,8.33,36.0
BASQUET MANRESA A Equipo Rival,['Mitjana Rival'],1.0,200.0,60.0,21.0,48.0,0.44,3.0,20.0,0.15,9.0,13.0,0.69,20.0,73.0,0.45,82.19,37.5,39.22,13.24,28.999999999999996
C.B. LHOSPITALET A Equipo,['Mitjana'],1.0,200.0,71.0,18.0,42.0,0.43,6.0,23.0,0.26,17.0,24.0,0.71,19.0,75.0,0.52,94.67,41.54,43.95,26.15,35.0
C.B. LHOSPITALET A Equipo Rival,['Mitjana Rival'],1.0,200.0,89.0,29.0,45.0,0.64,8.0,19.0,0.42,7.0,13.0,0.54,26.0,69.0,0.48,128.99,64.06,59.38,10.94,30.0
CB TARRAGONA Equipo,['Mitjana'],1.0,200.0,60.0,21.0,48.0,0.44,3.0,20.0,0.15,9.0,13.0,0.69,20.0,73.0,0.45,82.19,37.5,39.22,13.24,28.999999999999996
CB TARRAGONA Equipo Rival,['Mitjana Rival'],1.0,200.0,98.0,35.0,54.0,0.65,7.0,30.0,0.23,7.0,13.0,0.54,18.0,89.0,0.55,110.11,54.17,51.67,8.33,36.0
JOVENTUT BADALONA A Equipo,['Mitjana'],1.0,200.0,89.0,29.0,45.0,0.64,8.0,19.0,0.42,7.0,13.0,0.54,26.0,69.0,0.48,128.99,64.06,59.38,10.94,30.0
JOVENTUT BADALONA A Equipo Rival,['Mitjana Rival'],1.0,200.0,71.0,18.0,42.0,0.43,6.0,23.0,0.26,17.0,24.0,0.71,19.0,75.0,0.52,94.67,41.54,43.95,26.15,35.0
PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A Equipo,['Mitjana'],1.0,200.0,40.0,9.0,37.0,0.24,3.0,19.0,0.16,13.0,30.0,0.43,20.0,69.0,0.49,57.97,24.11,29.63,23.21,34.0
PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A Equipo Rival,['Mitjana Rival'],1.0,200.0,79.0,17.0,35.0,0.49,11.0,30.0,0.37,12.0,18.0,0.67,25.0,72.0,0.51,109.72,51.54,47.65,18.46,46.0
UE MATARO  HOMS - JAM Equipo,['Mitjana'],1.0,200.0,70.0,20.0,37.0,0.54,6.0,20.0,0.3,12.0,22.0,0.55,25.0,66.0,0.47,106.06,50.88,50.12,21.05,35.0
UE MATARO  HOMS - JAM Equipo Rival,['Mitjana Rival'],1.0,200.0,49.0,13.0,36.0,0.36,3.0,27.0,0.11,14.0,27.0,0.52,22.0,74.0,0.53,66.22,27.78,32.92,22.22,43.0
