Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
BASQUET MOLINS Equipo,['Mitjana'],20.0,200.0,59.85,15.05,37.45,0.4,6.0,22.15,0.27,11.75,19.1,0.62,19.3,65.25,0.48,91.72,40.35,40.99,19.71,0.37
BASQUET MOLINS Equipo Rival,['Mitjana Rival'],20.0,200.0,67.85,16.4,37.95,0.43,7.8,27.55,0.28,11.65,18.85,0.62,20.45,70.8,0.52,95.83,42.9,41.95,17.79,0.42
C.B.CASTELLAR A Equipo,['Mitjana'],20.0,201.25,65.5,14.8,32.35,0.46,8.9,31.15,0.29,9.2,13.8,0.67,22.5,66.75,0.49,98.13,44.33,41.45,14.49,0.49
C.B.CASTELLAR A Equipo Rival,['Mitjana Rival'],20.0,201.25,74.45,18.1,37.35,0.48,7.5,25.25,0.3,15.75,25.1,0.63,18.8,70.65,0.51,105.38,46.88,47.15,25.16,0.4
CB IPSI A Equipo,['Mitjana'],20.0,200.0,69.75,17.45,41.25,0.42,6.55,27.4,0.24,15.2,26.75,0.57,22.95,77.2,0.53,90.35,39.73,41.22,22.14,0.4
CB IPSI A Equipo Rival,['Mitjana Rival'],20.0,200.0,68.2,16.35,36.65,0.45,7.0,25.25,0.28,14.5,22.6,0.64,24.35,68.95,0.47,98.91,43.38,44.02,23.42,0.41
CLUB NATACIO SABADELL A Equipo,['Mitjana'],20.0,201.25,72.45,17.25,39.1,0.44,8.0,25.9,0.31,13.95,22.2,0.63,24.0,71.75,0.51,100.98,45.0,44.54,21.46,0.4
CLUB NATACIO SABADELL A Equipo Rival,['Mitjana Rival'],20.0,201.25,66.5,14.75,35.45,0.42,6.6,23.7,0.28,17.1,26.0,0.66,22.45,67.75,0.49,98.15,41.67,43.9,28.91,0.4
CLUB NATACIO TERRASSA A Equipo,['Mitjana'],20.0,202.5,59.0,16.5,40.15,0.41,5.6,20.45,0.27,9.2,15.5,0.59,22.5,64.7,0.5,91.19,41.09,40.83,15.18,0.34
CLUB NATACIO TERRASSA A Equipo Rival,['Mitjana Rival'],20.0,202.5,64.6,17.1,37.05,0.46,5.1,20.05,0.25,15.1,24.3,0.62,17.4,65.05,0.5,99.31,43.35,45.69,26.44,0.35
COCHESINTERNET.NET CB ALPICAT Equipo,['Mitjana'],20.0,201.25,71.3,19.0,39.9,0.48,6.4,26.65,0.24,14.1,23.5,0.6,22.9,73.8,0.51,96.61,42.98,43.84,21.19,0.4
COCHESINTERNET.NET CB ALPICAT Equipo Rival,['Mitjana Rival'],20.0,201.25,64.35,15.3,38.35,0.4,6.6,24.6,0.27,13.95,23.15,0.6,20.95,70.2,0.49,91.67,40.03,41.13,22.16,0.39
GRUP VIA - CB ARTES Equipo,['Mitjana'],20.0,200.0,70.55,16.8,34.0,0.49,8.35,27.15,0.31,11.9,19.1,0.62,21.15,66.75,0.49,105.69,47.96,46.09,19.46,0.44
GRUP VIA - CB ARTES Equipo Rival,['Mitjana Rival'],20.0,200.0,62.85,16.2,40.0,0.41,5.8,23.15,0.25,13.05,21.55,0.61,20.7,69.7,0.51,90.17,39.43,40.8,20.67,0.37
LA SALLE MANRESA S.GOL Equipo,['Mitjana'],20.0,201.25,70.35,17.75,37.0,0.48,7.65,27.35,0.28,11.9,18.3,0.65,19.6,69.5,0.49,101.22,45.42,44.4,18.49,0.43
LA SALLE MANRESA S.GOL Equipo Rival,['Mitjana Rival'],20.0,201.25,69.55,19.75,43.3,0.46,6.65,23.6,0.28,10.1,17.0,0.59,18.95,71.4,0.51,97.41,44.43,43.53,15.1,0.35
LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS Equipo,['Mitjana'],20.0,200.0,64.65,16.2,38.2,0.42,4.9,21.25,0.23,17.55,26.1,0.67,20.35,68.05,0.51,95.0,39.61,43.53,29.52,0.36
LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS Equipo Rival,['Mitjana Rival'],20.0,200.0,61.15,16.1,37.85,0.43,5.75,21.85,0.26,11.7,18.05,0.65,24.7,64.9,0.49,94.22,41.42,42.1,19.6,0.37
NOU BASQUET OLESA A Equipo,['Mitjana'],19.0,201.32,74.42,20.95,42.42,0.49,6.05,19.21,0.32,14.26,22.42,0.64,20.47,68.63,0.5,108.44,48.72,49.27,23.14,0.31
NOU BASQUET OLESA A Equipo Rival,['Mitjana Rival'],19.0,201.32,65.47,17.0,39.58,0.43,6.68,25.0,0.27,11.42,18.63,0.61,23.11,69.84,0.5,93.75,41.85,41.68,17.69,0.39
PUJOL CB MOLLERUSSA Equipo,['Mitjana'],19.0,201.32,60.79,15.47,39.68,0.39,5.68,23.63,0.24,12.79,20.21,0.63,21.11,69.32,0.49,87.7,37.91,39.43,20.2,0.37
PUJOL CB MOLLERUSSA Equipo Rival,['Mitjana Rival'],19.0,201.32,74.63,18.21,37.42,0.49,8.42,29.79,0.28,12.95,21.53,0.6,20.74,73.58,0.51,101.43,45.89,44.68,19.26,0.44
SD ESPANYOL Equipo,['Mitjana'],20.0,201.25,71.05,17.75,37.5,0.47,6.9,24.25,0.28,14.85,24.75,0.6,19.75,69.7,0.51,101.94,45.51,46.01,24.05,0.39
SD ESPANYOL Equipo Rival,['Mitjana Rival'],20.0,201.25,64.5,17.9,38.35,0.47,6.0,24.95,0.24,10.7,16.2,0.66,22.75,67.6,0.49,95.41,42.5,42.47,16.9,0.39
TERRA ENDINS CB VILATORRADA Equipo,['Mitjana'],20.0,200.0,68.7,16.9,40.4,0.42,6.9,25.3,0.27,14.2,22.4,0.63,21.3,72.5,0.51,94.76,41.48,42.27,21.61,0.39
TERRA ENDINS CB VILATORRADA Equipo Rival,['Mitjana Rival'],20.0,200.0,73.1,16.9,35.35,0.48,8.55,27.85,0.31,13.65,21.8,0.63,22.05,69.85,0.49,104.65,47.03,45.82,21.6,0.44
VEDRUNA GRACIA A Equipo,['Mitjana'],20.0,201.25,67.6,16.25,33.4,0.49,7.4,26.3,0.28,12.9,19.9,0.65,21.35,65.7,0.49,102.89,45.81,45.26,21.61,0.44
VEDRUNA GRACIA A Equipo Rival,['Mitjana Rival'],20.0,201.25,69.0,18.0,37.9,0.47,7.0,26.15,0.27,12.0,19.15,0.63,21.95,69.55,0.51,99.21,44.5,44.06,18.74,0.41
