Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,9.0,202.78,68.0,18.67,37.44,0.5,5.44,24.44,0.22,14.33,23.89,0.6,23.44,69.44,0.48,97.92,43.36,44.98,23.16,0.39
Equip,2 Derrota,6.0,200.0,63.67,16.67,36.67,0.45,5.5,25.5,0.22,13.83,22.17,0.62,24.33,69.0,0.47,92.27,40.08,41.92,22.25,0.41
Equip,2 Victoria,3.0,208.33,76.67,22.67,39.0,0.58,5.33,22.33,0.24,15.33,27.33,0.56,21.67,70.33,0.48,109.0,50.0,50.96,25.0,0.36
Equip,3 Local,5.0,200.0,70.0,19.8,40.8,0.49,5.0,23.4,0.21,15.4,24.0,0.64,24.4,71.6,0.48,97.77,42.52,44.94,23.99,0.36
Equip,3 Visitant,4.0,206.25,65.5,17.25,33.25,0.52,6.0,25.75,0.23,13.0,23.75,0.55,22.25,66.5,0.47,98.5,44.49,44.97,22.03,0.44
Equip,4 Dificil,6.0,204.17,71.5,20.33,38.67,0.53,5.5,24.67,0.22,14.33,22.83,0.63,23.33,70.33,0.48,101.66,45.13,46.51,22.63,0.39
Equip,4 Facil,3.0,200.0,61.0,15.33,35.0,0.44,5.33,24.0,0.22,14.33,26.0,0.55,23.67,67.33,0.47,90.59,39.55,41.75,24.29,0.41
Equip,5 Equips Cua,2.0,200.0,79.0,23.5,42.0,0.56,5.0,19.5,0.26,17.0,25.0,0.68,22.0,69.5,0.46,113.67,50.41,52.41,27.64,0.32
Equip,5 Equips Top,2.0,200.0,79.0,23.5,42.0,0.56,5.0,19.5,0.26,17.0,25.0,0.68,22.0,69.5,0.46,113.67,50.41,52.41,27.64,0.32
Equip,6 Ultims 3,3.0,36000.0,191.0,54.0,110.0,0.49,12.0,54.0,0.22,47.0,81.0,0.58,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Equip Rival,1 Mitjana Rival,9.0,202.78,73.56,20.33,43.89,0.46,5.89,24.89,0.24,15.22,25.11,0.61,22.78,76.56,0.52,96.08,42.41,44.03,22.13,0.36
Equip Rival,2 Derrota Rival,6.0,200.0,74.83,21.33,45.67,0.47,5.33,22.5,0.24,16.17,26.17,0.62,22.17,76.33,0.53,98.03,43.03,45.28,23.72,0.33
Equip Rival,2 Victoria Rival,3.0,208.33,71.0,18.33,40.33,0.45,7.0,29.67,0.24,13.33,23.0,0.58,24.0,76.67,0.52,92.61,41.19,41.55,19.05,0.42
Equip Rival,3 Local Rival,5.0,200.0,73.4,22.2,44.6,0.5,4.0,24.0,0.17,17.0,27.8,0.61,22.6,77.4,0.52,94.83,41.11,44.71,24.78,0.35
Equip Rival,3 Visitant Rival,4.0,206.25,73.75,18.0,43.0,0.42,8.25,26.0,0.32,13.0,21.75,0.6,23.0,75.25,0.53,98.01,44.02,43.17,18.84,0.38
Equip Rival,4 Dificil Rival,6.0,204.17,71.33,20.5,44.5,0.46,5.33,25.17,0.21,14.33,24.5,0.59,22.33,77.17,0.52,92.44,40.91,42.72,20.57,0.36
Equip Rival,4 Facil Rival,3.0,200.0,78.0,20.0,42.67,0.47,7.0,24.33,0.29,17.0,26.33,0.65,23.67,75.33,0.53,103.54,45.52,46.7,25.37,0.36
Equip Rival,5 Equips Cua Rival,2.0,200.0,81.5,25.0,47.5,0.53,5.5,27.5,0.2,15.0,23.0,0.65,24.0,81.5,0.54,100.0,44.33,45.83,20.0,0.37
Equip Rival,5 Equips Top Rival,2.0,200.0,81.5,25.0,47.5,0.53,5.5,27.5,0.2,15.0,23.0,0.65,24.0,81.5,0.54,100.0,44.33,45.83,20.0,0.37
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,197.0,54.0,111.0,0.49,18.0,88.0,0.2,35.0,66.0,0.53,73.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
