Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,13.0,200.0,71.62,23.62,47.46,0.5,3.62,18.69,0.19,13.54,20.69,0.65,18.62,72.23,0.48,99.15,43.9,46.38,20.47,0.28
Equip,2 Derrota,7.0,200.0,64.86,20.71,45.86,0.45,3.43,18.0,0.19,13.14,20.86,0.63,19.14,70.0,0.47,92.65,40.49,43.41,20.58,0.28
Equip,2 Victoria,6.0,200.0,79.5,27.0,49.33,0.55,3.83,19.5,0.2,14.0,20.5,0.68,18.0,74.67,0.5,106.47,47.58,49.6,20.34,0.28
Equip,3 Local,6.0,200.0,67.0,20.0,44.0,0.45,4.17,20.0,0.21,14.5,21.83,0.66,18.33,70.5,0.48,95.04,41.02,43.88,22.66,0.31
Equip,3 Visitant,7.0,200.0,75.57,26.71,50.43,0.53,3.14,17.57,0.18,12.71,19.71,0.64,18.86,73.57,0.49,102.72,46.22,48.43,18.7,0.26
Equip,4 Dificil,5.0,200.0,70.4,22.2,47.2,0.47,3.8,18.4,0.21,14.6,21.4,0.68,18.8,72.0,0.47,97.78,42.53,45.44,22.26,0.28
Equip,4 Facil,8.0,200.0,72.38,24.5,47.62,0.51,3.5,18.88,0.19,12.88,20.25,0.64,18.5,72.38,0.49,100.0,44.74,46.95,19.36,0.28
Equip,5 Equips Cua,2.0,200.0,76.0,23.0,46.0,0.5,5.5,17.5,0.31,13.5,23.0,0.59,19.5,70.5,0.47,107.8,49.21,49.7,21.26,0.28
Equip,5 Equips Top,2.0,200.0,76.0,23.0,46.0,0.5,5.5,17.5,0.31,13.5,23.0,0.59,19.5,70.5,0.47,107.8,49.21,49.7,21.26,0.28
Equip,6 Ultims 3,3.0,36000.0,186.0,64.0,135.0,0.47,6.0,51.0,0.12,40.0,68.0,0.59,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27
Equip Rival,1 Mitjana Rival,13.0,200.0,72.31,21.0,45.62,0.46,6.31,26.38,0.24,11.38,19.0,0.6,21.69,77.08,0.52,93.81,42.31,42.32,15.81,0.37
Equip Rival,2 Derrota Rival,7.0,200.0,79.29,22.57,46.57,0.48,7.57,27.29,0.28,11.43,18.29,0.62,21.57,78.57,0.53,100.91,45.94,44.88,15.47,0.37
Equip Rival,2 Victoria Rival,6.0,200.0,64.17,19.17,44.5,0.43,4.83,25.33,0.19,11.33,19.83,0.57,21.83,75.33,0.5,85.18,37.83,39.19,16.23,0.36
Equip Rival,3 Local Rival,6.0,200.0,75.0,21.67,45.83,0.47,6.67,26.83,0.25,11.67,18.17,0.64,22.17,77.33,0.52,96.98,43.58,43.37,16.06,0.37
Equip Rival,3 Visitant Rival,7.0,200.0,70.0,20.43,45.43,0.45,6.0,26.0,0.23,11.14,19.71,0.57,21.29,76.86,0.51,91.08,41.2,41.38,15.6,0.36
Equip Rival,4 Dificil Rival,5.0,200.0,70.8,20.4,48.4,0.42,5.4,27.0,0.2,13.8,21.6,0.64,20.8,81.4,0.53,86.98,37.8,39.64,18.3,0.36
Equip Rival,4 Facil Rival,8.0,200.0,73.25,21.38,43.88,0.49,6.88,26.0,0.26,9.88,17.38,0.57,22.25,74.38,0.51,98.49,45.35,44.13,14.13,0.37
Equip Rival,5 Equips Cua Rival,2.0,200.0,72.0,20.0,50.0,0.4,6.5,24.5,0.27,12.5,20.5,0.61,24.0,80.0,0.53,90.0,39.93,40.45,16.78,0.33
Equip Rival,5 Equips Top Rival,2.0,200.0,72.0,20.0,50.0,0.4,6.5,24.5,0.27,12.5,20.5,0.61,24.0,80.0,0.53,90.0,39.93,40.45,16.78,0.33
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,226.0,62.0,145.0,0.43,22.0,80.0,0.28,36.0,66.0,0.55,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
