Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,2.0,200.0,66.5,13.0,31.5,0.41,5.5,26.5,0.21,24.0,34.5,0.7,27.0,70.0,0.5,95.0,36.64,43.21,41.38,0.46
Equip,2 Derrota,1.0,200.0,59.0,9.0,28.0,0.32,5.0,23.0,0.22,26.0,34.0,0.76,28.0,63.0,0.47,93.65,32.35,41.56,50.98,0.45
Equip,2 Victoria,1.0,200.0,74.0,17.0,35.0,0.49,6.0,30.0,0.2,22.0,35.0,0.63,26.0,77.0,0.53,96.1,40.0,44.39,33.85,0.46
Equip,3 Local,1.0,200.0,74.0,17.0,35.0,0.49,6.0,30.0,0.2,22.0,35.0,0.63,26.0,77.0,0.53,96.1,40.0,44.39,33.85,0.46
Equip,3 Visitant,1.0,200.0,59.0,9.0,28.0,0.32,5.0,23.0,0.22,26.0,34.0,0.76,28.0,63.0,0.47,93.65,32.35,41.56,50.98,0.45
Equip,4 Dificil,1.0,200.0,74.0,17.0,35.0,0.49,6.0,30.0,0.2,22.0,35.0,0.63,26.0,77.0,0.53,96.1,40.0,44.39,33.85,0.46
Equip,4 Facil,1.0,200.0,59.0,9.0,28.0,0.32,5.0,23.0,0.22,26.0,34.0,0.76,28.0,63.0,0.47,93.65,32.35,41.56,50.98,0.45
Equip,6 Ultims 3,2.0,200.0,66.5,13.0,31.5,0.41,5.5,26.5,0.21,24.0,34.5,0.7,27.0,70.0,0.5,95.0,36.64,43.21,41.38,0.46
Equip Rival,1 Mitjana Rival,2.0,200.0,69.0,18.5,43.5,0.43,5.5,19.5,0.28,15.5,25.5,0.61,27.5,71.0,0.5,97.18,42.46,44.58,24.6,0.31
Equip Rival,2 Derrota Rival,1.0,200.0,71.0,12.0,38.0,0.32,9.0,26.0,0.35,20.0,27.0,0.74,28.0,72.0,0.53,98.61,39.84,41.54,31.25,0.41
Equip Rival,2 Victoria Rival,1.0,200.0,67.0,25.0,49.0,0.51,2.0,13.0,0.15,11.0,24.0,0.46,27.0,69.0,0.47,97.1,45.16,47.18,17.74,0.21
Equip Rival,3 Local Rival,1.0,200.0,67.0,25.0,49.0,0.51,2.0,13.0,0.15,11.0,24.0,0.46,27.0,69.0,0.47,97.1,45.16,47.18,17.74,0.21
Equip Rival,3 Visitant Rival,1.0,200.0,71.0,12.0,38.0,0.32,9.0,26.0,0.35,20.0,27.0,0.74,28.0,72.0,0.53,98.61,39.84,41.54,31.25,0.41
Equip Rival,4 Dificil Rival,1.0,200.0,67.0,25.0,49.0,0.51,2.0,13.0,0.15,11.0,24.0,0.46,27.0,69.0,0.47,97.1,45.16,47.18,17.74,0.21
Equip Rival,4 Facil Rival,1.0,200.0,71.0,12.0,38.0,0.32,9.0,26.0,0.35,20.0,27.0,0.74,28.0,72.0,0.53,98.61,39.84,41.54,31.25,0.41
Equip Rival,6 Ultims 3 Rival,2.0,200.0,69.0,18.5,43.5,0.43,5.5,19.5,0.28,15.5,25.5,0.61,27.5,71.0,0.5,97.18,42.46,44.58,24.6,0.31
