Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,5.0,200.0,70.0,17.4,40.2,0.43,5.4,18.8,0.29,19.0,29.6,0.64,21.8,69.0,0.52,101.45,43.22,46.76,32.2,0.32
Equip,2 Derrota,2.0,200.0,64.5,15.5,39.5,0.39,6.0,18.5,0.32,15.5,28.0,0.55,25.5,67.5,0.52,95.56,42.24,44.03,26.72,0.32
Equip,2 Victoria,3.0,200.0,73.67,18.67,40.67,0.46,5.0,19.0,0.26,21.33,30.67,0.7,19.33,70.0,0.52,105.24,43.85,48.37,35.75,0.32
Equip,3 Local,2.0,200.0,62.5,17.0,43.0,0.4,4.5,20.5,0.22,15.0,23.5,0.64,19.5,70.5,0.55,88.65,37.4,40.7,23.62,0.32
Equip,3 Visitant,3.0,200.0,75.0,17.67,38.33,0.46,6.0,17.67,0.34,21.67,33.67,0.64,23.33,67.67,0.5,110.84,47.62,50.99,38.69,0.32
Equip,4 Dificil,1.0,200.0,57.0,13.0,41.0,0.32,5.0,19.0,0.26,16.0,25.0,0.64,23.0,68.0,0.55,83.82,34.17,38.15,26.67,0.32
Equip,4 Facil,4.0,200.0,73.25,18.5,40.0,0.46,5.5,18.75,0.29,19.75,30.75,0.64,21.5,69.25,0.52,105.78,45.53,48.88,33.62,0.32
Equip,6 Ultims 3,3.0,36000.0,200.0,49.0,115.0,0.43,17.0,53.0,0.32,51.0,80.0,0.64,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
Equip Rival,1 Mitjana Rival,5.0,200.0,63.8,16.0,37.0,0.43,6.4,20.4,0.31,12.6,19.4,0.65,27.4,63.2,0.48,100.95,44.6,44.82,21.95,0.36
Equip Rival,2 Derrota Rival,2.0,200.0,73.0,15.0,30.0,0.5,9.5,24.0,0.4,14.5,25.5,0.57,28.5,62.5,0.48,116.8,54.17,51.09,26.85,0.44
Equip Rival,2 Victoria Rival,3.0,200.0,57.67,16.67,41.67,0.4,4.33,18.0,0.24,11.33,15.33,0.74,26.67,63.67,0.48,90.58,38.83,40.6,18.99,0.3
Equip Rival,3 Local Rival,2.0,200.0,54.0,13.0,34.0,0.38,7.0,20.0,0.35,7.0,13.0,0.54,24.0,57.0,0.45,94.74,43.52,40.7,12.96,0.37
Equip Rival,3 Visitant Rival,3.0,200.0,70.33,18.0,39.0,0.46,6.0,20.67,0.29,16.33,23.67,0.69,29.67,67.0,0.5,104.98,45.25,47.09,27.37,0.35
Equip Rival,4 Dificil Rival,1.0,200.0,60.0,10.0,27.0,0.37,10.0,24.0,0.42,10.0,18.0,0.56,26.0,56.0,0.45,107.14,49.02,44.29,19.61,0.47
Equip Rival,4 Facil Rival,4.0,200.0,64.75,17.5,39.5,0.44,5.5,19.5,0.28,13.25,19.75,0.67,27.75,64.75,0.48,100.0,43.64,44.91,22.46,0.33
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,205.0,48.0,102.0,0.47,24.0,66.0,0.36,37.0,61.0,0.61,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
