Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,2.0,200.0,86.0,28.0,46.5,0.6,7.0,23.5,0.3,9.0,20.5,0.44,20.0,75.5,0.52,113.91,55.0,51.94,12.86,0.34
Equip,2 Victoria,2.0,200.0,86.0,28.0,46.5,0.6,7.0,23.5,0.3,9.0,20.5,0.44,20.0,75.5,0.52,113.91,55.0,51.94,12.86,0.34
Equip,3 Local,1.0,200.0,98.0,35.0,54.0,0.65,7.0,30.0,0.23,7.0,13.0,0.54,18.0,86.0,0.55,113.95,54.17,51.67,8.33,0.36
Equip,3 Visitant,1.0,200.0,74.0,21.0,39.0,0.54,7.0,17.0,0.41,11.0,28.0,0.39,22.0,65.0,0.49,113.85,56.25,52.19,19.64,0.3
Equip,4 Facil,2.0,200.0,86.0,28.0,46.5,0.6,7.0,23.5,0.3,9.0,20.5,0.44,20.0,75.5,0.52,113.91,55.0,51.94,12.86,0.34
Equip,6 Ultims 3,2.0,24000.0,172.0,56.0,93.0,0.6,14.0,47.0,0.3,18.0,41.0,0.44,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
Equip Rival,1 Mitjana Rival,2.0,200.0,60.0,18.5,43.5,0.43,4.0,22.0,0.18,11.0,15.0,0.73,22.0,69.0,0.48,86.96,37.4,39.26,16.79,0.34
Equip Rival,2 Victoria Rival,2.0,200.0,60.0,18.5,43.5,0.43,4.0,22.0,0.18,11.0,15.0,0.73,22.0,69.0,0.48,86.96,37.4,39.26,16.79,0.34
Equip Rival,3 Local Rival,1.0,200.0,60.0,21.0,48.0,0.44,3.0,20.0,0.15,9.0,13.0,0.69,20.0,70.0,0.45,85.71,37.5,39.22,13.24,0.29
Equip Rival,3 Visitant Rival,1.0,200.0,60.0,16.0,39.0,0.41,5.0,24.0,0.21,13.0,17.0,0.76,24.0,67.0,0.51,89.55,37.3,39.29,20.63,0.38
Equip Rival,4 Facil Rival,2.0,200.0,60.0,18.5,43.5,0.43,4.0,22.0,0.18,11.0,15.0,0.73,22.0,69.0,0.48,86.96,37.4,39.26,16.79,0.34
Equip Rival,6 Ultims 3 Rival,2.0,24000.0,120.0,37.0,87.0,0.43,8.0,44.0,0.18,22.0,30.0,0.73,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
