Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,5.0,200.0,69.0,14.6,35.0,0.42,7.8,29.0,0.27,16.4,26.8,0.61,24.2,72.6,0.49,95.04,41.09,42.16,25.62,0.45
Equip,2 Derrota,3.0,200.0,64.33,15.67,39.67,0.39,7.0,29.0,0.24,12.0,21.33,0.56,23.67,74.67,0.5,86.16,38.11,38.3,17.48,0.42
Equip,2 Victoria,2.0,200.0,76.0,13.0,28.0,0.46,9.0,29.0,0.31,23.0,35.0,0.66,25.0,69.5,0.49,109.35,46.49,48.39,40.35,0.51
Equip,3 Local,3.0,200.0,71.67,13.67,34.67,0.39,8.67,27.67,0.31,18.33,27.67,0.66,23.33,71.33,0.49,100.47,42.78,43.79,29.41,0.44
Equip,3 Visitant,2.0,200.0,65.0,16.0,35.5,0.45,6.5,31.0,0.21,13.5,25.5,0.53,25.5,74.5,0.5,87.25,38.72,39.69,20.3,0.47
Equip,4 Dificil,4.0,200.0,66.5,15.5,37.5,0.41,6.75,28.0,0.24,15.25,25.5,0.6,23.75,73.5,0.49,90.48,39.12,40.69,23.28,0.43
Equip,4 Facil,1.0,200.0,79.0,11.0,25.0,0.44,12.0,33.0,0.36,21.0,32.0,0.66,26.0,69.0,0.49,114.49,50.0,48.43,36.21,0.57
Equip,6 Ultims 3,3.0,36000.0,204.0,46.0,110.0,0.42,21.0,80.0,0.26,49.0,77.0,0.64,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
Equip Rival,1 Mitjana Rival,5.0,200.0,68.6,15.8,40.6,0.39,6.6,25.8,0.26,17.2,26.0,0.66,25.0,74.6,0.51,91.96,38.7,41.16,25.9,0.39
Equip Rival,2 Derrota Rival,3.0,200.0,70.67,19.33,43.33,0.45,5.0,25.67,0.19,17.0,23.67,0.72,22.0,76.0,0.5,92.98,38.89,42.12,24.64,0.37
Equip Rival,2 Victoria Rival,2.0,200.0,65.5,10.5,36.5,0.29,9.0,26.0,0.35,17.5,29.5,0.59,29.5,72.0,0.51,90.97,38.4,39.5,28.0,0.42
Equip Rival,3 Local Rival,3.0,200.0,67.33,15.67,41.33,0.38,6.67,24.67,0.27,16.0,25.0,0.64,26.0,73.67,0.51,91.4,38.89,40.84,24.24,0.37
Equip Rival,3 Visitant Rival,2.0,200.0,70.5,16.0,39.5,0.41,6.5,27.5,0.24,19.0,27.5,0.69,23.5,75.5,0.5,93.38,38.43,41.6,28.36,0.41
Equip Rival,4 Dificil Rival,4.0,200.0,68.75,16.5,41.0,0.4,6.25,26.25,0.24,17.0,25.0,0.68,23.5,75.0,0.51,91.67,38.48,41.07,25.28,0.39
Equip Rival,4 Facil Rival,1.0,200.0,68.0,13.0,39.0,0.33,8.0,24.0,0.33,18.0,30.0,0.6,31.0,73.0,0.51,93.15,39.68,41.44,28.57,0.38
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,208.0,49.0,122.0,0.4,20.0,79.0,0.25,50.0,73.0,0.68,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39
