Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,15.0,200.0,65.0,18.53,41.67,0.44,4.93,22.33,0.22,13.13,22.33,0.59,23.4,70.87,0.51,91.72,40.52,42.35,20.52,0.35
Equip,2 Derrota,6.0,200.0,57.17,17.83,43.67,0.41,2.67,21.5,0.12,13.5,24.33,0.55,23.33,72.83,0.52,78.49,33.5,37.79,20.72,0.33
Equip,2 Victoria,9.0,200.0,70.22,19.0,40.33,0.47,6.44,22.89,0.28,12.89,21.0,0.61,23.44,69.56,0.51,100.96,45.34,45.5,20.39,0.36
Equip,3 Local,8.0,200.0,65.25,16.88,39.0,0.43,5.88,23.12,0.25,13.88,22.75,0.61,23.25,69.12,0.51,94.39,41.35,42.77,22.33,0.37
Equip,3 Visitant,7.0,200.0,64.71,20.43,44.71,0.46,3.86,21.43,0.18,12.29,21.86,0.56,23.57,72.71,0.52,89.0,39.63,41.87,18.57,0.32
Equip,4 Dificil,9.0,200.0,65.11,18.89,40.67,0.46,4.89,20.89,0.23,12.67,23.22,0.55,24.56,68.89,0.51,94.52,42.6,43.97,20.58,0.34
Equip,4 Facil,6.0,200.0,64.83,18.0,43.17,0.42,5.0,24.5,0.2,13.83,21.0,0.66,21.67,73.67,0.51,88.01,37.68,39.99,20.44,0.36
Equip,5 Equips Cua,3.0,200.0,67.33,20.0,42.67,0.47,4.67,23.33,0.2,13.33,20.33,0.66,24.0,71.67,0.52,93.95,40.91,42.94,20.2,0.35
Equip,5 Equips Top,3.0,200.0,67.33,20.0,42.67,0.47,4.67,23.33,0.2,13.33,20.33,0.66,24.0,71.67,0.52,93.95,40.91,42.94,20.2,0.35
Equip,6 Ultims 3,3.0,36000.0,158.0,51.0,124.0,0.41,6.0,62.0,0.1,38.0,68.0,0.56,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Equip Rival,1 Mitjana Rival,15.0,200.0,61.47,15.93,36.27,0.44,5.4,23.07,0.23,13.4,23.6,0.57,21.6,66.87,0.49,91.92,40.51,42.18,22.58,0.39
Equip Rival,2 Derrota Rival,6.0,200.0,67.33,17.17,35.33,0.49,6.83,24.33,0.28,12.5,22.33,0.56,22.67,66.67,0.48,101.0,45.95,45.48,20.95,0.41
Equip Rival,2 Victoria Rival,9.0,200.0,57.56,15.11,36.89,0.41,4.44,22.22,0.2,14.0,24.44,0.57,20.89,67.0,0.49,85.9,36.84,39.99,23.68,0.38
Equip Rival,3 Local Rival,8.0,200.0,57.88,14.75,36.0,0.41,4.88,23.62,0.21,13.75,23.5,0.59,21.38,67.12,0.49,86.22,37.0,39.71,23.06,0.4
Equip Rival,3 Visitant Rival,7.0,200.0,65.57,17.29,36.57,0.47,6.0,22.43,0.27,13.0,23.71,0.55,21.86,66.57,0.48,98.5,44.55,45.02,22.03,0.38
Equip Rival,4 Dificil Rival,9.0,200.0,62.89,16.56,35.56,0.47,5.0,20.78,0.24,14.78,26.11,0.57,22.22,65.0,0.49,96.75,42.7,44.97,26.23,0.37
Equip Rival,4 Facil Rival,6.0,200.0,59.33,15.0,37.33,0.4,6.0,26.5,0.23,11.33,19.83,0.57,20.67,69.5,0.49,85.37,37.6,38.29,17.75,0.42
Equip Rival,5 Equips Cua Rival,3.0,200.0,60.0,14.0,33.33,0.42,5.67,24.0,0.24,15.0,27.33,0.55,19.0,66.33,0.48,90.45,39.24,41.56,26.16,0.42
Equip Rival,5 Equips Top Rival,3.0,200.0,60.0,14.0,33.33,0.42,5.67,24.0,0.24,15.0,27.33,0.55,19.0,66.33,0.48,90.45,39.24,41.56,26.16,0.42
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,195.0,45.0,104.0,0.43,23.0,82.0,0.28,36.0,69.0,0.52,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
