Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,5.0,200.0,76.8,19.8,46.2,0.43,6.8,21.2,0.32,16.4,25.2,0.65,20.4,75.2,0.53,102.13,44.51,45.75,24.33,0.31
Equip,2 Victoria,5.0,200.0,76.8,19.8,46.2,0.43,6.8,21.2,0.32,16.4,25.2,0.65,20.4,75.2,0.53,102.13,44.51,45.75,24.33,0.31
Equip,3 Local,2.0,200.0,77.0,18.5,44.0,0.42,9.5,28.5,0.33,11.5,19.0,0.61,18.5,77.5,0.54,99.35,45.17,42.97,15.86,0.39
Equip,3 Visitant,3.0,200.0,76.67,20.67,47.67,0.43,5.0,16.33,0.31,19.67,29.33,0.67,21.67,73.67,0.52,104.07,44.01,47.7,30.73,0.26
Equip,4 Dificil,3.0,200.0,69.33,18.33,44.33,0.41,5.33,18.67,0.29,16.67,25.33,0.66,19.33,71.0,0.53,97.65,41.8,44.6,26.46,0.3
Equip,4 Facil,2.0,200.0,88.0,22.0,49.0,0.45,9.0,25.0,0.36,16.0,25.0,0.64,22.0,81.5,0.53,107.98,47.97,47.27,21.62,0.34
Equip,6 Ultims 3,3.0,36000.0,221.0,56.0,137.0,0.41,15.0,58.0,0.26,62.0,94.0,0.66,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Equip Rival,1 Mitjana Rival,5.0,200.0,62.8,15.6,36.2,0.43,6.2,24.6,0.25,13.0,21.0,0.62,24.2,67.2,0.47,93.45,40.95,41.88,21.38,0.4
Equip Rival,2 Victoria Rival,5.0,200.0,62.8,15.6,36.2,0.43,6.2,24.6,0.25,13.0,21.0,0.62,24.2,67.2,0.47,93.45,40.95,41.88,21.38,0.4
Equip Rival,3 Local Rival,2.0,200.0,58.0,14.5,37.5,0.39,6.0,24.5,0.24,11.0,18.0,0.61,21.5,67.0,0.46,86.57,37.9,38.46,17.74,0.4
Equip Rival,3 Visitant Rival,3.0,200.0,66.0,16.33,35.33,0.46,6.33,24.67,0.26,14.33,23.0,0.62,26.0,67.0,0.48,98.51,43.06,44.16,23.89,0.41
Equip Rival,4 Dificil Rival,3.0,200.0,63.0,17.67,37.67,0.47,5.0,19.67,0.25,12.67,19.67,0.64,24.33,63.33,0.47,99.47,43.9,45.3,22.09,0.34
Equip Rival,4 Facil Rival,2.0,200.0,62.5,12.5,34.0,0.37,8.0,32.0,0.25,13.5,23.0,0.59,24.0,73.0,0.47,85.62,37.12,37.41,20.45,0.48
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,197.0,51.0,115.0,0.44,18.0,76.0,0.24,41.0,67.0,0.61,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
