Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,26.0,200.96,55.77,14.23,36.46,0.39,5.27,22.92,0.23,11.5,18.08,0.64,21.04,64.62,0.51,86.31,37.27,38.69,19.37,0.39
Equip,2 Derrota,8.0,200.0,48.62,12.5,35.25,0.35,4.75,23.38,0.2,9.38,16.12,0.58,20.88,63.0,0.5,77.18,33.48,34.68,15.99,0.4
Equip,2 Victoria,18.0,201.39,58.94,15.0,37.0,0.41,5.5,22.72,0.24,12.44,18.94,0.66,21.11,65.33,0.52,90.22,38.93,40.39,20.84,0.38
Equip,3 Local,13.0,200.0,55.31,13.15,34.31,0.38,6.23,24.92,0.25,10.31,17.15,0.6,21.31,64.08,0.51,86.31,37.99,38.06,17.4,0.42
Equip,3 Visitant,13.0,201.92,56.23,15.31,38.62,0.4,4.31,20.92,0.21,12.69,19.0,0.67,20.77,65.15,0.51,86.3,36.56,39.29,21.32,0.35
Equip,4 Dificil,14.0,201.79,52.64,13.57,37.0,0.37,4.57,23.5,0.19,11.79,19.21,0.61,22.79,66.14,0.51,79.59,33.77,36.19,19.48,0.39
Equip,4 Facil,12.0,200.0,59.42,15.0,35.83,0.42,6.08,22.25,0.27,11.17,16.75,0.67,19.0,62.83,0.52,94.56,41.54,41.74,19.23,0.38
Equip,6 Ultims 3,3.0,36000.0,158.0,37.0,119.0,0.31,18.0,80.0,0.23,30.0,52.0,0.58,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
Equip Rival,1 Mitjana Rival,26.0,200.96,49.81,12.88,37.04,0.35,3.96,17.85,0.22,12.15,20.42,0.6,18.08,61.31,0.49,81.24,34.3,37.55,22.14,0.33
Equip Rival,2 Derrota Rival,8.0,200.0,56.88,13.38,35.5,0.38,5.5,20.25,0.27,13.62,21.62,0.63,16.5,62.62,0.5,90.82,38.79,40.9,24.44,0.36
Equip Rival,2 Victoria Rival,18.0,201.39,46.67,12.67,37.72,0.34,3.28,16.78,0.2,11.5,19.89,0.58,18.78,60.67,0.48,76.92,32.26,36.0,21.1,0.31
Equip Rival,3 Local Rival,13.0,200.0,51.46,13.69,35.85,0.38,4.15,18.46,0.23,11.62,20.46,0.57,17.69,60.77,0.49,84.68,36.69,39.21,21.39,0.34
Equip Rival,3 Visitant Rival,13.0,201.92,48.15,12.08,38.23,0.32,3.77,17.23,0.22,12.69,20.38,0.62,18.46,61.85,0.49,77.86,31.97,35.9,22.88,0.31
Equip Rival,4 Dificil Rival,14.0,201.79,50.43,13.5,38.86,0.35,3.57,17.07,0.21,12.71,22.5,0.57,19.21,63.14,0.49,79.86,33.72,37.53,22.73,0.31
Equip Rival,4 Facil Rival,12.0,200.0,49.08,12.17,34.92,0.35,4.42,18.75,0.24,11.5,18.0,0.64,16.75,59.08,0.48,83.07,35.02,37.53,21.43,0.35
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,149.0,46.0,117.0,0.39,11.0,55.0,0.2,24.0,42.0,0.57,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
