Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,5.0,205.0,74.4,16.6,36.8,0.45,10.2,28.0,0.36,10.6,20.2,0.52,22.8,70.6,0.5,105.38,49.23,45.36,16.36,0.43
Equip,2 Derrota,1.0,200.0,74.0,14.0,35.0,0.4,9.0,34.0,0.26,19.0,31.0,0.61,29.0,79.0,0.49,93.67,39.86,41.21,27.54,0.49
Equip,2 Victoria,4.0,206.25,74.5,17.25,37.25,0.46,10.5,26.5,0.4,8.5,17.5,0.49,21.25,68.5,0.5,108.76,51.76,46.5,13.33,0.42
Equip,3 Local,2.0,200.0,72.0,15.0,32.5,0.46,9.5,32.0,0.3,13.5,25.0,0.54,25.0,72.0,0.51,100.0,45.35,43.47,20.93,0.5
Equip,3 Visitant,3.0,208.33,76.0,17.67,39.67,0.45,10.67,25.33,0.42,8.67,17.0,0.51,21.33,69.33,0.49,109.62,51.79,46.66,13.33,0.39
Equip,4 Dificil,3.0,208.33,70.0,15.67,35.0,0.45,10.33,27.0,0.38,7.67,16.67,0.46,21.67,66.33,0.5,105.53,50.27,44.74,12.37,0.44
Equip,4 Facil,2.0,200.0,81.0,18.0,39.5,0.46,10.0,29.5,0.34,15.0,25.5,0.59,24.5,77.0,0.5,105.19,47.83,46.05,21.74,0.43
Equip,6 Ultims 3,3.0,37500.0,210.0,47.0,105.0,0.45,31.0,81.0,0.38,23.0,50.0,0.46,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
Equip Rival,1 Mitjana Rival,5.0,205.0,68.0,15.0,40.4,0.37,7.8,24.0,0.33,14.2,22.4,0.63,21.2,71.2,0.5,95.51,41.46,41.66,22.05,0.37
Equip Rival,2 Derrota Rival,1.0,200.0,88.0,22.0,51.0,0.43,6.0,19.0,0.32,24.0,35.0,0.69,26.0,81.0,0.51,108.64,44.29,48.35,34.29,0.27
Equip Rival,2 Victoria Rival,4.0,206.25,63.0,13.25,37.75,0.35,8.25,25.25,0.33,11.75,19.25,0.61,20.0,68.5,0.5,91.97,40.67,39.65,18.65,0.4
Equip Rival,3 Local Rival,2.0,200.0,74.0,16.0,40.5,0.4,7.5,21.5,0.35,18.5,27.0,0.69,24.5,70.5,0.49,104.96,43.95,45.65,29.84,0.35
Equip Rival,3 Visitant Rival,3.0,208.33,64.0,14.33,40.33,0.36,8.0,25.67,0.31,11.33,19.33,0.59,19.0,71.33,0.51,89.72,39.9,38.98,17.17,0.39
Equip Rival,4 Dificil Rival,3.0,208.33,64.67,13.0,36.0,0.36,8.67,25.67,0.34,12.67,20.33,0.62,21.0,67.67,0.5,95.57,42.16,41.04,20.54,0.42
Equip Rival,4 Facil Rival,2.0,200.0,73.0,18.0,47.0,0.38,6.5,21.5,0.3,16.5,25.5,0.65,21.5,76.5,0.5,95.42,40.51,42.48,24.09,0.31
Equip Rival,6 Ultims 3 Rival,3.0,37500.0,194.0,39.0,108.0,0.36,26.0,77.0,0.34,38.0,61.0,0.62,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
