Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,13.0,201.92,58.15,14.46,38.54,0.38,5.46,23.69,0.23,12.85,21.08,0.61,19.69,68.62,0.5,84.75,36.4,38.31,20.64,0.38
Equip,2 Derrota,6.0,200.0,51.5,11.33,37.33,0.3,6.0,25.0,0.24,10.83,19.5,0.56,20.33,68.0,0.5,75.74,32.62,33.64,17.38,0.4
Equip,2 Victoria,7.0,203.57,63.86,17.14,39.57,0.43,5.0,22.57,0.22,14.57,22.43,0.65,19.14,69.0,0.5,92.55,39.66,42.2,23.45,0.36
Equip,3 Local,7.0,203.57,57.71,13.43,39.43,0.34,5.71,24.14,0.24,13.71,21.86,0.63,20.43,70.14,0.5,82.28,34.61,36.88,21.57,0.38
Equip,3 Visitant,6.0,200.0,58.67,15.67,37.5,0.42,5.17,23.17,0.22,11.83,20.17,0.59,18.83,66.67,0.5,88.0,38.6,40.04,19.51,0.38
Equip,4 Dificil,7.0,203.57,59.57,13.29,36.14,0.37,6.14,25.14,0.24,14.57,24.43,0.6,20.57,69.14,0.5,86.16,36.71,38.85,23.78,0.41
Equip,4 Facil,6.0,200.0,56.5,15.83,41.33,0.38,4.67,22.0,0.21,10.83,17.17,0.63,18.67,68.0,0.5,83.09,36.05,37.65,17.11,0.35
Equip,6 Ultims 3,3.0,36000.0,170.0,39.0,98.0,0.4,18.0,77.0,0.23,38.0,68.0,0.56,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44
Equip Rival,1 Mitjana Rival,13.0,201.92,57.15,15.77,38.69,0.41,5.0,23.23,0.22,10.62,19.92,0.53,20.54,67.85,0.5,84.24,37.58,38.63,17.14,0.38
Equip Rival,2 Derrota Rival,6.0,200.0,64.17,17.33,38.33,0.45,6.0,23.0,0.26,11.5,21.5,0.53,20.17,67.83,0.5,94.59,42.93,43.0,18.75,0.38
Equip Rival,2 Victoria Rival,7.0,203.57,51.14,14.43,39.0,0.37,4.14,23.43,0.18,9.86,18.57,0.53,20.86,67.71,0.5,75.53,33.07,34.88,15.79,0.38
Equip Rival,3 Local Rival,7.0,203.57,59.29,16.57,39.86,0.42,4.86,23.14,0.21,11.57,21.14,0.55,21.43,69.29,0.5,85.57,37.87,39.4,18.37,0.37
Equip Rival,3 Visitant Rival,6.0,200.0,54.67,14.83,37.33,0.4,5.17,23.33,0.22,9.5,18.5,0.51,19.5,66.0,0.5,82.83,37.23,37.68,15.66,0.38
Equip Rival,4 Dificil Rival,7.0,203.57,58.43,15.71,39.0,0.4,5.0,22.57,0.22,12.0,20.71,0.58,22.29,67.86,0.5,86.11,37.7,39.41,19.49,0.37
Equip Rival,4 Facil Rival,6.0,200.0,55.67,15.83,38.33,0.41,5.0,24.0,0.21,9.0,19.0,0.47,18.5,67.83,0.5,82.06,37.43,37.65,14.44,0.39
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,165.0,43.0,114.0,0.38,12.0,67.0,0.18,43.0,69.0,0.62,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
