Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,14.0,201.79,58.36,16.36,39.43,0.41,5.57,20.0,0.28,8.93,15.43,0.58,22.29,63.5,0.49,91.9,41.59,41.17,15.02,0.34
Equip,2 Derrota,10.0,200.0,58.1,16.3,39.4,0.41,5.3,18.4,0.29,9.6,16.5,0.58,22.1,62.4,0.48,93.11,41.96,42.0,16.61,0.32
Equip,2 Victoria,4.0,206.25,59.0,16.5,39.5,0.42,6.25,24.0,0.26,7.25,12.75,0.57,22.75,66.25,0.51,89.06,40.75,39.21,11.42,0.38
Equip,3 Local,6.0,204.17,61.67,17.83,41.17,0.43,4.83,21.0,0.23,11.5,18.17,0.63,21.5,67.33,0.5,91.58,40.35,41.7,18.5,0.34
Equip,3 Visitant,8.0,200.0,55.88,15.25,38.12,0.4,6.12,19.25,0.32,7.0,13.38,0.52,22.88,60.62,0.48,92.16,42.59,40.67,12.2,0.34
Equip,4 Dificil,11.0,202.27,59.27,16.64,39.27,0.42,5.45,20.09,0.27,9.64,16.45,0.59,22.55,63.91,0.49,92.75,41.81,41.77,16.23,0.34
Equip,4 Facil,3.0,200.0,55.0,15.33,40.0,0.38,6.0,19.67,0.31,6.33,11.67,0.54,21.33,62.0,0.49,88.71,40.78,38.9,10.61,0.33
Equip,6 Ultims 3,3.0,36000.0,176.0,49.0,128.0,0.38,20.0,62.0,0.32,18.0,31.0,0.58,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33
Equip Rival,1 Mitjana Rival,14.0,201.79,63.29,16.5,37.29,0.44,5.43,21.0,0.26,14.0,23.64,0.59,17.43,65.93,0.51,95.99,42.28,44.01,24.02,0.36
Equip Rival,2 Derrota Rival,10.0,200.0,66.9,17.5,38.0,0.46,5.8,21.3,0.27,14.5,24.1,0.6,17.5,67.1,0.52,99.7,44.18,45.56,24.45,0.36
Equip Rival,2 Victoria Rival,4.0,206.25,54.25,14.0,35.5,0.39,4.5,20.25,0.22,12.75,22.5,0.57,17.25,63.0,0.49,86.11,37.22,39.86,22.87,0.36
Equip Rival,3 Local Rival,6.0,204.17,62.33,16.0,36.33,0.44,5.83,23.5,0.25,12.83,21.33,0.6,18.5,66.33,0.5,93.97,41.36,42.44,21.45,0.39
Equip Rival,3 Visitant Rival,8.0,200.0,64.0,16.88,38.0,0.44,5.12,19.12,0.27,14.88,25.38,0.59,16.62,65.5,0.52,97.71,43.0,45.21,26.04,0.33
Equip Rival,4 Dificil Rival,11.0,202.27,62.91,16.18,37.18,0.44,5.36,21.45,0.25,14.45,23.64,0.61,18.09,66.27,0.51,94.92,41.32,43.43,24.65,0.37
Equip Rival,4 Facil Rival,3.0,200.0,64.67,17.67,37.67,0.47,5.67,19.33,0.29,12.33,23.67,0.52,15.0,64.67,0.51,100.0,45.91,46.08,21.64,0.34
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,185.0,49.0,101.0,0.49,16.0,60.0,0.27,39.0,71.0,0.55,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37
