Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,3.0,200.0,77.0,17.67,34.33,0.51,8.0,28.67,0.28,17.67,26.33,0.67,20.33,71.33,0.53,107.94,47.09,47.68,28.04,0.46
Equip,2 Victoria,3.0,200.0,77.0,17.67,34.33,0.51,8.0,28.67,0.28,17.67,26.33,0.67,20.33,71.33,0.53,107.94,47.09,47.68,28.04,0.46
Equip,3 Local,2.0,200.0,76.5,17.0,34.5,0.49,8.0,25.5,0.31,18.5,26.5,0.7,20.0,68.5,0.53,111.68,48.33,49.06,30.83,0.42
Equip,3 Visitant,1.0,200.0,78.0,19.0,34.0,0.56,8.0,35.0,0.23,16.0,26.0,0.62,21.0,77.0,0.53,101.3,44.93,45.17,23.19,0.51
Equip,4 Dificil,2.0,200.0,76.5,17.0,34.5,0.49,8.0,25.5,0.31,18.5,26.5,0.7,20.0,68.5,0.53,111.68,48.33,49.06,30.83,0.42
Equip,4 Facil,1.0,200.0,78.0,19.0,34.0,0.56,8.0,35.0,0.23,16.0,26.0,0.62,21.0,77.0,0.53,101.3,44.93,45.17,23.19,0.51
Equip,6 Ultims 3,3.0,200.0,77.0,17.67,34.33,0.51,8.0,28.67,0.28,17.67,26.33,0.67,20.33,71.33,0.53,107.94,47.09,47.68,28.04,0.46
Equip Rival,1 Mitjana Rival,3.0,200.0,67.67,16.67,34.0,0.49,8.33,26.67,0.31,9.33,14.33,0.65,24.67,64.0,0.47,105.73,48.08,45.23,15.38,0.44
Equip Rival,2 Victoria Rival,3.0,200.0,67.67,16.67,34.0,0.49,8.33,26.67,0.31,9.33,14.33,0.65,24.67,64.0,0.47,105.73,48.08,45.23,15.38,0.44
Equip Rival,3 Local Rival,2.0,200.0,72.0,19.0,31.0,0.61,8.0,26.5,0.3,10.0,15.0,0.67,25.0,61.5,0.47,117.07,53.91,50.92,17.39,0.46
Equip Rival,3 Visitant Rival,1.0,200.0,59.0,12.0,40.0,0.3,9.0,27.0,0.33,8.0,13.0,0.62,24.0,69.0,0.47,85.51,38.06,35.22,11.94,0.4
Equip Rival,4 Dificil Rival,2.0,200.0,72.0,19.0,31.0,0.61,8.0,26.5,0.3,10.0,15.0,0.67,25.0,61.5,0.47,117.07,53.91,50.92,17.39,0.46
Equip Rival,4 Facil Rival,1.0,200.0,59.0,12.0,40.0,0.3,9.0,27.0,0.33,8.0,13.0,0.62,24.0,69.0,0.47,85.51,38.06,35.22,11.94,0.4
Equip Rival,6 Ultims 3 Rival,3.0,200.0,67.67,16.67,34.0,0.49,8.33,26.67,0.31,9.33,14.33,0.65,24.67,64.0,0.47,105.73,48.08,45.23,15.38,0.44
