Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,12.0,200.0,71.75,21.17,46.0,0.46,5.17,20.83,0.25,13.92,24.0,0.58,23.67,74.25,0.5,96.63,43.27,44.8,20.82,0.31
Equip,2 Derrota,5.0,200.0,69.2,20.8,46.4,0.45,4.8,19.8,0.24,13.2,22.8,0.58,23.2,73.0,0.5,94.79,42.3,43.95,19.94,0.3
Equip,2 Victoria,7.0,200.0,73.57,21.43,45.71,0.47,5.43,21.57,0.25,14.43,24.86,0.58,24.0,75.0,0.51,98.1,43.95,45.38,21.44,0.32
Equip,3 Local,6.0,200.0,71.33,22.0,49.0,0.45,5.0,22.5,0.22,12.33,21.83,0.56,24.17,77.83,0.51,91.65,41.26,42.48,17.25,0.31
Equip,3 Visitant,6.0,200.0,72.17,20.33,43.0,0.47,5.33,19.17,0.28,15.5,26.17,0.59,23.17,70.67,0.49,102.12,45.58,47.35,24.93,0.31
Equip,4 Dificil,8.0,200.0,71.25,21.12,47.12,0.45,5.25,20.25,0.26,13.25,22.75,0.58,24.5,74.25,0.5,95.96,43.04,44.31,19.67,0.3
Equip,4 Facil,4.0,200.0,72.75,21.25,43.75,0.49,5.0,22.0,0.23,15.25,26.5,0.58,22.0,74.25,0.52,97.98,43.73,45.76,23.19,0.33
Equip,5 Equips Cua,2.0,200.0,69.5,17.0,44.0,0.39,6.5,19.0,0.34,16.0,25.0,0.64,23.5,71.0,0.49,97.89,42.46,44.12,25.4,0.3
Equip,5 Equips Top,2.0,200.0,69.5,17.0,44.0,0.39,6.5,19.0,0.34,16.0,25.0,0.64,23.5,71.0,0.49,97.89,42.46,44.12,25.4,0.3
Equip,6 Ultims 3,3.0,36000.0,197.0,50.0,129.0,0.39,18.0,61.0,0.3,43.0,73.0,0.59,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32
Equip Rival,1 Mitjana Rival,12.0,200.0,67.92,17.75,41.08,0.43,5.75,24.25,0.24,15.17,24.83,0.61,23.58,73.17,0.5,92.82,40.37,42.42,23.21,0.37
Equip Rival,2 Derrota Rival,5.0,200.0,76.0,19.2,40.4,0.48,8.0,26.4,0.3,13.6,23.2,0.59,22.8,73.8,0.5,102.98,46.71,45.86,20.36,0.4
Equip Rival,2 Victoria Rival,7.0,200.0,62.14,16.71,41.57,0.4,4.14,22.71,0.18,16.29,26.0,0.63,24.14,72.57,0.49,85.63,35.67,39.91,25.33,0.35
Equip Rival,3 Local Rival,6.0,200.0,67.17,17.83,42.5,0.42,5.17,22.67,0.23,16.0,26.33,0.61,23.33,73.67,0.49,91.18,39.26,42.16,24.55,0.35
Equip Rival,3 Visitant Rival,6.0,200.0,68.67,17.67,39.67,0.45,6.33,25.83,0.25,14.33,23.33,0.61,23.83,72.67,0.51,94.5,41.48,42.69,21.88,0.39
Equip Rival,4 Dificil Rival,8.0,200.0,70.75,18.62,43.25,0.43,5.88,23.5,0.25,15.88,25.88,0.61,23.25,75.0,0.5,94.33,41.1,43.2,23.78,0.35
Equip Rival,4 Facil Rival,4.0,200.0,62.25,16.0,36.75,0.44,5.5,25.75,0.21,13.75,22.75,0.6,24.25,69.5,0.48,89.57,38.8,40.75,22.0,0.41
Equip Rival,5 Equips Cua Rival,2.0,200.0,75.0,18.5,37.0,0.5,7.5,28.5,0.26,15.5,24.5,0.63,23.5,73.0,0.51,102.74,45.42,45.79,23.66,0.44
Equip Rival,5 Equips Top Rival,2.0,200.0,75.0,18.5,37.0,0.5,7.5,28.5,0.26,15.5,24.5,0.63,23.5,73.0,0.51,102.74,45.42,45.79,23.66,0.44
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,207.0,51.0,116.0,0.44,22.0,78.0,0.28,39.0,67.0,0.58,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
