Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,Poss,Ritme,OER,% TC Efec,% Jugada,Frec. TL,UsT3
Equip,1 Mitjana,13.0,200.0,69.23,16.77,41.08,0.41,7.31,27.15,0.27,13.77,21.85,0.63,20.23,74.69,0.52,92.69,40.64,41.08,20.18,0.4
Equip,2 Derrota,7.0,200.0,66.71,16.29,40.0,0.41,7.29,28.86,0.25,12.29,20.14,0.61,22.14,74.57,0.51,89.46,39.52,39.53,17.84,0.42
Equip,2 Victoria,6.0,200.0,72.17,17.33,42.33,0.41,7.33,25.17,0.29,15.5,23.83,0.65,18.0,74.83,0.53,96.44,41.98,42.88,22.96,0.37
Equip,3 Local,6.0,200.0,70.0,17.67,42.5,0.42,6.83,25.17,0.27,14.17,21.83,0.65,18.67,74.17,0.54,94.38,41.26,42.09,20.94,0.37
Equip,3 Visitant,7.0,200.0,68.57,16.0,39.86,0.4,7.71,28.86,0.27,13.43,21.86,0.61,21.57,75.14,0.51,91.25,40.12,40.22,19.54,0.42
Equip,4 Dificil,9.0,200.0,68.56,16.89,41.0,0.41,6.78,26.56,0.26,14.44,22.22,0.65,19.67,74.22,0.52,92.37,40.05,41.16,21.38,0.39
Equip,4 Facil,4.0,200.0,70.75,16.5,41.25,0.4,8.5,28.5,0.3,12.25,21.0,0.58,21.5,75.75,0.53,93.4,41.94,40.87,17.56,0.41
Equip,6 Ultims 3,3.0,36000.0,228.0,50.0,121.0,0.41,26.0,83.0,0.31,50.0,75.0,0.67,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41
Equip Rival,1 Mitjana Rival,13.0,200.0,72.31,17.69,35.31,0.5,8.31,26.92,0.31,12.0,20.38,0.59,21.85,68.31,0.48,105.86,48.45,46.56,19.28,0.43
Equip Rival,2 Derrota Rival,7.0,200.0,77.43,18.86,36.43,0.52,8.86,27.29,0.32,13.14,21.86,0.6,21.86,70.29,0.49,110.16,50.45,48.4,20.63,0.43
Equip Rival,2 Victoria Rival,6.0,200.0,66.33,16.33,34.0,0.48,7.67,26.5,0.29,10.67,18.67,0.57,21.83,65.83,0.47,100.76,46.01,44.28,17.63,0.44
Equip Rival,3 Local Rival,6.0,200.0,65.5,16.5,33.33,0.49,7.33,24.33,0.3,10.5,18.83,0.56,21.83,63.17,0.46,103.69,47.69,45.85,18.21,0.42
Equip Rival,3 Visitant Rival,7.0,200.0,78.14,18.71,37.0,0.51,9.14,29.14,0.31,13.29,21.71,0.61,21.86,72.57,0.49,107.68,49.03,47.09,20.09,0.44
Equip Rival,4 Dificil Rival,9.0,200.0,68.67,17.22,35.67,0.48,7.67,27.0,0.28,11.22,19.11,0.59,22.0,68.22,0.48,100.65,45.83,44.42,17.91,0.43
Equip Rival,4 Facil Rival,4.0,200.0,80.5,18.75,34.5,0.54,9.75,26.75,0.36,13.75,23.25,0.59,21.5,68.5,0.47,117.52,54.49,51.38,22.45,0.44
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,220.0,56.0,111.0,0.5,23.0,83.0,0.28,39.0,65.0,0.6,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
