Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,64.0,20.0,37.0,0.54,2.0,13.0,0.15,18.0,25.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,58.0,0.46,110.34,46.0,52.03,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,22.0,50.0,0.44,TRIOMF - UB MIR,CB ADEPAF TXOT'S,Perdido,-5.0
Equip Rival,Jornada 01,1.0,200.0,69.0,25.0,39.0,0.64,3.0,26.0,0.12,10.0,15.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,68.0,0.54,101.47,45.38,46.95,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,28.0,65.0,0.43,,,,
Equip,Jornada 02,1.0,200.0,74.0,22.0,39.0,0.56,5.0,18.0,0.28,15.0,28.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,66.0,0.51,112.12,51.75,52.47,26.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,27.0,57.0,0.47,CB ADEPAF TXOT'S,CB QUART REALE SEGUROS,Ganado,16.0
Equip Rival,Jornada 02,1.0,200.0,58.0,22.0,43.0,0.51,2.0,14.0,0.14,8.0,21.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,63.0,0.49,92.06,43.86,44.62,14.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,24.0,57.0,0.42,,,,
Equip Rival,Jornada 03,1.0,200.0,68.0,15.0,35.0,0.43,11.0,32.0,0.34,5.0,7.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,67.0,0.49,101.49,47.01,40.93,7.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,26.0,67.0,0.39,,,,
Equip,Jornada 03,1.0,200.0,73.0,22.0,46.0,0.48,5.0,19.0,0.26,14.0,20.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,70.0,0.51,104.29,45.38,46.96,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,27.0,65.0,0.42,CB ADEPAF TXOT'S,EL MASNOU BASQUETBOL,Ganado,5.0
Equip Rival,Jornada 04,1.0,200.0,76.0,25.0,52.0,0.48,7.0,22.0,0.32,5.0,9.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,74.0,0.51,102.7,47.97,44.96,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,32.0,74.0,0.43,,,,
Equip,Jornada 04,1.0,200.0,62.0,17.0,44.0,0.39,4.0,20.0,0.2,16.0,27.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,72.0,0.49,86.11,35.94,40.12,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,21.0,64.0,0.33,CESET,CB ADEPAF TXOT'S,Perdido,-14.0
Equip Rival,Jornada 05,1.0,200.0,83.0,19.0,39.0,0.49,8.0,27.0,0.3,21.0,37.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,78.0,0.51,106.41,46.97,48.31,31.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,27.0,66.0,0.41,,,,
Equip,Jornada 05,1.0,200.0,87.0,28.0,49.0,0.57,6.0,16.0,0.38,13.0,28.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,74.0,0.49,117.57,56.92,55.1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,34.0,65.0,0.52,CB ADEPAF TXOT'S,BLANCOMORA ADVOCATS- CB. ARGENTONA,Ganado,4.0
