Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,71.0,17.0,46.0,0.37,10.0,29.0,0.34,7.0,15.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,78.0,0.54,91.03,42.67,38.63,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,27.0,75.0,0.36,UB SANT ADRIA A,CB ADEPAF TXOT'S,Ganado,10.0
Equip Rival,Jornada 01,1.0,200.0,61.0,15.0,43.0,0.35,7.0,22.0,0.32,10.0,13.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,67.0,0.46,91.04,39.23,38.35,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,22.0,65.0,0.34,,,,
Equip Rival,Jornada 02,1.0,200.0,76.0,15.0,40.0,0.38,10.0,33.0,0.3,16.0,27.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,81.0,0.5,93.83,41.1,40.58,21.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,25.0,73.0,0.34,,,,
Equip,Jornada 02,1.0,200.0,62.0,14.0,46.0,0.3,4.0,25.0,0.16,22.0,34.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,82.0,0.5,75.61,28.17,35.35,30.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,18.0,71.0,0.25,BASQUET SAFA CLAROR A,UB SANT ADRIA A,Perdido,-14.0
Equip Rival,Jornada 03,1.0,200.0,73.0,20.0,49.0,0.41,6.0,18.0,0.33,15.0,20.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,72.0,0.52,101.39,43.28,44.67,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,26.0,67.0,0.39,,,,
Equip,Jornada 03,1.0,200.0,69.0,18.0,35.0,0.51,6.0,24.0,0.25,15.0,24.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,66.0,0.48,104.55,45.76,47.01,25.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,24.0,59.0,0.41,CB SANTA COLOMA A,UB SANT ADRIA A,Perdido,-4.0
Equip Rival,Jornada 04,1.0,225.0,69.0,19.0,41.0,0.46,4.0,23.0,0.17,19.0,38.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,77.0,0.54,89.61,39.06,43.43,29.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,23.0,64.0,0.36,,,,
Equip,Jornada 04,1.0,225.0,64.0,12.0,36.0,0.33,9.0,22.0,0.41,13.0,25.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,66.0,0.46,96.97,43.97,42.2,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,21.0,58.0,0.36,UB SANT ADRIA A,U.E. CLARET A,Perdido,-5.0
Equip,Jornada 05,1.0,200.0,56.0,15.0,47.0,0.32,5.0,19.0,0.26,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,69.0,0.51,81.16,34.09,35.52,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,20.0,66.0,0.3,UE MATARO  - TC,UB SANT ADRIA A,Perdido,-27.0
Equip Rival,Jornada 05,1.0,200.0,83.0,22.0,34.0,0.65,9.0,28.0,0.32,12.0,16.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,66.0,0.49,125.76,57.26,54.09,19.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,31.0,62.0,0.5,,,,
