Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,26.0,201.92,70.81,17.23,36.5,0.47,7.85,28.54,0.27,12.81,19.58,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.31,0.0,0.0,70.69,0.5,100.16,44.59,43.88,19.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,25.08,65.04,0.39
Equip,2 Derrota,11.0,202.27,63.09,15.36,35.73,0.43,6.91,29.18,0.24,11.64,19.36,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.91,0.0,0.0,70.45,0.49,89.55,39.64,39.62,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,22.27,64.91,0.34
Equip,2 Victoria,15.0,201.67,76.47,18.6,37.07,0.5,8.53,28.07,0.3,13.67,19.73,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.87,0.0,0.0,70.8,0.51,108.0,48.21,46.94,20.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,27.13,65.13,0.42
Equip,3 Local,13.0,200.0,76.23,17.31,34.46,0.5,9.15,28.69,0.32,14.15,20.08,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.38,0.0,0.0,69.08,0.5,110.36,49.15,47.47,22.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,26.46,63.15,0.42
Equip,3 Visitant,13.0,203.85,65.38,17.15,38.54,0.45,6.54,28.38,0.23,11.46,19.08,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.23,0.0,0.0,72.23,0.5,90.52,40.29,40.38,17.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,23.69,66.92,0.35
Equip,4 Dificil,16.0,203.12,69.88,17.88,38.56,0.46,6.81,26.94,0.25,13.69,20.56,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12,0.0,0.0,71.56,0.51,97.64,42.89,43.4,20.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,24.69,65.5,0.38
Equip,4 Facil,10.0,200.0,72.3,16.2,33.2,0.49,9.5,31.1,0.31,11.4,18.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,69.3,0.49,104.33,47.36,44.66,17.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,25.7,64.3,0.4
Equip,5 Equips Cua,2.0,200.0,73.5,13.5,27.5,0.49,10.0,34.5,0.29,16.5,26.5,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,70.5,0.51,104.26,45.97,44.89,26.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,23.5,62.0,0.38
Equip,5 Equips Top,2.0,200.0,73.5,13.5,27.5,0.49,10.0,34.5,0.29,16.5,26.5,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,70.5,0.51,104.26,45.97,44.89,26.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,23.5,62.0,0.38
Equip,6 Ultims 3,3.0,36000.0,225.0,47.0,113.0,0.42,30.0,85.0,0.35,41.0,64.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,77.0,198.0,0.39
Equip Rival,1 Mitjana Rival,26.0,201.92,70.77,19.0,42.77,0.44,7.19,22.96,0.31,11.19,17.54,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.62,0.0,0.0,70.5,0.5,100.38,45.32,44.39,17.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,26.19,65.73,0.4
Equip Rival,2 Derrota Rival,11.0,202.27,79.36,21.82,43.64,0.5,7.91,23.0,0.34,12.0,19.18,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,72.0,0.51,110.23,50.55,48.88,18.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,29.73,66.64,0.45
Equip Rival,2 Victoria Rival,15.0,201.67,64.47,16.93,42.13,0.4,6.67,22.93,0.29,10.6,16.33,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,0.0,0.0,69.33,0.49,92.98,41.39,40.96,16.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,23.6,65.07,0.36
Equip Rival,3 Local Rival,13.0,200.0,68.0,17.85,41.92,0.43,7.08,21.77,0.33,11.08,16.77,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.85,0.0,0.0,68.15,0.5,99.77,44.69,43.83,17.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,24.92,63.69,0.39
Equip Rival,3 Visitant Rival,13.0,203.85,73.54,20.15,43.62,0.46,7.31,24.15,0.3,11.31,18.31,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.38,0.0,0.0,72.77,0.5,101.06,45.91,44.9,16.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,27.46,67.77,0.41
Equip Rival,4 Dificil Rival,16.0,203.12,68.5,18.19,42.31,0.43,6.69,22.38,0.3,12.06,18.69,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.69,0.0,0.0,69.94,0.49,97.94,43.62,43.53,18.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,24.88,64.69,0.38
Equip Rival,4 Facil Rival,10.0,200.0,74.4,20.3,43.5,0.47,8.0,23.9,0.33,9.8,15.7,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,71.3,0.51,104.35,47.92,45.73,14.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,28.3,67.4,0.42
Equip Rival,5 Equips Cua Rival,2.0,200.0,78.0,21.0,41.0,0.51,9.0,25.0,0.36,9.0,14.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,69.0,0.49,113.04,52.27,48.72,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,30.0,66.0,0.45
Equip Rival,5 Equips Top Rival,2.0,200.0,78.0,21.0,41.0,0.51,9.0,25.0,0.36,9.0,14.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,69.0,0.49,113.04,52.27,48.72,13.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,30.0,66.0,0.45
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,229.0,57.0,120.0,0.47,29.0,78.0,0.37,28.0,39.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,86.0,198.0,0.43
