Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,79.0,20.0,38.0,0.53,10.0,22.0,0.45,9.0,16.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,64.0,0.5,123.44,58.33,52.97,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,30.0,60.0,0.5,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,COCHESINTERNET.NET CB ALPICAT,Ganado,31.0
Equip Rival,Jornada 01,1.0,200.0,48.0,9.0,30.0,0.3,4.0,24.0,0.17,18.0,27.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,63.0,0.5,76.19,27.78,34.88,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,13.0,54.0,0.24,,,,
Equip Rival,Jornada 02,1.0,200.0,56.0,11.0,27.0,0.41,7.0,23.0,0.3,13.0,21.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,56.0,0.46,100.0,43.0,43.12,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,18.0,50.0,0.36,,,,
Equip,Jornada 02,1.0,200.0,66.0,15.0,32.0,0.47,8.0,27.0,0.3,12.0,21.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,65.0,0.54,101.54,45.76,44.3,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,23.0,59.0,0.39,COCHESINTERNET.NET CB ALPICAT,C.B.CASTELLAR A,Ganado,10.0
Equip Rival,Jornada 03,1.0,200.0,75.0,16.0,42.0,0.38,6.0,33.0,0.18,25.0,36.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,87.0,0.53,86.21,33.33,39.21,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,22.0,75.0,0.29,,,,
Equip,Jornada 03,1.0,200.0,68.0,19.0,42.0,0.45,6.0,28.0,0.21,12.0,23.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,76.0,0.47,89.47,40.0,40.52,17.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,25.0,70.0,0.36,TERRA ENDINS CB VILATORRADA,COCHESINTERNET.NET CB ALPICAT,Perdido,-7.0
Equip,Jornada 04,1.0,200.0,62.0,16.0,38.0,0.42,5.0,24.0,0.21,15.0,29.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,71.0,0.53,87.32,37.9,40.62,24.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,21.0,62.0,0.34,COCHESINTERNET.NET CB ALPICAT,CLUB NATACIO TERRASSA A,Ganado,4.0
Equip Rival,Jornada 04,1.0,200.0,58.0,19.0,39.0,0.49,4.0,18.0,0.22,8.0,20.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,63.0,0.47,92.06,43.86,43.26,14.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,23.0,57.0,0.4,,,,
Equip,Jornada 05,1.0,200.0,81.0,22.0,46.0,0.48,7.0,20.0,0.35,16.0,33.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,77.0,0.47,105.19,49.24,48.86,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,29.0,66.0,0.44,CB IPSI A,COCHESINTERNET.NET CB ALPICAT,Ganado,1.0
Equip Rival,Jornada 05,1.0,200.0,80.0,15.0,43.0,0.35,12.0,40.0,0.3,14.0,21.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,88.0,0.53,90.91,39.76,37.71,16.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,27.0,83.0,0.33,,,,
Equip,Jornada 06,1.0,200.0,79.0,25.0,48.0,0.52,6.0,26.0,0.23,11.0,16.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,77.0,0.54,102.6,45.95,45.74,14.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,31.0,74.0,0.42,COCHESINTERNET.NET CB ALPICAT,VEDRUNA GRACIA A,Ganado,18.0
Equip Rival,Jornada 06,1.0,200.0,61.0,13.0,35.0,0.37,8.0,25.0,0.32,11.0,19.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,65.0,0.46,93.85,41.67,40.31,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,21.0,60.0,0.35,,,,
Equip,Jornada 07,1.0,200.0,67.0,18.0,40.0,0.45,8.0,41.0,0.2,7.0,15.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,84.0,0.56,79.76,37.04,34.82,8.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,26.0,81.0,0.32,PUJOL CB MOLLERUSSA,COCHESINTERNET.NET CB ALPICAT,Ganado,4.0
Equip Rival,Jornada 07,1.0,200.0,63.0,17.0,37.0,0.46,4.0,20.0,0.2,17.0,25.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,65.0,0.44,96.92,40.35,44.74,29.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,21.0,57.0,0.37,,,,
Equip Rival,Jornada 08,1.0,200.0,76.0,23.0,43.0,0.53,5.0,16.0,0.31,15.0,25.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,67.0,0.46,113.43,51.69,52.75,25.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,28.0,59.0,0.47,,,,
Equip,Jornada 08,1.0,200.0,82.0,24.0,43.0,0.56,6.0,28.0,0.21,16.0,28.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,79.0,0.54,103.8,46.48,47.62,22.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,30.0,71.0,0.42,COCHESINTERNET.NET CB ALPICAT,NOU BASQUET OLESA A,Ganado,6.0
Equip Rival,Jornada 09,1.0,200.0,73.0,17.0,34.0,0.5,10.0,33.0,0.3,9.0,11.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,68.0,0.48,107.35,47.76,43.77,13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,27.0,67.0,0.4,,,,
Equip,Jornada 09,1.0,200.0,81.0,24.0,45.0,0.53,7.0,23.0,0.3,12.0,19.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,73.0,0.52,110.96,50.74,49.69,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,31.0,68.0,0.46,LA SALLE MANRESA S.GOL,COCHESINTERNET.NET CB ALPICAT,Ganado,8.0
Equip,Jornada 10,1.0,200.0,54.0,16.0,46.0,0.35,5.0,29.0,0.17,7.0,17.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,79.0,0.53,68.35,31.33,31.11,9.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,21.0,75.0,0.28,COCHESINTERNET.NET CB ALPICAT,BASQUET MOLINS,Ganado,1.0
Equip Rival,Jornada 10,1.0,200.0,53.0,15.0,42.0,0.36,6.0,24.0,0.25,5.0,20.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,71.0,0.47,74.65,36.36,33.11,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,21.0,66.0,0.32,,,,
Equip,Jornada 11,1.0,200.0,75.0,15.0,33.0,0.45,9.0,24.0,0.38,18.0,29.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,66.0,0.46,113.64,50.0,49.46,31.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,24.0,57.0,0.42,CLUB NATACIO SABADELL A,COCHESINTERNET.NET CB ALPICAT,Ganado,9.0
Equip Rival,Jornada 11,1.0,200.0,66.0,17.0,49.0,0.35,1.0,15.0,0.07,29.0,38.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,77.0,0.54,85.71,28.91,40.84,45.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,18.0,64.0,0.28,,,,
Equip,Jornada 12,1.0,200.0,70.0,14.0,35.0,0.4,8.0,31.0,0.26,18.0,25.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,73.0,0.54,95.89,39.39,41.07,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,22.0,66.0,0.33,COCHESINTERNET.NET CB ALPICAT,GRUP VIA - CB ARTES,Ganado,17.0
Equip Rival,Jornada 12,1.0,200.0,53.0,11.0,34.0,0.32,6.0,21.0,0.29,13.0,24.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,62.0,0.46,85.48,36.36,38.05,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,17.0,55.0,0.31,,,,
Equip,Jornada 13,1.0,200.0,45.0,11.0,30.0,0.37,5.0,29.0,0.17,8.0,15.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,62.0,0.49,72.58,31.36,31.84,13.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,16.0,59.0,0.27,SD ESPANYOL,COCHESINTERNET.NET CB ALPICAT,Perdido,-29.0
Equip Rival,Jornada 13,1.0,200.0,74.0,15.0,30.0,0.5,10.0,29.0,0.34,14.0,20.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,65.0,0.51,113.85,50.85,48.18,23.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,25.0,59.0,0.42,,,,
Equip,Jornada 14,1.0,200.0,67.0,29.0,52.0,0.56,2.0,29.0,0.07,3.0,9.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,81.0,0.54,82.72,39.51,39.01,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,31.0,81.0,0.38,COCHESINTERNET.NET CB ALPICAT,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,Ganado,22.0
Equip Rival,Jornada 14,1.0,200.0,45.0,11.0,45.0,0.24,4.0,18.0,0.22,11.0,24.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,70.0,0.46,64.29,26.98,30.0,17.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,15.0,63.0,0.24,,,,
Equip,Jornada 15,1.0,200.0,85.0,20.0,38.0,0.53,7.0,20.0,0.35,24.0,35.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,70.0,0.52,121.43,52.59,55.02,41.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,27.0,58.0,0.47,C.B.CASTELLAR A,COCHESINTERNET.NET CB ALPICAT,Ganado,5.0
Equip Rival,Jornada 15,1.0,200.0,80.0,16.0,30.0,0.53,13.0,31.0,0.42,9.0,14.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,64.0,0.48,125.0,58.2,50.88,14.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,29.0,61.0,0.48,,,,
Equip Rival,Jornada 16,1.0,200.0,70.0,14.0,40.0,0.35,10.0,28.0,0.36,12.0,25.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,75.0,0.51,93.33,42.65,40.12,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,24.0,68.0,0.35,,,,
Equip,Jornada 16,1.0,200.0,76.0,16.0,29.0,0.55,7.0,31.0,0.23,23.0,34.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,71.0,0.49,107.04,44.17,47.79,38.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,23.0,60.0,0.38,COCHESINTERNET.NET CB ALPICAT,TERRA ENDINS CB VILATORRADA,Ganado,6.0
Equip Rival,Jornada 17,1.0,225.0,63.0,17.0,49.0,0.35,5.0,23.0,0.22,14.0,23.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,78.0,0.52,80.77,34.03,36.69,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,22.0,72.0,0.31,,,,
Equip,Jornada 17,1.0,225.0,73.0,18.0,39.0,0.46,4.0,21.0,0.19,25.0,36.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,72.0,0.48,101.39,40.0,47.12,41.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,22.0,60.0,0.37,CLUB NATACIO TERRASSA A,COCHESINTERNET.NET CB ALPICAT,Ganado,10.0
Equip,Jornada 18,1.0,200.0,66.0,17.0,34.0,0.5,6.0,31.0,0.19,14.0,21.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,71.0,0.52,92.96,40.0,41.51,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,23.0,65.0,0.35,COCHESINTERNET.NET CB ALPICAT,CB IPSI A,Ganado,6.0
Equip Rival,Jornada 18,1.0,200.0,60.0,15.0,36.0,0.42,4.0,19.0,0.21,18.0,32.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,66.0,0.48,90.91,38.18,43.29,32.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,19.0,55.0,0.35,,,,
