Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,65.0,21.0,40.0,0.53,4.0,21.0,0.19,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,67.0,0.52,97.01,44.26,45.48,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.0,61.0,0.41,GRUP VIA - CB ARTES,CB.CIUTAT VELLA,Ganado,18.0
Equip Rival,Jornada 01,1.0,200.0,47.0,12.0,39.0,0.31,3.0,16.0,0.19,14.0,25.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,63.0,0.48,74.6,30.0,35.48,25.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,15.0,55.0,0.27,,,,
Equip Rival,Jornada 02,1.0,200.0,64.0,24.0,45.0,0.53,2.0,25.0,0.08,10.0,18.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,74.0,0.54,86.49,38.57,41.16,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,26.0,70.0,0.37,,,,
Equip,Jornada 02,1.0,200.0,70.0,15.0,35.0,0.43,5.0,15.0,0.33,25.0,39.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,64.0,0.46,109.38,45.0,51.2,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,20.0,50.0,0.4,IBERSOFAS - CB ARGENTONA  A,GRUP VIA - CB ARTES,Ganado,6.0
Equip Rival,Jornada 03,1.0,200.0,57.0,20.0,47.0,0.43,2.0,24.0,0.08,11.0,24.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,78.0,0.55,73.08,32.39,35.71,15.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,22.0,71.0,0.31,,,,
Equip,Jornada 03,1.0,200.0,68.0,19.0,36.0,0.53,6.0,22.0,0.27,12.0,20.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,64.0,0.45,106.25,48.28,48.06,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,25.0,58.0,0.43,GRUP VIA - CB ARTES,A.E. MINGUELLA A - DRIVIM,Ganado,11.0
Equip Rival,Jornada 04,1.0,200.0,69.0,22.0,39.0,0.56,4.0,16.0,0.25,13.0,29.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,65.0,0.52,106.15,50.91,51.15,23.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,26.0,55.0,0.47,,,,
Equip,Jornada 04,1.0,200.0,65.0,16.0,27.0,0.59,8.0,29.0,0.28,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,60.0,0.48,108.33,50.0,46.84,16.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,24.0,56.0,0.43,CB ADEPAF TXOT'S,GRUP VIA - CB ARTES,Perdido,-4.0
Equip,Jornada 05,1.0,200.0,74.0,20.0,38.0,0.53,5.0,26.0,0.19,19.0,29.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,73.0,0.51,101.37,42.97,46.59,29.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,25.0,64.0,0.39,GRUP VIA - CB ARTES,BASQUET SAFA CLAROR A,Ganado,7.0
Equip Rival,Jornada 05,1.0,200.0,67.0,23.0,53.0,0.43,4.0,14.0,0.29,9.0,16.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,71.0,0.49,94.37,43.28,43.84,13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,27.0,67.0,0.4,,,,
Equip,Jornada 06,1.0,200.0,81.0,17.0,36.0,0.47,11.0,29.0,0.38,14.0,18.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,70.0,0.49,115.71,51.54,48.26,21.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,28.0,65.0,0.43,UB SANT ADRIA A,GRUP VIA - CB ARTES,Ganado,26.0
Equip Rival,Jornada 06,1.0,200.0,55.0,16.0,42.0,0.38,5.0,27.0,0.19,8.0,16.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,72.0,0.51,76.39,34.06,34.22,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,21.0,69.0,0.3,,,,
Equip,Jornada 07,1.0,200.0,63.0,16.0,43.0,0.37,5.0,21.0,0.24,16.0,25.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,72.0,0.52,87.5,36.72,40.14,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,21.0,64.0,0.33,GRUP VIA - CB ARTES,U.E. CLARET A,Ganado,5.0
Equip Rival,Jornada 07,1.0,200.0,58.0,16.0,46.0,0.35,4.0,16.0,0.25,14.0,20.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,67.0,0.48,86.57,35.48,38.97,22.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,20.0,62.0,0.32,,,,
Equip,Jornada 08,1.0,200.0,83.0,19.0,44.0,0.43,13.0,31.0,0.42,6.0,12.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,77.0,0.53,107.79,51.33,44.61,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,32.0,75.0,0.43,UE MATARO  - TC,GRUP VIA - CB ARTES,Ganado,13.0
Equip Rival,Jornada 08,1.0,200.0,70.0,19.0,37.0,0.51,8.0,24.0,0.33,8.0,21.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,67.0,0.47,104.48,50.82,46.37,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,27.0,61.0,0.44,,,,
Equip Rival,Jornada 09,1.0,200.0,68.0,21.0,45.0,0.47,5.0,16.0,0.31,11.0,17.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,65.0,0.51,104.62,46.72,47.13,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,26.0,61.0,0.43,,,,
Equip,Jornada 09,1.0,200.0,73.0,18.0,30.0,0.6,6.0,24.0,0.25,19.0,28.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,63.0,0.49,115.87,50.0,52.21,35.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,24.0,54.0,0.44,CB SANTA COLOMA A,GRUP VIA - CB ARTES,Ganado,5.0
Equip,Jornada 10,1.0,200.0,70.0,21.0,46.0,0.46,5.0,26.0,0.19,13.0,18.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,76.0,0.52,92.11,39.58,41.22,18.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,26.0,72.0,0.36,GRUP VIA - CB ARTES,BASQUET GIRONA,Ganado,4.0
