Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,49.0,13.0,49.0,0.27,5.0,24.0,0.21,8.0,17.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,77.0,0.55,63.64,28.08,28.69,10.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,18.0,73.0,0.25,JOVENTUT BADALONA A,ADVISORIA BOET MATARO 2007,Ganado,8.0
Equip Rival,Jornada 01,1.0,200.0,41.0,17.0,45.0,0.38,1.0,16.0,0.06,4.0,11.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,63.0,0.45,65.08,30.33,31.53,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,18.0,61.0,0.3,,,,
Equip Rival,Jornada 02,1.0,200.0,52.0,16.0,42.0,0.38,3.0,17.0,0.18,11.0,23.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,66.0,0.53,78.79,34.75,37.68,18.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,19.0,59.0,0.32,,,,
Equip,Jornada 02,1.0,200.0,50.0,15.0,38.0,0.39,3.0,17.0,0.18,11.0,17.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,59.0,0.47,84.75,35.45,38.76,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,18.0,55.0,0.33,BASKET ALMEDA,JOVENTUT BADALONA A,Perdido,-2.0
Equip Rival,Jornada 03,1.0,200.0,53.0,19.0,48.0,0.4,2.0,17.0,0.12,9.0,17.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,69.0,0.51,76.81,33.85,36.62,13.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,21.0,65.0,0.32,,,,
Equip,Jornada 03,1.0,200.0,49.0,17.0,42.0,0.4,1.0,19.0,0.05,12.0,17.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,65.0,0.49,75.38,30.33,35.71,19.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,18.0,61.0,0.3,JOVENTUT BADALONA A,CONTROL GROUP UE MATARO FEMENI MARESME,Perdido,-4.0
Equip Rival,Jornada 04,1.0,200.0,46.0,18.0,60.0,0.3,0.0,10.0,0.0,10.0,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,75.0,0.5,61.33,25.71,30.77,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,18.0,70.0,0.26,,,,
Equip,Jornada 04,1.0,200.0,66.0,20.0,41.0,0.49,5.0,31.0,0.16,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,75.0,0.5,88.0,38.19,39.2,15.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,25.0,72.0,0.35,CB PARETS NEGRE,JOVENTUT BADALONA A,Ganado,20.0
Equip Rival,Jornada 05,1.0,200.0,47.0,13.0,31.0,0.42,4.0,16.0,0.25,9.0,20.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,53.0,0.41,88.68,40.43,41.05,19.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,17.0,47.0,0.36,,,,
Equip,Jornada 05,1.0,200.0,51.0,18.0,44.0,0.41,2.0,30.0,0.07,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,77.0,0.59,66.23,28.38,31.3,12.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,20.0,74.0,0.27,JOVENTUT BADALONA A,FARMACIA 1925 FEMENI SANT ADRIA A,Ganado,4.0
Equip Rival,Jornada 06,1.0,200.0,62.0,17.0,31.0,0.55,7.0,24.0,0.29,7.0,16.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,59.0,0.48,105.08,50.0,46.21,12.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,24.0,55.0,0.44,,,,
Equip,Jornada 06,1.0,200.0,56.0,16.0,39.0,0.41,4.0,21.0,0.19,12.0,19.0,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,65.0,0.52,86.15,36.67,39.3,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,20.0,60.0,0.33,JOVENTUT BADALONA A,BASQUET GIRONA U16,Perdido,-6.0
Equip,Jornada 07,1.0,225.0,54.0,16.0,44.0,0.36,4.0,22.0,0.18,10.0,26.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,74.0,0.5,72.97,33.33,34.64,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,20.0,66.0,0.3,BARCA CBS A,JOVENTUT BADALONA A,Ganado,3.0
Equip Rival,Jornada 07,1.0,225.0,51.0,8.0,37.0,0.22,5.0,18.0,0.28,20.0,48.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,73.0,0.5,69.86,28.18,34.59,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,13.0,55.0,0.24,,,,
Equip Rival,Jornada 08,1.0,200.0,50.0,11.0,45.0,0.24,5.0,18.0,0.28,13.0,32.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,73.0,0.45,68.49,29.37,32.04,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,16.0,63.0,0.25,,,,
Equip,Jornada 08,1.0,200.0,79.0,21.0,55.0,0.38,5.0,23.0,0.22,22.0,33.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,88.0,0.55,89.77,36.54,41.37,28.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,26.0,78.0,0.33,ADVISORIA BOET MATARO 2007,JOVENTUT BADALONA A,Ganado,29.0
Equip Rival,Jornada 09,1.0,200.0,56.0,13.0,34.0,0.38,5.0,21.0,0.24,15.0,31.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,65.0,0.49,86.15,37.27,40.2,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,18.0,55.0,0.33,,,,
Equip,Jornada 09,1.0,200.0,79.0,20.0,36.0,0.56,10.0,28.0,0.36,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,67.0,0.51,117.91,54.69,50.06,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,30.0,64.0,0.47,JOVENTUT BADALONA A,BASKET ALMEDA,Ganado,23.0
Equip Rival,Jornada 10,1.0,200.0,49.0,19.0,46.0,0.41,2.0,18.0,0.11,5.0,9.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,65.0,0.49,75.38,34.38,35.34,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,21.0,64.0,0.33,,,,
Equip,Jornada 10,1.0,200.0,62.0,17.0,47.0,0.36,8.0,19.0,0.42,4.0,13.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,68.0,0.51,91.18,43.94,38.92,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,25.0,66.0,0.38,CONTROL GROUP UE MATARO FEMENI MARESME,JOVENTUT BADALONA A,Ganado,13.0
Equip Rival,Jornada 11,1.0,200.0,44.0,11.0,43.0,0.26,5.0,15.0,0.33,7.0,18.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,63.0,0.42,69.84,31.9,31.46,12.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,16.0,58.0,0.28,,,,
Equip,Jornada 11,1.0,200.0,100.0,26.0,54.0,0.48,13.0,31.0,0.42,9.0,16.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,88.0,0.58,113.64,53.53,48.33,10.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,39.0,85.0,0.46,JOVENTUT BADALONA A,CB PARETS NEGRE,Ganado,56.0
