Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,58.0,16.0,32.0,0.5,7.0,38.0,0.18,5.0,9.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,71.0,0.51,81.69,37.86,35.18,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54,23.0,70.0,0.33,C.B.CASTELLAR A,SD ESPANYOL,Perdido,-6.0
Equip Rival,Jornada 01,1.0,200.0,64.0,19.0,35.0,0.54,3.0,22.0,0.14,17.0,33.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,68.0,0.49,94.12,41.23,45.72,29.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,22.0,57.0,0.39,,,,
Equip Rival,Jornada 02,1.0,200.0,66.0,15.0,32.0,0.47,8.0,27.0,0.3,12.0,21.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,65.0,0.54,101.54,45.76,44.3,20.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,23.0,59.0,0.39,,,,
Equip,Jornada 02,1.0,200.0,56.0,11.0,27.0,0.41,7.0,23.0,0.3,13.0,21.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,56.0,0.46,100.0,43.0,43.12,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,18.0,50.0,0.36,COCHESINTERNET.NET CB ALPICAT,C.B.CASTELLAR A,Perdido,-10.0
Equip Rival,Jornada 03,1.0,200.0,63.0,17.0,40.0,0.42,4.0,14.0,0.29,17.0,24.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,61.0,0.5,103.28,42.59,46.83,31.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,21.0,54.0,0.39,,,,
Equip,Jornada 03,1.0,200.0,58.0,9.0,24.0,0.38,11.0,38.0,0.29,7.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,62.0,0.5,93.55,41.13,35.19,11.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.61,20.0,62.0,0.32,LLUISOS DE GRACIA A - VERDI SUBMINISTRAMENTS,C.B.CASTELLAR A,Perdido,-5.0
Equip Rival,Jornada 04,1.0,200.0,87.0,23.0,44.0,0.52,9.0,27.0,0.33,14.0,22.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,77.0,0.5,112.99,51.41,49.67,19.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,32.0,71.0,0.45,,,,
Equip,Jornada 04,1.0,200.0,101.0,13.0,28.0,0.46,22.0,45.0,0.49,9.0,16.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,76.0,0.5,132.89,63.01,50.6,12.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,35.0,73.0,0.48,C.B.CASTELLAR A,TERRA ENDINS CB VILATORRADA,Ganado,14.0
Equip Rival,Jornada 05,1.0,200.0,67.0,18.0,41.0,0.44,7.0,28.0,0.25,10.0,17.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,73.0,0.55,91.78,41.3,40.43,14.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,25.0,69.0,0.36,,,,
Equip,Jornada 05,1.0,200.0,53.0,13.0,29.0,0.45,6.0,25.0,0.24,9.0,19.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,59.0,0.45,89.83,40.74,39.76,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,19.0,54.0,0.35,CLUB NATACIO TERRASSA A,C.B.CASTELLAR A,Perdido,-14.0
