Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,47.0,12.0,39.0,0.31,3.0,16.0,0.19,14.0,25.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,63.0,0.48,74.6,30.0,35.48,25.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,15.0,55.0,0.27,GRUP VIA - CB ARTES,CB.CIUTAT VELLA,Perdido,-18.0
Equip Rival,Jornada 01,1.0,200.0,65.0,21.0,40.0,0.53,4.0,21.0,0.19,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,67.0,0.52,97.01,44.26,45.48,18.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.0,61.0,0.41,,,,
Equip Rival,Jornada 02,1.0,200.0,67.0,16.0,31.0,0.52,7.0,26.0,0.27,14.0,27.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,66.0,0.47,101.52,46.49,46.16,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,23.0,57.0,0.4,,,,
Equip,Jornada 02,1.0,200.0,87.0,23.0,49.0,0.47,8.0,20.0,0.4,17.0,22.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,75.0,0.53,116.0,50.72,50.57,24.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,31.0,69.0,0.45,CB.CIUTAT VELLA,BASQUET GIRONA,Ganado,20.0
Equip Rival,Jornada 03,1.0,200.0,69.0,21.0,37.0,0.57,4.0,17.0,0.24,15.0,19.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,59.0,0.48,116.95,50.0,52.38,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,25.0,54.0,0.46,,,,
Equip,Jornada 03,1.0,200.0,60.0,12.0,37.0,0.32,9.0,23.0,0.39,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,63.0,0.52,95.24,42.5,39.45,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,21.0,60.0,0.35,MARISTES ADEMAR,CB.CIUTAT VELLA,Perdido,-9.0
Equip Rival,Jornada 04,1.0,200.0,56.0,12.0,27.0,0.44,5.0,28.0,0.18,17.0,24.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,62.0,0.53,90.32,35.45,39.91,30.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,17.0,55.0,0.31,,,,
Equip,Jornada 04,1.0,200.0,63.0,12.0,31.0,0.39,7.0,15.0,0.47,18.0,24.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,54.0,0.47,116.67,48.91,50.36,39.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,19.0,46.0,0.41,CB.CIUTAT VELLA,TERRA ENDINS CB VILATORRADA,Ganado,7.0
Equip Rival,Jornada 05,1.0,200.0,76.0,21.0,44.0,0.48,6.0,22.0,0.27,16.0,29.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,75.0,0.47,101.33,45.45,46.74,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,27.0,66.0,0.41,,,,
Equip,Jornada 05,1.0,200.0,82.0,17.0,46.0,0.37,11.0,27.0,0.41,15.0,31.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,83.0,0.53,98.8,45.89,43.44,20.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,28.0,73.0,0.38,C.B. VIC - UNIVERSITAT DE VIC 2,CB.CIUTAT VELLA,Ganado,6.0
