Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,7.0,200.0,70.57,17.43,38.57,0.45,6.86,24.86,0.28,15.14,22.14,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,70.14,0.5,100.61,43.69,44.63,23.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.29,63.43,0.38
Equip,2 Derrota,3.0,200.0,60.0,15.0,36.67,0.41,5.67,26.67,0.21,13.0,20.67,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.67,0.0,0.0,69.33,0.48,86.54,37.11,38.82,20.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,20.67,63.33,0.33
Equip,2 Victoria,4.0,200.0,78.5,19.25,40.0,0.48,7.75,23.5,0.33,16.75,23.25,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,70.75,0.51,110.95,48.62,48.86,26.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,27.0,63.5,0.43
Equip,3 Local,3.0,200.0,71.67,16.67,38.67,0.43,7.67,25.67,0.3,15.33,18.67,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.33,0.0,0.0,69.33,0.49,103.37,43.78,43.96,23.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,24.33,64.33,0.38
Equip,3 Visitant,4.0,200.0,69.75,18.0,38.5,0.47,6.25,24.25,0.26,15.0,24.75,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.75,0.0,0.0,70.5,0.5,98.94,43.63,44.89,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.25,62.75,0.39
Equip,4 Dificil,4.0,200.0,70.25,16.25,38.0,0.43,8.0,25.5,0.31,13.75,19.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,68.75,0.49,102.18,44.49,43.98,21.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,24.25,63.5,0.38
Equip,4 Facil,3.0,200.0,71.0,19.0,39.33,0.48,5.33,24.0,0.22,17.0,26.33,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.67,0.0,0.0,71.67,0.51,99.07,42.63,45.41,26.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,24.33,63.33,0.38
Equip,5 Equips Cua,2.0,200.0,74.0,15.0,34.0,0.44,10.5,27.0,0.39,12.5,19.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,66.5,0.48,111.28,50.41,46.95,20.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,25.5,61.0,0.42
Equip,5 Equips Top,2.0,200.0,74.0,15.0,34.0,0.44,10.5,27.0,0.39,12.5,19.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,66.5,0.48,111.28,50.41,46.95,20.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,25.5,61.0,0.42
Equip,6 Ultims 3,3.0,36000.0,235.0,47.0,101.0,0.47,31.0,78.0,0.4,48.0,69.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,78.0,179.0,0.44
Equip Rival,1 Mitjana Rival,7.0,200.0,69.71,17.71,38.71,0.46,5.57,22.43,0.25,17.57,27.86,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.43,0.0,0.0,70.43,0.5,98.99,42.64,45.53,28.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,23.29,61.14,0.38
Equip Rival,2 Derrota Rival,3.0,200.0,72.33,18.33,41.0,0.45,5.0,22.0,0.23,20.67,31.67,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,73.67,0.52,98.19,41.01,45.56,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,23.33,63.0,0.37
Equip Rival,2 Victoria Rival,4.0,200.0,67.75,17.25,37.0,0.47,6.0,22.75,0.26,15.25,25.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.75,0.0,0.0,67.75,0.49,100.0,43.93,45.49,25.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,23.25,59.75,0.39
Equip Rival,3 Local Rival,3.0,200.0,70.33,18.0,37.0,0.49,5.67,24.0,0.24,17.33,31.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.33,0.0,0.0,71.33,0.51,98.6,43.44,45.85,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,23.67,61.0,0.39
Equip Rival,3 Visitant Rival,4.0,200.0,69.25,17.5,40.0,0.44,5.5,21.25,0.26,17.75,25.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.25,0.0,0.0,69.5,0.5,99.64,42.04,45.15,28.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,23.0,61.25,0.38
Equip Rival,4 Dificil Rival,4.0,200.0,71.5,17.0,37.0,0.46,6.0,23.0,0.26,19.5,31.5,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,0.0,0.0,70.75,0.51,101.06,43.33,46.52,32.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,23.0,60.0,0.38
Equip Rival,4 Facil Rival,3.0,200.0,67.33,18.67,41.0,0.46,5.0,21.67,0.23,15.0,23.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,69.67,0.49,96.65,41.76,44.18,23.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,23.67,62.67,0.38
Equip Rival,5 Equips Cua Rival,2.0,200.0,74.0,17.0,39.0,0.44,6.5,23.0,0.28,20.5,31.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,72.5,0.52,102.07,43.15,46.34,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,23.5,62.0,0.38
Equip Rival,5 Equips Top Rival,2.0,200.0,74.0,17.0,39.0,0.44,6.5,23.0,0.28,20.5,31.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,72.5,0.52,102.07,43.15,46.34,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,23.5,62.0,0.38
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,217.0,52.0,120.0,0.43,17.0,59.0,0.29,62.0,92.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,69.0,179.0,0.39
