Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,72.0,25.0,46.0,0.54,3.0,23.0,0.13,13.0,24.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,76.0,0.55,94.74,42.75,45.27,18.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,28.0,69.0,0.41,TERRA ENDINS CB VILATORRADA,CB SANTA COLOMA A,Ganado,12.0
Equip Rival,Jornada 01,1.0,200.0,60.0,13.0,30.0,0.43,8.0,28.0,0.29,10.0,17.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,62.0,0.45,96.77,43.1,41.12,17.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,21.0,58.0,0.36,,,,
Equip,Jornada 02,1.0,200.0,73.0,20.0,49.0,0.41,6.0,18.0,0.33,15.0,20.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,72.0,0.52,101.39,43.28,44.67,22.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,26.0,67.0,0.39,CB SANTA COLOMA A,UB SANT ADRIA A,Ganado,4.0
Equip Rival,Jornada 02,1.0,200.0,69.0,18.0,35.0,0.51,6.0,24.0,0.25,15.0,24.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,66.0,0.48,104.55,45.76,47.01,25.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,24.0,59.0,0.41,,,,
Equip,Jornada 03,1.0,200.0,54.0,15.0,39.0,0.38,3.0,25.0,0.12,15.0,24.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,71.0,0.47,76.06,30.47,35.67,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,18.0,64.0,0.28,C.B. VIC - UNIVERSITAT DE VIC 2,CB SANTA COLOMA A,Perdido,-19.0
Equip Rival,Jornada 03,1.0,200.0,73.0,25.0,51.0,0.49,3.0,24.0,0.12,14.0,22.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,81.0,0.53,90.12,39.33,42.53,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,28.0,75.0,0.37,,,,
Equip,Jornada 04,1.0,200.0,60.0,15.0,35.0,0.43,5.0,30.0,0.17,15.0,18.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,70.0,0.5,85.71,34.62,37.4,23.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,20.0,65.0,0.31,CB SANTA COLOMA A,U.E. CLARET A,Perdido,-9.0
Equip Rival,Jornada 04,1.0,200.0,69.0,16.0,35.0,0.46,5.0,22.0,0.23,22.0,40.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,71.0,0.5,97.18,41.23,46.25,38.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,21.0,57.0,0.37,,,,
Equip,Jornada 05,1.0,200.0,87.0,17.0,33.0,0.52,10.0,24.0,0.42,23.0,31.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,67.0,0.51,129.85,56.14,55.58,40.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,27.0,57.0,0.47,CB.CIUTAT VELLA,CB SANTA COLOMA A,Ganado,18.0
Equip Rival,Jornada 05,1.0,200.0,69.0,18.0,42.0,0.43,4.0,13.0,0.31,21.0,30.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,65.0,0.49,106.15,43.64,49.13,38.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,22.0,55.0,0.4,,,,
