Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
AD TORREFORTA Equipo,Jornada 01,1.0,200.0,64.0,15.0,29.0,0.52,9.0,22.0,0.41,7.0,14.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,C.B. RIPOLLET A,AD TORREFORTA,False,-12.0
AD TORREFORTA Equipo,Jornada 02,1.0,200.0,55.0,15.0,40.0,0.38,5.0,19.0,0.26,10.0,21.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,AD TORREFORTA,CLUB NATACIO TERRASSA A,False,-3.0
AD TORREFORTA Equipo,Jornada 03,1.0,200.0,57.0,13.0,33.0,0.39,6.0,23.0,0.26,13.0,19.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,CLOTET SUZUKI SANT BOI A,AD TORREFORTA,False,-16.0
AD TORREFORTA Equipo,Jornada 04,1.0,200.0,52.0,19.0,44.0,0.43,2.0,16.0,0.12,8.0,15.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,AD TORREFORTA,C.B.CASTELLBISBAL A,False,-20.0
AD TORREFORTA Equipo,Jornada 05,1.0,200.0,63.0,15.0,38.0,0.39,8.0,26.0,0.31,9.0,16.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,AD TORREFORTA,C.E.B. PALLEJA A - TAXILINE,False,-12.0
AD TORREFORTA Equipo,Jornada 06,1.0,200.0,52.0,17.0,45.0,0.38,3.0,17.0,0.18,9.0,17.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,CB TARRAGONA B,AD TORREFORTA,False,-7.0
AD TORREFORTA Equipo,Jornada 07,1.0,200.0,64.0,24.0,46.0,0.52,1.0,15.0,0.07,13.0,24.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,AD TORREFORTA,BASKET ALMEDA,False,-15.0
AD TORREFORTA Equipo,Jornada 08,1.0,200.0,52.0,15.0,34.0,0.44,4.0,21.0,0.19,10.0,28.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,CLUB NATACIO SABADELL A,AD TORREFORTA,False,-50.0
AD TORREFORTA Equipo,Jornada 09,1.0,200.0,57.0,19.0,46.0,0.41,4.0,18.0,0.22,7.0,18.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,AD TORREFORTA,TERRA ENDINS CB VILATORRADA,False,-19.0
AD TORREFORTA Equipo,Jornada 10,1.0,200.0,55.0,16.0,33.0,0.48,2.0,15.0,0.13,17.0,32.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,REUS PLOMS SALLE,AD TORREFORTA,False,-14.0
AD TORREFORTA Equipo,Jornada 11,1.0,200.0,73.0,20.0,35.0,0.57,6.0,17.0,0.35,15.0,28.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,AD TORREFORTA,CB CERDANYOLA AL DIA A,True,4.0
AD TORREFORTA Equipo,Jornada 12,1.0,200.0,51.0,15.0,35.0,0.43,2.0,20.0,0.1,15.0,24.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,AD TORREFORTA,C.B. RIPOLLET A,False,-9.0
AD TORREFORTA Equipo,Jornada 13,1.0,200.0,51.0,14.0,41.0,0.34,3.0,11.0,0.27,14.0,34.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,CLUB NATACIO TERRASSA A,AD TORREFORTA,False,-8.0
AD TORREFORTA Equipo,Jornada 14,1.0,200.0,52.0,19.0,40.0,0.47,2.0,14.0,0.14,8.0,18.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,AD TORREFORTA,CLOTET SUZUKI SANT BOI A,False,-1.0
AD TORREFORTA Equipo,Jornada 15,1.0,200.0,51.0,14.0,33.0,0.42,3.0,11.0,0.27,14.0,24.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,C.B.CASTELLBISBAL A,AD TORREFORTA,False,-7.0
AD TORREFORTA Equipo,Jornada 16,1.0,200.0,66.0,19.0,37.0,0.51,6.0,21.0,0.29,10.0,15.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,C.E.B. PALLEJA A - TAXILINE,AD TORREFORTA,False,-13.0
AD TORREFORTA Equipo,Jornada 17,1.0,200.0,62.0,18.0,38.0,0.47,5.0,22.0,0.23,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,AD TORREFORTA,CB TARRAGONA B,True,3.0
AD TORREFORTA Equipo,Jornada 18,1.0,200.0,59.0,22.0,39.0,0.56,2.0,19.0,0.11,9.0,15.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,BASKET ALMEDA,AD TORREFORTA,False,-21.0
AD TORREFORTA Equipo,Jornada 19,1.0,200.0,58.0,20.0,39.0,0.51,3.0,13.0,0.23,9.0,12.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,AD TORREFORTA,CLUB NATACIO SABADELL A,False,-12.0
AD TORREFORTA Equipo,Jornada 20,1.0,200.0,60.0,18.0,37.0,0.49,6.0,21.0,0.29,6.0,13.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,TERRA ENDINS CB VILATORRADA,AD TORREFORTA,False,-19.0
AD TORREFORTA Equipo,Jornada 21,1.0,200.0,59.0,19.0,41.0,0.46,4.0,18.0,0.22,9.0,23.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,AD TORREFORTA,REUS PLOMS SALLE,True,7.0
