Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
BASQUET MOLINS Equipo,['Mitjana'],15.0,200.0,60.6,15.0,37.53,0.4,5.93,22.0,0.27,12.8,21.07,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13,0.0,0.0,66.0,0.48,91.82,40.15,41.29,21.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,20.93,59.53,0.35
BASQUET MOLINS Equipo Rival,['Mitjana Rival'],15.0,200.0,68.07,16.0,37.8,0.42,8.13,28.47,0.29,11.67,18.53,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.33,0.0,0.0,71.4,0.52,95.33,42.56,41.43,17.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,24.13,66.27,0.36
C.B.CASTELLAR A Equipo,['Mitjana'],15.0,200.0,66.4,14.87,31.27,0.48,9.33,32.0,0.29,8.67,13.13,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.73,0.0,0.0,66.27,0.49,100.2,45.63,42.1,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,24.2,63.27,0.38
C.B.CASTELLAR A Equipo Rival,['Mitjana Rival'],15.0,200.0,75.67,18.8,37.8,0.5,7.67,24.93,0.31,15.07,24.07,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.53,0.0,0.0,70.33,0.51,107.58,48.3,48.02,24.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,26.47,62.73,0.42
CB IPSI A Equipo,['Mitjana'],15.0,200.0,69.87,17.33,41.73,0.42,6.4,27.0,0.24,16.0,28.07,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.67,0.0,0.0,77.8,0.53,89.8,39.19,41.13,23.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,23.73,68.73,0.35
CB IPSI A Equipo Rival,['Mitjana Rival'],15.0,200.0,68.8,15.73,36.73,0.43,7.53,25.33,0.3,14.73,23.47,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.87,0.0,0.0,69.47,0.47,99.04,43.56,43.88,23.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,23.27,62.07,0.37
CLUB NATACIO SABADELL A Equipo,['Mitjana'],15.0,200.0,71.8,16.87,39.33,0.43,7.53,24.73,0.3,15.47,23.4,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.93,0.0,0.0,71.33,0.51,100.65,43.96,44.51,24.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.4,64.07,0.38
CLUB NATACIO SABADELL A Equipo Rival,['Mitjana Rival'],15.0,200.0,66.33,14.87,34.4,0.43,5.93,23.2,0.26,18.8,28.27,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.27,0.0,0.0,67.2,0.49,98.71,41.26,44.75,32.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,20.8,57.6,0.36
CLUB NATACIO TERRASSA A Equipo,['Mitjana'],15.0,201.67,58.67,16.53,39.33,0.42,5.6,20.4,0.27,8.8,15.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.27,0.0,0.0,63.67,0.49,92.15,41.74,41.24,14.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,22.13,59.73,0.37
CLUB NATACIO TERRASSA A Equipo Rival,['Mitjana Rival'],15.0,201.67,62.93,16.53,36.8,0.45,5.33,20.67,0.26,13.87,23.53,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.47,0.0,0.0,65.07,0.51,96.72,42.69,44.4,24.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,21.87,57.47,0.38
