Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tir,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pilota,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb assist,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
A.E.S.E. A Equipo,['Mitjana'],25.0,200.0,64.96,19.52,42.96,0.45,4.2,17.08,0.25,13.28,21.04,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.52,0.0,0.0,69.28,0.5,93.76,43.0,45.27,22.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,23.72,60.04,0.4
A.E.S.E. A Equipo Rival,['Mitjana Rival'],25.0,197.04,68.44,15.28,34.56,0.44,8.2,26.36,0.31,12.16,19.76,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.68,0.0,0.0,69.6,0.5,98.33,45.27,43.9,19.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,23.48,60.92,0.39
AE MINGUELLA A-DRIVIM Equipo,['Mitjana'],26.0,200.0,66.0,17.12,37.27,0.46,5.92,23.0,0.26,14.0,20.96,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.12,0.0,0.0,69.46,0.5,95.02,43.14,44.42,23.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,23.04,60.27,0.38
AE MINGUELLA A-DRIVIM Equipo Rival,['Mitjana Rival'],26.0,197.58,69.15,17.62,37.31,0.47,6.69,24.35,0.27,13.12,19.77,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.81,0.0,0.0,70.35,0.5,98.31,44.85,45.02,21.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.31,61.65,0.39
AEC COLLBLANC - ITACA Equipo,['Mitjana'],25.0,200.0,68.44,16.08,36.76,0.44,6.16,23.24,0.27,17.8,25.36,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88,0.0,0.0,71.12,0.49,96.23,42.2,44.88,29.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,22.24,60.0,0.37
AEC COLLBLANC - ITACA Equipo Rival,['Mitjana Rival'],25.0,200.0,68.28,17.64,40.44,0.44,6.4,25.12,0.25,13.76,20.88,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,74.72,0.51,91.38,41.55,42.51,20.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,24.04,65.56,0.37
C.B. SANTA COLOMA A Equipo,['Mitjana'],25.0,200.0,69.04,19.12,42.12,0.45,6.12,22.24,0.28,12.44,20.52,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32,0.0,0.0,73.36,0.5,94.11,43.97,44.34,19.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.24,64.36,0.39
C.B. SANTA COLOMA A Equipo Rival,['Mitjana Rival'],25.0,200.0,67.6,17.64,40.48,0.44,6.2,24.04,0.26,13.72,20.68,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.56,0.0,0.0,73.6,0.5,91.85,41.75,42.83,21.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,23.84,64.52,0.37
CB BESCANO Equipo,['Mitjana'],26.0,201.69,62.23,14.08,35.27,0.4,7.62,26.62,0.29,11.23,16.77,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,0.0,69.23,0.5,89.89,41.21,40.34,18.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,21.69,61.88,0.35
CB BESCANO Equipo Rival,['Mitjana Rival'],26.0,201.92,69.38,16.58,33.85,0.49,7.04,25.27,0.28,15.12,25.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.12,0.0,0.0,70.15,0.5,98.9,45.9,46.37,25.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,23.62,59.12,0.4
CBU LLORET SAMBA HOTELS A Equipo,['Mitjana'],26.0,200.0,71.27,17.54,36.88,0.48,6.96,25.62,0.27,15.27,22.58,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.46,0.0,0.0,72.42,0.5,98.41,44.77,45.55,24.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,24.5,62.5,0.39
CBU LLORET SAMBA HOTELS A Equipo Rival,['Mitjana Rival'],26.0,200.0,68.04,17.12,38.0,0.45,7.35,24.54,0.3,11.77,19.27,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.88,0.0,0.0,71.0,0.5,95.83,44.99,44.13,18.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.46,62.54,0.39
CLUB BASQUET CIUTAT VELLA Equipo,['Mitjana'],25.0,194.52,66.24,16.48,37.28,0.44,6.04,23.52,0.26,13.28,21.36,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.04,0.0,0.0,70.16,0.5,94.41,42.01,43.03,21.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,22.52,60.8,0.37
CLUB BASQUET CIUTAT VELLA Equipo Rival,['Mitjana Rival'],25.0,200.0,66.04,15.84,37.88,0.42,6.08,20.84,0.29,16.08,25.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.44,0.0,0.0,69.72,0.5,94.72,42.51,44.6,27.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,21.92,58.72,0.37
EL MASNOU BASQUETBOL Equipo,['Mitjana'],26.0,200.12,71.62,15.85,33.04,0.48,9.04,31.46,0.29,12.54,20.69,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.69,0.0,0.0,73.58,0.51,97.33,45.59,43.8,19.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,24.88,64.5,0.39
