Nom,Jornada,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensius,Reb. Defensius,Rebots,Assist,Recuperacions,Perd,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Local,Visitant,Victoria,Diferencia
A.E.S.E. A Equipo,Jornada 01,1.0,200.0,50.0,10.0,33.0,0.3,5.0,17.0,0.29,15.0,20.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,A.E.S.E. A,U.E. CLARET A,False,-6.0
A.E.S.E. A Equipo,Jornada 03,1.0,200.0,63.0,25.0,45.0,0.56,2.0,12.0,0.17,7.0,12.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,CBU LLORET SAMBA HOTELS A,A.E.S.E. A,False,-8.0
A.E.S.E. A Equipo,Jornada 04,1.0,200.0,62.0,21.0,42.0,0.5,3.0,17.0,0.18,11.0,19.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,TEMPLE - U.E. HORTA A,A.E.S.E. A,False,-18.0
A.E.S.E. A Equipo,Jornada 04,1.0,200.0,65.0,20.0,49.0,0.41,4.0,19.0,0.21,13.0,20.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,A.E.S.E. A,AEC COLLBLANC - ITACA,True,3.0
A.E.S.E. A Equipo,Jornada 05,1.0,200.0,61.0,21.0,51.0,0.41,3.0,19.0,0.16,10.0,13.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,A.E.S.E. A,EL MASNOU BASQUETBOL,False,-6.0
A.E.S.E. A Equipo,Jornada 06,1.0,200.0,68.0,18.0,40.0,0.45,4.0,20.0,0.2,20.0,28.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,AE MINGUELLA A-DRIVIM,A.E.S.E. A,False,-9.0
A.E.S.E. A Equipo,Jornada 08,1.0,200.0,67.0,25.0,47.0,0.53,2.0,18.0,0.11,11.0,22.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,A.E.S.E. A,UE.MONTGAT - A,False,-12.0
A.E.S.E. A Equipo,Jornada 09,1.0,200.0,71.0,17.0,40.0,0.42,3.0,17.0,0.18,27.0,33.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,A.E.S.E. A,CLUB BASQUET CIUTAT VELLA,True,10.0
A.E.S.E. A Equipo,Jornada 09,1.0,200.0,88.0,24.0,40.0,0.6,6.0,16.0,0.38,22.0,29.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,MARISTES ADEMAR,A.E.S.E. A,True,27.0
A.E.S.E. A Equipo,Jornada 11,1.0,200.0,79.0,23.0,40.0,0.57,5.0,16.0,0.31,18.0,25.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,A.E.S.E. A,CB BESCANO,True,16.0
