Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,14.0,200.0,68.21,19.07,43.43,0.44,5.43,22.0,0.25,13.79,22.5,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.71,0.0,0.0,72.29,0.48,94.37,41.59,43.2,21.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,24.5,65.43,0.37
Equip,2 Derrota,6.0,200.0,61.33,19.67,44.67,0.44,3.5,20.67,0.17,11.5,19.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,70.67,0.48,86.79,38.14,40.56,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,23.17,65.33,0.35
Equip,2 Victoria,8.0,200.0,73.38,18.62,42.5,0.44,6.88,23.0,0.3,15.5,25.12,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,0.0,0.0,73.38,0.49,100.0,44.18,45.1,23.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.5,65.5,0.39
Equip,3 Local,7.0,200.0,64.71,16.71,42.29,0.4,5.14,21.71,0.24,15.86,24.57,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.29,0.0,0.0,71.71,0.48,90.24,38.17,41.24,24.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,21.86,64.0,0.34
Equip,3 Visitant,7.0,200.0,71.71,21.43,44.57,0.48,5.71,22.29,0.26,11.71,20.43,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,0.0,0.0,72.71,0.49,98.62,44.87,45.09,17.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,27.14,66.86,0.41
Equip,4 Dificil,7.0,200.0,69.71,17.29,40.43,0.43,6.43,21.86,0.29,15.86,27.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.86,0.0,0.0,71.29,0.49,97.8,43.23,44.69,25.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,23.71,62.29,0.38
Equip,4 Facil,7.0,200.0,66.71,20.86,46.43,0.45,4.43,22.14,0.2,11.71,17.71,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.57,0.0,0.0,73.29,0.48,91.03,40.1,41.71,17.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,25.29,68.57,0.37
Equip,6 Ultims 3,3.0,36000.0,226.0,67.0,145.0,0.46,17.0,63.0,0.27,41.0,64.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,84.0,208.0,0.4
Equip Rival,1 Mitjana Rival,14.0,200.0,73.36,23.79,50.29,0.47,4.71,21.79,0.22,11.64,19.14,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.79,0.0,0.0,77.21,0.52,95.0,42.81,43.88,16.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,28.5,72.07,0.4
Equip Rival,2 Derrota Rival,6.0,200.0,84.33,30.17,52.33,0.58,4.17,20.17,0.21,11.5,18.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,77.17,0.52,109.29,50.23,50.93,15.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,34.33,72.5,0.47
