Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,62.0,21.0,47.0,0.45,5.0,24.0,0.21,5.0,10.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,72.0,0.49,86.11,40.14,38.67,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,26.0,71.0,0.37,BASQUET GIRONA U16,C.B. L'HOSPITALET A,Perdido,-13.0
Equip Rival,Jornada 01,1.0,200.0,75.0,33.0,59.0,0.56,2.0,15.0,0.13,3.0,8.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,74.0,0.51,101.35,48.65,47.86,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,35.0,74.0,0.47,,,,
Equip Rival,Jornada 02,1.0,200.0,81.0,25.0,50.0,0.5,5.0,23.0,0.22,16.0,23.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,79.0,0.5,102.53,44.52,46.65,21.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,30.0,73.0,0.41,,,,
Equip,Jornada 02,1.0,200.0,54.0,15.0,48.0,0.31,2.0,23.0,0.09,18.0,25.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,78.0,0.5,69.23,25.35,32.37,25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,17.0,71.0,0.24,C.B. L'HOSPITALET A,JOVENTUT BADALONA A,Perdido,-27.0
Equip Rival,Jornada 03,1.0,200.0,71.0,24.0,47.0,0.51,4.0,28.0,0.14,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,78.0,0.55,91.03,40.0,41.45,14.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,28.0,75.0,0.37,,,,
Equip,Jornada 03,1.0,200.0,48.0,16.0,45.0,0.36,1.0,15.0,0.07,13.0,18.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,65.0,0.45,73.85,29.17,35.19,21.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,17.0,60.0,0.28,C.B. L'HOSPITALET A,BARCA,Perdido,-23.0
Equip Rival,Jornada 04,1.0,200.0,82.0,21.0,47.0,0.45,11.0,32.0,0.34,7.0,10.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,80.0,0.49,102.5,47.47,42.94,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,32.0,79.0,0.41,,,,
Equip,Jornada 04,1.0,200.0,84.0,19.0,49.0,0.39,9.0,25.0,0.36,19.0,29.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,83.0,0.51,101.2,43.92,44.65,25.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,28.0,74.0,0.38,C.B. L'HOSPITALET A,BASQUET MANRESA A,Ganado,2.0
Equip Rival,Jornada 05,1.0,200.0,66.0,20.0,52.0,0.38,5.0,18.0,0.28,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,75.0,0.51,88.0,39.29,40.23,15.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,25.0,70.0,0.36,,,,
Equip,Jornada 05,1.0,200.0,68.0,16.0,40.0,0.4,7.0,24.0,0.29,15.0,28.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,73.0,0.49,93.15,41.41,42.27,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,23.0,64.0,0.36,C.B. L'HOSPITALET A,SESE A,Ganado,2.0
