Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,71.0,18.0,42.0,0.43,6.0,23.0,0.26,17.0,24.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,72.0,0.52,98.61,41.54,43.95,26.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,24.0,65.0,0.37,C.B. LHOSPITALET A,JOVENTUT BADALONA A,Perdido,-18.0
Equip Rival,Jornada 01,1.0,200.0,89.0,29.0,45.0,0.64,8.0,19.0,0.42,7.0,13.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,66.0,0.48,134.85,64.06,59.38,10.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,37.0,64.0,0.58,,,,
Equip Rival,Jornada 02,1.0,200.0,58.0,22.0,42.0,0.52,2.0,27.0,0.07,8.0,18.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,73.0,0.52,79.45,36.23,38.03,11.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,24.0,69.0,0.35,,,,
Equip,Jornada 02,1.0,200.0,71.0,24.0,44.0,0.55,3.0,17.0,0.18,14.0,21.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,67.0,0.48,105.97,46.72,49.66,22.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,27.0,61.0,0.44,BASQUET GIRONA U18,C.B. LHOSPITALET A,Ganado,13.0
Equip Rival,Jornada 03,1.0,200.0,73.0,25.0,54.0,0.46,2.0,18.0,0.11,17.0,28.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,80.0,0.48,91.25,38.89,43.84,23.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,27.0,72.0,0.38,,,,
Equip,Jornada 03,1.0,200.0,85.0,31.0,60.0,0.52,3.0,18.0,0.17,14.0,24.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,85.0,0.52,100.0,45.51,47.87,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,34.0,78.0,0.44,PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A,C.B. LHOSPITALET A,Ganado,12.0
Equip Rival,Jornada 04,1.0,200.0,92.0,23.0,43.0,0.53,8.0,31.0,0.26,22.0,31.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,84.0,0.54,109.52,47.3,49.02,29.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,31.0,74.0,0.42,,,,
Equip,Jornada 04,1.0,200.0,75.0,25.0,45.0,0.56,3.0,20.0,0.15,16.0,27.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,73.0,0.46,102.74,45.38,48.82,24.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,28.0,65.0,0.43,C.B. LHOSPITALET A,BASQUET MANRESA A,Perdido,-17.0
Equip Rival,Jornada 05,1.0,200.0,74.0,19.0,43.0,0.44,8.0,23.0,0.35,12.0,20.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,71.0,0.5,104.23,46.97,45.57,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,27.0,66.0,0.41,,,,
Equip,Jornada 05,1.0,200.0,86.0,26.0,48.0,0.54,7.0,18.0,0.39,13.0,21.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,72.0,0.5,119.44,55.3,54.01,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,33.0,66.0,0.5,UE MATARO  HOMS - JAM,C.B. LHOSPITALET A,Ganado,12.0
Equip,Jornada 06,1.0,200.0,48.0,17.0,44.0,0.39,2.0,14.0,0.14,8.0,15.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,62.0,0.45,77.42,34.48,37.02,13.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,19.0,58.0,0.33,C.B. LHOSPITALET A,BARCA,Perdido,-15.0
Equip Rival,Jornada 06,1.0,200.0,63.0,15.0,40.0,0.38,10.0,37.0,0.27,3.0,4.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,75.0,0.55,84.0,38.96,33.72,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,25.0,77.0,0.32,,,,
Equip,Jornada 07,1.0,200.0,76.0,26.0,55.0,0.47,4.0,13.0,0.31,12.0,17.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,72.0,0.45,105.56,47.06,48.41,17.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,30.0,68.0,0.44,JOVENTUT BADALONA A,C.B. LHOSPITALET A,Perdido,-6.0
