Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,14.0,200.0,75.93,20.57,40.29,0.51,7.43,28.07,0.26,12.5,21.07,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.14,0.0,0.0,74.5,0.51,101.92,46.39,45.63,18.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,28.0,68.36,0.41
Equip,2 Derrota,6.0,200.0,65.0,16.17,38.17,0.42,6.33,26.67,0.24,13.67,22.17,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.17,0.0,0.0,71.5,0.51,90.91,39.59,40.79,21.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,22.5,64.83,0.35
Equip,2 Victoria,8.0,200.0,84.12,23.88,41.88,0.57,8.25,29.12,0.28,11.62,20.25,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.88,0.0,0.0,76.62,0.52,109.79,51.06,49.0,16.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,32.12,71.0,0.45
Equip,3 Local,7.0,200.0,74.71,20.71,40.0,0.52,7.14,29.57,0.24,11.86,20.29,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.57,0.0,0.0,75.29,0.51,99.24,45.17,44.5,17.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,27.86,69.57,0.4
Equip,3 Visitant,7.0,200.0,77.14,20.43,40.57,0.5,7.71,26.57,0.29,13.14,21.86,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.71,0.0,0.0,73.57,0.52,104.85,47.66,46.78,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,28.14,67.14,0.42
Equip,4 Dificil,8.0,200.0,69.5,18.38,37.88,0.49,7.12,27.38,0.26,11.38,20.25,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.25,0.0,0.0,71.12,0.5,97.72,44.54,43.69,17.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,25.5,65.25,0.39
Equip,4 Facil,6.0,200.0,84.5,23.5,43.5,0.54,7.83,29.0,0.27,14.0,22.17,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,78.83,0.53,107.19,48.62,47.93,19.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,31.33,72.5,0.43
Equip,5 Equips Cua,2.0,200.0,69.0,16.0,38.5,0.42,7.5,32.5,0.23,14.5,21.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,77.0,0.53,89.61,38.38,39.16,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,23.5,71.0,0.33
Equip,5 Equips Top,2.0,200.0,69.0,16.0,38.5,0.42,7.5,32.5,0.23,14.5,21.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,77.0,0.53,89.61,38.38,39.16,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,23.5,71.0,0.33
Equip,6 Ultims 3,3.0,36000.0,199.0,57.0,125.0,0.46,19.0,81.0,0.23,28.0,40.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,76.0,206.0,0.37
