Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,98.0,35.0,54.0,0.65,7.0,30.0,0.23,7.0,13.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,86.0,0.55,113.95,54.17,51.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,42.0,84.0,0.5,BASQUET MANRESA A,CB TARRAGONA,Ganado,38.0
Equip Rival,Jornada 01,1.0,200.0,60.0,21.0,48.0,0.44,3.0,20.0,0.15,9.0,13.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,70.0,0.45,85.71,37.5,39.22,13.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,24.0,68.0,0.35,,,,
Equip Rival,Jornada 02,1.0,200.0,60.0,16.0,39.0,0.41,5.0,24.0,0.21,13.0,17.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,67.0,0.51,89.55,37.3,39.29,20.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,21.0,63.0,0.33,,,,
Equip,Jornada 02,1.0,200.0,74.0,21.0,39.0,0.54,7.0,17.0,0.41,11.0,28.0,0.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,65.0,0.49,113.85,56.25,52.19,19.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,28.0,56.0,0.5,PRC-PUNTRECARREGACOTXE.CAT JAC SANTS BARCELONA A,BASQUET MANRESA A,Ganado,14.0
Equip Rival,Jornada 03,1.0,200.0,69.0,15.0,34.0,0.44,8.0,30.0,0.27,15.0,30.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,74.0,0.53,93.24,42.19,42.11,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,23.0,64.0,0.36,,,,
Equip,Jornada 03,1.0,200.0,64.0,17.0,34.0,0.5,5.0,23.0,0.22,15.0,26.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,65.0,0.47,98.46,42.98,45.31,26.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,22.0,57.0,0.39,BASQUET MANRESA A,BARCA,Perdido,-5.0
Equip Rival,Jornada 04,1.0,200.0,58.0,14.0,36.0,0.39,6.0,30.0,0.2,12.0,14.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,69.0,0.46,84.06,34.85,35.59,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,20.0,66.0,0.3,,,,
Equip,Jornada 04,1.0,200.0,82.0,19.0,39.0,0.49,9.0,35.0,0.26,17.0,23.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,80.0,0.54,102.5,43.92,43.96,22.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,28.0,74.0,0.38,BASQUET MANRESA A,UE MATARO  HOMS - JAM,Ganado,24.0
Equip Rival,Jornada 05,1.0,200.0,75.0,25.0,45.0,0.56,3.0,20.0,0.15,16.0,27.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,73.0,0.46,102.74,45.38,48.82,24.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,28.0,65.0,0.43,,,,
Equip,Jornada 05,1.0,200.0,92.0,23.0,43.0,0.53,8.0,31.0,0.26,22.0,31.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,84.0,0.54,109.52,47.3,49.02,29.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,31.0,74.0,0.42,C.B. LHOSPITALET A,BASQUET MANRESA A,Ganado,17.0
Equip Rival,Jornada 06,1.0,200.0,78.0,22.0,52.0,0.42,9.0,21.0,0.43,7.0,12.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,75.0,0.51,104.0,48.63,44.94,9.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,31.0,73.0,0.42,,,,
Equip,Jornada 06,1.0,200.0,72.0,15.0,31.0,0.48,9.0,31.0,0.29,15.0,28.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,71.0,0.49,101.41,45.97,44.79,24.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,24.0,62.0,0.39,BASQUET MANRESA A,JOVENTUT BADALONA A,Perdido,-6.0
