Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,64.0,17.0,42.0,0.4,6.0,16.0,0.38,12.0,21.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,64.0,0.5,100.0,44.83,44.97,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,23.0,58.0,0.4,U.E. CLARET A,A.E. MINGUELLA A - DRIVIM,Ganado,2.0
Equip Rival,Jornada 01,1.0,200.0,62.0,16.0,34.0,0.47,5.0,20.0,0.25,15.0,30.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,64.0,0.5,96.88,43.52,45.45,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,21.0,54.0,0.39,,,,
Equip Rival,Jornada 02,1.0,200.0,41.0,11.0,42.0,0.26,3.0,28.0,0.11,10.0,23.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,76.0,0.52,53.95,22.14,25.58,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,14.0,70.0,0.2,,,,
Equip,Jornada 02,1.0,200.0,73.0,17.0,35.0,0.49,9.0,30.0,0.3,12.0,17.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,69.0,0.48,105.8,46.92,44.86,18.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,26.0,65.0,0.4,A.E. MINGUELLA A - DRIVIM,UE MATARO  - TC,Ganado,32.0
Equip Rival,Jornada 03,1.0,200.0,68.0,19.0,36.0,0.53,6.0,22.0,0.27,12.0,20.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,64.0,0.45,106.25,48.28,48.06,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,25.0,58.0,0.43,,,,
Equip,Jornada 03,1.0,200.0,57.0,20.0,47.0,0.43,2.0,24.0,0.08,11.0,24.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,78.0,0.55,73.08,32.39,35.71,15.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,22.0,71.0,0.31,GRUP VIA - CB ARTES,A.E. MINGUELLA A - DRIVIM,Perdido,-11.0
Equip Rival,Jornada 04,1.0,200.0,58.0,13.0,25.0,0.52,5.0,26.0,0.19,17.0,25.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,59.0,0.46,98.31,40.2,44.22,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,18.0,51.0,0.35,,,,
Equip,Jornada 04,1.0,200.0,62.0,20.0,41.0,0.49,4.0,23.0,0.17,10.0,22.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,70.0,0.54,88.57,40.62,41.46,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,24.0,64.0,0.38,A.E. MINGUELLA A - DRIVIM,BASQUET GIRONA,Ganado,4.0
Equip Rival,Jornada 05,1.0,200.0,71.0,18.0,34.0,0.53,8.0,24.0,0.33,11.0,20.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,64.0,0.47,110.94,51.72,49.06,18.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,26.0,58.0,0.45,,,,
Equip,Jornada 05,1.0,200.0,63.0,21.0,42.0,0.5,3.0,23.0,0.13,12.0,25.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,72.0,0.53,87.5,39.23,41.73,18.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,24.0,65.0,0.37,MARISTES ADEMAR,A.E. MINGUELLA A - DRIVIM,Perdido,-8.0
