Nombre,Condicion,Partidos,Minutos,Puntos,T2 Anotados,T2 Lanzados,% T2,T3 Anotados,T3 Lanzados,% T3,T1 Anotados,T1 Lanzados,% T1,Reb. Ofensivos,Reb. Defensivos,Rebotes,Asistencias,Robos,Perdidas,Tapones,Tapones Recibidos,Mates,Faltas Cometidas,Faltas Recibidas,Valoracion,Posesiones,Ritmo,OER,% TC Efectivo,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Pérdidas Mal Pase,Perdidas Balón Controlado,Otras Perdidas,Faltas de Tiro,Faltas No de Tiro,Técnicas,Antideportivas,Ofensivas,% Perd pase,%Perd balon,%Perd others,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Puntos tras Assistencia,OER tras Asistencia,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p
Equipo,1 Media,3.0,0.0,73.0,16.33,31.0,0.53,8.67,28.0,0.31,14.33,21.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,65.33,0.5,111.73,49.72,48.29,24.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,2 Victoria,3.0,0.0,73.0,16.33,31.0,0.53,8.67,28.0,0.31,14.33,21.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,65.33,0.5,111.73,49.72,48.29,24.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,3 Local,2.0,0.0,74.0,16.5,33.5,0.49,10.0,26.5,0.38,11.0,18.5,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,65.0,0.5,113.85,52.5,48.49,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,3 Visitante,1.0,0.0,71.0,16.0,26.0,0.62,6.0,31.0,0.19,21.0,27.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,66.0,0.5,107.58,43.86,47.59,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,4 Dificil,1.0,0.0,71.0,16.0,26.0,0.62,6.0,31.0,0.19,21.0,27.0,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,66.0,0.5,107.58,43.86,47.59,36.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,4 Facil,2.0,0.0,74.0,16.5,33.5,0.49,10.0,26.5,0.38,11.0,18.5,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,65.0,0.5,113.85,52.5,48.49,18.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo,6 Ultimos 3,3.0,0.0,73.0,16.33,31.0,0.53,8.67,28.0,0.31,14.33,21.33,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,65.33,0.5,111.73,49.72,48.29,24.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,1 Media Rival,3.0,0.0,58.33,19.0,40.0,0.47,3.67,20.0,0.18,9.33,18.33,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,65.33,0.5,89.29,40.83,41.93,15.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,2 Victoria Rival,3.0,0.0,58.33,19.0,40.0,0.47,3.67,20.0,0.18,9.33,18.33,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.67,0.0,0.0,65.33,0.5,89.29,40.83,41.93,15.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equipo Rival,3 Local Rival,2.0,0.0,56.5,17.0,38.0,0.45,4.5,21.0,0.21,9.0,17.5,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,64.0,0.5,88.28,40.25,40.68,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
