Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,81.0,26.0,53.0,0.49,7.0,18.0,0.39,8.0,10.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,72.0,0.53,112.5,51.41,49.12,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,33.0,71.0,0.46,BASQUET SAFA CLAROR A,CLUB BASQUET PARDINYES LLEIDA,Ganado,29.0
Equip Rival,Jornada 01,1.0,200.0,52.0,17.0,41.0,0.41,3.0,21.0,0.14,9.0,14.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,65.0,0.47,80.0,34.68,36.81,14.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,20.0,62.0,0.32,,,,
Equip,Jornada 02,1.0,225.0,79.0,21.0,43.0,0.49,5.0,22.0,0.23,22.0,34.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,76.0,0.48,103.95,43.85,48.23,33.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,26.0,65.0,0.4,INDUSTRIAL BOROBIL CB IGUALADA B,BASQUET SAFA CLAROR A,Ganado,6.0
Equip Rival,Jornada 02,1.0,225.0,73.0,20.0,49.0,0.41,6.0,29.0,0.21,15.0,17.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,82.0,0.52,89.02,37.18,38.57,19.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,26.0,78.0,0.33,,,,
Equip Rival,Jornada 03,1.0,200.0,57.0,19.0,45.0,0.42,4.0,16.0,0.25,7.0,13.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,64.0,0.48,89.06,40.98,40.92,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,23.0,61.0,0.38,,,,
Equip,Jornada 03,1.0,200.0,65.0,15.0,42.0,0.36,8.0,24.0,0.33,11.0,15.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,69.0,0.52,94.2,40.91,39.69,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,23.0,66.0,0.35,BASQUET SAFA CLAROR A,U.E. GAUDI-FORUS SARDENYA A,Ganado,8.0
Equip Rival,Jornada 04,1.0,200.0,59.0,16.0,41.0,0.39,6.0,29.0,0.21,9.0,18.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,74.0,0.48,79.73,35.71,35.49,12.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,22.0,70.0,0.31,,,,
Equip,Jornada 04,1.0,200.0,96.0,24.0,44.0,0.55,10.0,27.0,0.37,18.0,26.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,79.0,0.52,121.52,54.93,53.34,25.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,34.0,71.0,0.48,ARENES BELLPUIG CB BELLPUIG,BASQUET SAFA CLAROR A,Ganado,37.0
Equip Rival,Jornada 05,1.0,200.0,65.0,19.0,38.0,0.5,6.0,16.0,0.38,9.0,13.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,57.0,0.47,114.04,51.85,50.18,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,25.0,54.0,0.46,,,,
Equip,Jornada 05,1.0,200.0,70.0,23.0,40.0,0.57,5.0,18.0,0.28,9.0,19.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,63.0,0.53,111.11,52.59,51.06,15.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,28.0,58.0,0.48,BASQUET SAFA CLAROR A,JAC SANTS BARCELONA B,Ganado,5.0
