Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,19.0,201.32,71.05,18.0,37.26,0.48,7.63,27.32,0.28,12.16,18.47,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.63,0.0,0.0,69.79,0.49,101.81,45.6,44.68,18.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,25.63,64.58,0.4
Equip,2 Derrota,10.0,202.5,68.3,17.1,36.5,0.47,7.5,27.3,0.27,11.6,17.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,68.4,0.48,99.85,44.44,43.5,18.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,24.6,63.8,0.39
Equip,2 Victoria,9.0,200.0,74.11,19.0,38.11,0.5,7.78,27.33,0.28,12.78,20.11,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56,0.0,0.0,71.22,0.51,104.06,46.86,45.93,19.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,26.78,65.44,0.41
Equip,3 Local,10.0,202.5,71.5,17.8,38.0,0.47,7.7,28.4,0.27,12.8,19.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.5,0.0,0.0,71.7,0.5,99.72,44.2,43.64,19.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,25.5,66.4,0.38
Equip,3 Visitant,9.0,200.0,70.56,18.22,36.44,0.5,7.56,26.11,0.29,11.44,17.89,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.56,0.0,0.0,67.56,0.49,104.44,47.25,45.91,18.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,25.78,62.56,0.41
Equip,4 Dificil,14.0,201.79,68.07,17.14,37.14,0.46,7.64,27.86,0.27,10.86,16.79,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.93,0.0,0.0,69.43,0.49,98.05,44.01,42.76,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,24.79,65.0,0.38
Equip,4 Facil,5.0,200.0,79.4,20.4,37.6,0.54,7.6,25.8,0.29,15.8,23.2,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,70.6,0.51,112.46,50.16,49.99,24.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,28.0,63.4,0.44
Equip,6 Ultims 3,3.0,37500.0,202.0,53.0,120.0,0.44,23.0,76.0,0.3,27.0,51.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,76.0,196.0,0.39
Equip Rival,1 Mitjana Rival,19.0,201.32,68.95,19.58,42.95,0.46,6.53,23.58,0.28,10.21,17.42,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.11,0.0,0.0,71.21,0.51,96.82,44.15,43.38,15.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,26.11,66.53,0.39
Equip Rival,2 Derrota Rival,10.0,202.5,74.2,19.9,42.0,0.47,7.4,24.6,0.3,12.2,22.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,73.2,0.52,101.37,46.55,45.56,18.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,27.3,66.6,0.41
Equip Rival,2 Victoria Rival,9.0,200.0,63.11,19.22,44.0,0.44,5.56,22.44,0.25,8.0,12.33,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.56,0.0,0.0,68.89,0.49,91.61,41.47,40.77,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,24.78,66.44,0.37
Equip Rival,3 Local Rival,10.0,202.5,72.0,19.3,40.9,0.47,6.9,24.0,0.29,12.7,21.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9,0.0,0.0,71.2,0.5,101.12,45.69,45.41,19.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,26.2,64.9,0.4
Equip Rival,3 Visitant Rival,9.0,200.0,65.56,19.89,45.22,0.44,6.11,23.11,0.26,7.44,13.33,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22,0.0,0.0,71.22,0.51,92.04,42.52,41.12,10.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,26.0,68.33,0.38
Equip Rival,4 Dificil Rival,14.0,201.79,71.21,19.57,42.36,0.46,6.71,23.86,0.28,11.93,20.21,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.43,0.0,0.0,72.07,0.51,98.81,44.77,44.43,18.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,26.29,66.21,0.4
Equip Rival,4 Facil Rival,5.0,200.0,62.6,19.6,44.6,0.44,6.0,22.8,0.26,5.4,9.6,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,68.6,0.49,91.25,42.43,40.29,8.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,25.6,67.4,0.38
Equip Rival,6 Ultims 3 Rival,3.0,37500.0,189.0,58.0,138.0,0.42,17.0,62.0,0.27,22.0,46.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,75.0,200.0,0.38
