Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,69.0,17.0,32.0,0.53,7.0,23.0,0.3,14.0,27.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,64.0,0.47,107.81,50.0,49.08,25.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,24.0,55.0,0.44,CLUB NATACIO TERRASSA A,CLOTET SUZUKI SANT BOI A,Perdido,-5.0
Equip Rival,Jornada 01,1.0,200.0,74.0,18.0,41.0,0.44,4.0,17.0,0.24,26.0,37.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,71.0,0.53,104.23,41.38,48.75,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,22.0,58.0,0.38,,,,
Equip,Jornada 02,1.0,200.0,58.0,14.0,38.0,0.37,7.0,21.0,0.33,9.0,18.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,64.0,0.5,90.62,41.53,39.88,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,21.0,59.0,0.36,AD TORREFORTA,CLUB NATACIO TERRASSA A,Ganado,3.0
Equip Rival,Jornada 02,1.0,200.0,55.0,15.0,40.0,0.38,5.0,19.0,0.26,10.0,21.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,65.0,0.5,84.62,38.14,38.72,16.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,20.0,59.0,0.34,,,,
Equip Rival,Jornada 03,1.0,200.0,43.0,10.0,33.0,0.3,2.0,16.0,0.12,17.0,29.0,0.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,59.0,0.49,72.88,26.53,35.67,34.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,12.0,49.0,0.24,,,,
Equip,Jornada 03,1.0,200.0,64.0,17.0,37.0,0.46,8.0,20.0,0.4,6.0,16.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,61.0,0.51,104.92,50.88,45.58,10.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,25.0,57.0,0.44,C.E.B. PALLEJA A - TAXILINE,CLUB NATACIO TERRASSA A,Ganado,21.0
Equip Rival,Jornada 04,1.0,200.0,51.0,15.0,44.0,0.34,5.0,21.0,0.24,6.0,17.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,69.0,0.52,73.91,34.62,33.36,9.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,20.0,65.0,0.31,,,,
Equip,Jornada 04,1.0,200.0,35.0,11.0,39.0,0.28,1.0,22.0,0.05,10.0,15.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,64.0,0.48,54.69,20.49,25.87,16.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,12.0,61.0,0.2,CB TARRAGONA B,CLUB NATACIO TERRASSA A,Perdido,-16.0
Equip,Jornada 05,1.0,200.0,68.0,18.0,44.0,0.41,8.0,24.0,0.33,8.0,11.0,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,69.0,0.51,98.55,44.12,41.54,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,26.0,68.0,0.38,CLUB NATACIO TERRASSA A,BASKET ALMEDA,Perdido,-8.0
Equip Rival,Jornada 05,1.0,200.0,76.0,21.0,38.0,0.55,3.0,16.0,0.19,25.0,34.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,66.0,0.49,115.15,47.22,54.21,46.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,24.0,54.0,0.44,,,,
