Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC
Equip,1 Mitjana,9.0,200.0,69.11,20.44,46.11,0.44,3.89,14.56,0.27,16.56,23.89,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.44,0.0,0.0,68.22,0.51,101.3,43.32,46.98,27.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,24.33,60.67,0.4
Equip,2 Victoria,9.0,200.0,69.11,20.44,46.11,0.44,3.89,14.56,0.27,16.56,23.89,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.44,0.0,0.0,68.22,0.51,101.3,43.32,46.98,27.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,24.33,60.67,0.4
Equip,3 Local,5.0,200.0,65.8,19.4,44.6,0.43,4.2,15.8,0.27,14.4,20.4,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,66.6,0.51,98.8,42.55,45.29,23.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,23.6,60.4,0.39
Equip,3 Visitant,4.0,200.0,73.25,21.75,48.0,0.45,3.5,13.0,0.27,19.25,28.25,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,70.25,0.52,104.27,44.26,48.97,31.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,25.25,61.0,0.41
Equip,4 Dificil,4.0,200.0,66.5,19.0,43.25,0.44,4.5,16.5,0.27,15.0,21.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,66.0,0.51,100.76,43.1,45.8,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,23.5,59.75,0.39
Equip,4 Facil,5.0,200.0,71.2,21.6,48.4,0.45,3.4,13.0,0.26,17.8,26.2,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,0.0,0.0,70.0,0.51,101.71,43.49,47.86,28.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,25.0,61.4,0.41
Equip,6 Ultims 3,3.0,36000.0,202.0,57.0,133.0,0.43,11.0,49.0,0.22,55.0,78.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,68.0,182.0,0.37
Equip Rival,1 Mitjana Rival,9.0,200.0,55.0,14.67,40.0,0.37,5.78,22.22,0.26,8.33,11.78,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.44,0.0,0.0,64.67,0.49,85.05,37.5,36.98,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,20.44,62.22,0.33
Equip Rival,2 Victoria Rival,9.0,200.0,55.0,14.67,40.0,0.37,5.78,22.22,0.26,8.33,11.78,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.44,0.0,0.0,64.67,0.49,85.05,37.5,36.98,13.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,20.44,62.22,0.33
Equip Rival,3 Local Rival,5.0,200.0,55.0,14.6,40.4,0.36,5.8,22.8,0.25,8.4,10.2,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.6,0.0,0.0,64.8,0.49,84.88,36.87,36.2,13.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,20.4,63.2,0.32
Equip Rival,3 Visitant Rival,4.0,200.0,55.0,14.75,39.5,0.37,5.75,21.5,0.27,8.25,13.75,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,0.0,0.0,64.25,0.48,85.6,38.32,37.77,13.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,20.5,61.0,0.34
Equip Rival,4 Dificil Rival,4.0,200.0,59.0,15.5,38.75,0.4,6.25,21.75,0.29,9.25,11.0,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,62.5,0.49,94.4,41.12,40.12,15.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,21.75,60.5,0.36
Equip Rival,4 Facil Rival,5.0,200.0,51.8,14.0,41.0,0.34,5.4,22.6,0.24,7.6,12.4,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,0.0,0.0,66.2,0.49,78.25,34.75,34.45,11.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,19.4,63.6,0.31
Equip Rival,6 Ultims 3 Rival,3.0,36000.0,172.0,49.0,114.0,0.43,19.0,63.0,0.3,17.0,21.0,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,68.0,177.0,0.38
