Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,66.0,22.0,46.0,0.48,3.0,13.0,0.23,13.0,23.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,66.0,0.49,100.0,44.92,47.6,22.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,25.0,59.0,0.42,CEEB TORDERA UNIGIRONA,JOVENTUT LES CORTS,Ganado,5.0
Equip Rival,Jornada 01,1.0,200.0,61.0,16.0,46.0,0.35,7.0,24.0,0.29,8.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,70.0,0.51,87.14,37.86,35.79,11.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,23.0,70.0,0.33,,,,
Equip Rival,Jornada 02,1.0,200.0,57.0,15.0,47.0,0.32,6.0,17.0,0.35,9.0,13.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,66.0,0.48,86.36,37.5,37.15,14.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,21.0,64.0,0.33,,,,
Equip,Jornada 02,1.0,200.0,71.0,19.0,45.0,0.42,5.0,15.0,0.33,18.0,32.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,71.0,0.52,100.0,44.17,47.18,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,24.0,60.0,0.4,EVENTS CB IGUALADA,CEEB TORDERA UNIGIRONA,Ganado,14.0
Equip Rival,Jornada 03,1.0,200.0,39.0,11.0,47.0,0.23,4.0,27.0,0.15,5.0,7.0,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,73.0,0.52,53.42,22.97,22.88,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,15.0,74.0,0.2,,,,
Equip,Jornada 03,1.0,200.0,63.0,21.0,50.0,0.42,3.0,13.0,0.23,12.0,18.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,68.0,0.48,92.65,40.48,43.3,19.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,24.0,63.0,0.38,CEEB TORDERA UNIGIRONA,INTERSPORT OLARIA SAMA VILANOVA,Ganado,24.0
Equip Rival,Jornada 04,1.0,200.0,62.0,15.0,38.0,0.39,6.0,25.0,0.24,14.0,20.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,68.0,0.5,91.18,38.1,39.83,22.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,21.0,63.0,0.33,,,,
Equip,Jornada 04,1.0,200.0,74.0,22.0,48.0,0.46,4.0,14.0,0.29,18.0,22.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,68.0,0.5,108.82,45.16,48.74,29.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,26.0,62.0,0.42,CAMPING BIANYA ROSER A,CEEB TORDERA UNIGIRONA,Ganado,12.0
Equip,Jornada 05,1.0,200.0,68.0,19.0,46.0,0.41,5.0,17.0,0.29,15.0,19.0,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,68.0,0.52,100.0,42.06,44.28,23.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,24.0,63.0,0.38,CEEB TORDERA UNIGIRONA,CB GRANOLLERS 1,Ganado,6.0
Equip Rival,Jornada 05,1.0,200.0,62.0,15.0,37.0,0.41,6.0,20.0,0.3,14.0,19.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,62.0,0.48,100.0,42.11,43.46,24.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,21.0,57.0,0.37,,,,
