Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,90.0,21.0,33.0,0.64,9.0,23.0,0.39,21.0,33.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,67.0,0.43,134.33,61.61,59.91,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,30.0,56.0,0.54,PUJOL CB MOLLERUSSA,VEDRUNA GRACIA A,Ganado,15.0
Equip Rival,Jornada 01,1.0,200.0,75.0,20.0,45.0,0.44,6.0,35.0,0.17,17.0,28.0,0.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,88.0,0.57,85.23,36.25,38.89,21.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,26.0,80.0,0.33,,,,
Equip,Jornada 02,1.0,200.0,49.0,16.0,40.0,0.4,4.0,18.0,0.22,5.0,12.0,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,60.0,0.5,81.67,37.93,36.89,8.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,20.0,58.0,0.34,VEDRUNA GRACIA A,JAC SANTS BARCELONA A,Perdido,-23.0
Equip Rival,Jornada 02,1.0,200.0,72.0,18.0,27.0,0.67,7.0,27.0,0.26,15.0,23.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,61.0,0.5,118.03,52.78,52.35,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,25.0,54.0,0.46,,,,
Equip Rival,Jornada 03,1.0,200.0,52.0,14.0,39.0,0.36,4.0,19.0,0.21,12.0,18.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,63.0,0.55,82.54,34.48,37.42,20.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,18.0,58.0,0.31,,,,
Equip,Jornada 03,1.0,200.0,53.0,14.0,33.0,0.42,7.0,19.0,0.37,4.0,7.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,52.0,0.45,101.92,47.12,42.49,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,21.0,52.0,0.4,VEDRUNA GRACIA A,U.E. CLARET A,Ganado,1.0
Equip Rival,Jornada 04,1.0,200.0,81.0,21.0,41.0,0.51,10.0,26.0,0.38,9.0,13.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,69.0,0.52,117.39,53.73,49.46,13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,31.0,67.0,0.46,,,,
Equip,Jornada 04,1.0,200.0,45.0,13.0,37.0,0.35,5.0,25.0,0.2,4.0,9.0,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,63.0,0.48,71.43,33.06,31.23,6.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,18.0,62.0,0.29,CB.CIUTAT VELLA A,VEDRUNA GRACIA A,Perdido,-36.0
Equip,Jornada 05,1.0,138.0,40.0,9.0,30.0,0.3,4.0,21.0,0.19,10.0,12.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,54.0,0.43,74.07,29.41,31.66,19.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,13.0,51.0,0.25,VEDRUNA GRACIA A,CB IPSI A,Perdido,-30.0
Equip Rival,Jornada 05,1.0,200.0,70.0,21.0,39.0,0.54,8.0,33.0,0.24,4.0,10.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,73.0,0.57,95.89,45.83,41.53,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,29.0,72.0,0.4,,,,
Equip Rival,Jornada 06,1.0,200.0,80.0,19.0,44.0,0.43,8.0,28.0,0.29,18.0,28.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,80.0,0.58,100.0,43.06,44.2,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,27.0,72.0,0.38,,,,
Equip,Jornada 06,1.0,200.0,78.0,18.0,30.0,0.6,8.0,19.0,0.42,18.0,26.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,58.0,0.42,134.48,61.22,59.62,36.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,26.0,49.0,0.53,ESCOLAPIS SARRIA,VEDRUNA GRACIA A,Perdido,-2.0
