Nom,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,Reb. Ofensiuss,Reb. Defensiuss,Rebots,Assist,Recuperacions,Pèrdues,Taps,Taps Rebuts,Mates,Faltes Comeses,Faltes Rebudes,Val,Possesions,Ritme,OER,% TC Efec,% Jugada,Frec. TL,% Reb Def,% Reb Of,% Assis,% Perd,Perd Mal Pase,Perd Pilota Controlada,Altres Perd,Faltes de Tiro,Faltes No de Tir,Tecn,Antieportives,Faltes Ofensives,% Perd pase,%Perd pil control,%Perd altres,ORB_wt,AssistFT,Assist2P,Assist3P,% AssistFT,%Assist2P,%Assist3P,Punts amb assist,OER amb Asistència,Reb. Of 2p,Reb. Of 3p,% Reb. Of 2p,% Reb. Of 3p,UsT3,TC Anot,TC Fets,%TC,Local,Visitant,Victoria,Diferencia
Equip,Jornada 01,1.0,200.0,82.0,23.0,43.0,0.53,4.0,23.0,0.17,24.0,37.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,78.0,0.51,105.13,43.94,49.47,36.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,27.0,66.0,0.41,BASQUET GIRONA,C.B. VIC - UNIVERSITAT DE VIC 2,Ganado,15.0
Equip Rival,Jornada 01,1.0,200.0,67.0,17.0,39.0,0.44,5.0,27.0,0.19,18.0,30.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,76.0,0.49,88.16,37.12,41.13,27.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,22.0,66.0,0.33,,,,
Equip Rival,Jornada 02,1.0,200.0,66.0,18.0,37.0,0.49,2.0,17.0,0.12,24.0,36.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,67.0,0.46,98.51,38.89,47.95,44.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,20.0,54.0,0.37,,,,
Equip,Jornada 02,1.0,200.0,73.0,21.0,49.0,0.43,6.0,24.0,0.25,13.0,21.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,78.0,0.54,93.59,41.1,41.99,17.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,27.0,73.0,0.37,C.B. VIC - UNIVERSITAT DE VIC 2,MARISTES ADEMAR,Ganado,7.0
Equip Rival,Jornada 03,1.0,200.0,52.0,12.0,31.0,0.39,6.0,26.0,0.23,10.0,19.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,62.0,0.46,83.87,36.84,36.99,17.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,18.0,57.0,0.32,,,,
Equip,Jornada 03,1.0,200.0,71.0,17.0,43.0,0.4,9.0,21.0,0.43,10.0,26.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,72.0,0.54,98.61,47.66,43.63,15.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,26.0,64.0,0.41,TERRA ENDINS CB VILATORRADA,C.B. VIC - UNIVERSITAT DE VIC 2,Ganado,19.0
Equip Rival,Jornada 04,1.0,200.0,54.0,15.0,39.0,0.38,3.0,25.0,0.12,15.0,24.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,71.0,0.47,76.06,30.47,35.67,23.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,18.0,64.0,0.28,,,,
Equip,Jornada 04,1.0,200.0,73.0,25.0,51.0,0.49,3.0,24.0,0.12,14.0,22.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,81.0,0.53,90.12,39.33,42.53,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,28.0,75.0,0.37,C.B. VIC - UNIVERSITAT DE VIC 2,CB SANTA COLOMA A,Ganado,19.0
Equip Rival,Jornada 05,1.0,200.0,82.0,17.0,46.0,0.37,11.0,27.0,0.41,15.0,31.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,83.0,0.53,98.8,45.89,43.44,20.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,28.0,73.0,0.38,,,,
Equip,Jornada 05,1.0,200.0,76.0,21.0,44.0,0.48,6.0,22.0,0.27,16.0,29.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,75.0,0.47,101.33,45.45,46.74,24.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,27.0,66.0,0.41,C.B. VIC - UNIVERSITAT DE VIC 2,CB.CIUTAT VELLA,Perdido,-6.0
