Nom,Num,Cond,Partits,Minuts,Punts,T2 Anot,T2 Fets,% T2,T3 Anot,T3 Fets,% T3,T1 Anot,T1 Fets,% T1,FC,% Tir Ef,% Tir Ver,FqTL,%UsT3,Pt/TC,%PosAnot,Us,GScore
0,[b'GUILLEM CANALETA BENET'],1 Mitjana,26.0,25.62,14.96,4.0,7.81,0.51,0.35,1.54,0.23,5.92,7.88,0.75,1.23,0.48,0.58,2.44,0.16,0.97,58.44,26.86,8.88
0,[b'GUILLEM CANALETA BENET'],2 Derrota,7.0,25.43,14.43,3.71,8.14,0.46,0.29,1.71,0.17,6.14,8.57,0.72,1.29,0.42,0.53,8.9,0.17,0.84,53.84,28.2,7.64
0,[b'GUILLEM CANALETA BENET'],2 Victoria,19.0,25.68,15.16,4.11,7.68,0.53,0.37,1.47,0.25,5.84,7.63,0.77,1.21,0.51,0.61,3.36,0.16,1.02,60.26,26.35,9.34
0,[b'GUILLEM CANALETA BENET'],3 Local,13.0,23.54,12.69,4.0,7.92,0.5,0.38,1.23,0.31,3.54,4.69,0.75,1.0,0.5,0.57,2.97,0.13,1.0,55.74,26.31,7.18
0,[b'GUILLEM CANALETA BENET'],3 Visitant,13.0,27.69,17.23,4.0,7.69,0.52,0.31,1.85,0.17,8.31,11.08,0.75,1.46,0.47,0.6,6.7,0.19,0.94,60.57,27.19,10.58
0,[b'GUILLEM CANALETA BENET'],4 Banqueta,26.0,25.62,14.96,4.0,7.81,0.51,0.35,1.54,0.23,5.92,7.88,0.75,1.23,0.48,0.58,2.44,0.16,0.97,58.44,26.86,8.88
0,[b'GUILLEM CANALETA BENET'],5 Dificil,20.0,26.7,15.55,4.0,7.75,0.52,0.4,1.6,0.25,6.35,8.6,0.74,1.3,0.49,0.59,3.4,0.17,0.98,59.46,26.6,9.35
0,[b'GUILLEM CANALETA BENET'],5 Facil,6.0,22.0,13.0,4.0,8.0,0.5,0.17,1.33,0.12,4.5,5.5,0.82,1.0,0.46,0.55,8.04,0.14,0.91,54.57,27.97,7.33
1,[b'ERIC MONTERO TARRAGO'],1 Mitjana,1.0,11.0,4.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,0.0,0.0,1.33,66.67,16.73,2.3
1,[b'ERIC MONTERO TARRAGO'],2 Victoria,1.0,11.0,4.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,0.0,0.0,1.33,66.67,16.73,2.3
1,[b'ERIC MONTERO TARRAGO'],3 Local,1.0,11.0,4.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,0.0,0.0,1.33,66.67,16.73,2.3
1,[b'ERIC MONTERO TARRAGO'],4 Banqueta,1.0,11.0,4.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,0.0,0.0,1.33,66.67,16.73,2.3
1,[b'ERIC MONTERO TARRAGO'],5 Dificil,1.0,11.0,4.0,2.0,3.0,0.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.67,0.67,0.0,0.0,1.33,66.67,16.73,2.3
11,[b'ROGER ABELLO ONCINS'],1 Mitjana,24.0,22.33,10.12,2.25,5.54,0.41,1.21,4.67,0.26,2.0,2.62,0.76,2.08,0.4,0.45,0.82,0.46,0.8,39.52,27.22,3.28
11,[b'ROGER ABELLO ONCINS'],2 Derrota,7.0,23.14,11.71,3.14,6.29,0.5,0.86,4.29,0.2,2.86,3.57,0.8,2.57,0.42,0.48,3.86,0.41,0.84,44.76,27.61,4.6
11,[b'GERARD GONZLEZ BADAL'],2 Derrota,3.0,10.33,4.0,2.0,4.33,0.46,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.46,0.46,0.0,0.0,0.92,46.15,22.68,1.23
11,[b'ROGER ABELLO ONCINS'],2 Victoria,17.0,22.0,9.47,1.88,5.24,0.36,1.35,4.82,0.28,1.65,2.24,0.74,1.88,0.39,0.43,0.96,0.48,0.78,37.14,27.04,2.74
11,[b'ROGER ABELLO ONCINS'],3 Local,12.0,21.33,9.75,2.08,4.75,0.44,1.5,4.67,0.32,1.08,1.33,0.81,2.17,0.46,0.49,0.96,0.5,0.92,41.19,25.71,3.62
11,[b'ROGER ABELLO ONCINS'],3 Visitant,12.0,23.33,10.5,2.42,6.33,0.38,0.92,4.67,0.2,2.92,3.92,0.74,2.0,0.34,0.41,2.21,0.42,0.69,38.18,28.49,2.93
11,[b'ROGER ABELLO ONCINS'],4 Banqueta,24.0,22.33,10.12,2.25,5.54,0.41,1.21,4.67,0.26,2.0,2.62,0.76,2.08,0.4,0.45,0.82,0.46,0.8,39.52,27.22,3.28
11,[b'ROGER ABELLO ONCINS'],5 Dificil,18.0,23.67,10.67,2.44,5.89,0.42,1.22,4.72,0.26,2.11,2.94,0.72,1.94,0.4,0.45,1.11,0.45,0.81,40.29,27.11,3.59
11,[b'ROGER ABELLO ONCINS'],5 Facil,6.0,18.33,8.5,1.67,4.5,0.37,1.17,4.5,0.26,1.67,1.67,1.0,2.5,0.38,0.44,3.09,0.5,0.76,36.21,27.79,2.33
12,[b'GERARD CASTEL SANZ'],1 Mitjana,15.0,12.0,4.87,0.4,1.27,0.32,1.27,4.13,0.31,0.27,0.4,0.67,1.0,0.43,0.44,0.33,0.77,0.85,32.53,24.98,1.3
12,[b'GERARD CASTEL SANZ'],2 Derrota,3.0,10.0,3.0,1.0,1.33,0.75,0.33,1.67,0.2,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.56,1.0,44.44,15.88,1.43
12,[b'GERARD CASTEL SANZ'],2 Victoria,12.0,12.5,5.33,0.25,1.25,0.2,1.5,4.75,0.32,0.33,0.5,0.67,1.25,0.42,0.43,0.46,0.79,0.83,31.09,26.86,1.27
12,[b'GERARD CASTEL SANZ'],3 Local,8.0,12.75,3.75,0.38,1.12,0.33,0.88,4.25,0.21,0.38,0.62,0.6,0.62,0.31,0.33,0.87,0.79,0.63,25.96,24.4,0.14
12,[b'GERARD CASTEL SANZ'],3 Visitant,7.0,11.14,6.14,0.43,1.43,0.3,1.71,4.0,0.43,0.14,0.14,1.0,1.43,0.55,0.56,0.38,0.74,1.11,40.1,25.81,2.63
12,[b'GERARD CASTEL SANZ'],4 Banqueta,15.0,12.0,4.87,0.4,1.27,0.32,1.27,4.13,0.31,0.27,0.4,0.67,1.0,0.43,0.44,0.33,0.77,0.85,32.53,24.98,1.3
12,[b'GERARD CASTEL SANZ'],5 Dificil,11.0,10.91,4.27,0.45,1.27,0.36,1.09,3.45,0.32,0.09,0.09,1.0,1.09,0.44,0.45,0.17,0.73,0.88,33.21,23.58,1.15
12,[b'GERARD CASTEL SANZ'],5 Facil,4.0,15.0,6.5,0.25,1.25,0.2,1.75,6.0,0.29,0.75,1.25,0.6,0.75,0.4,0.42,2.58,0.83,0.79,31.23,27.67,1.73
13,[b'CARLES REYNALS RODRIGUEZ'],1 Mitjana,22.0,20.64,6.77,1.0,2.82,0.35,1.0,2.41,0.42,1.77,2.77,0.64,2.73,0.48,0.53,1.54,0.46,0.96,46.79,17.08,2.42
13,[b'CARLES REYNALS RODRIGUEZ'],2 Derrota,5.0,21.2,7.4,0.8,2.0,0.4,1.4,3.0,0.47,1.6,2.6,0.62,3.6,0.58,0.6,6.4,0.6,1.16,51.1,15.89,2.94
13,[b'CARLES REYNALS RODRIGUEZ'],2 Victoria,17.0,20.47,6.59,1.06,3.06,0.35,0.88,2.24,0.39,1.82,2.82,0.65,2.47,0.45,0.5,2.03,0.42,0.9,45.6,17.44,2.27
13,[b'CARLES REYNALS RODRIGUEZ'],3 Local,11.0,21.55,6.36,1.09,3.0,0.36,0.82,2.45,0.33,1.73,2.55,0.68,2.55,0.42,0.48,2.88,0.45,0.85,43.6,17.15,1.96
